,UKF243,UKF251,UKF255,UKF259,UKF260,UKF275,UKF296,ZH1007inf,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1
IGFL3,,,,,,,,,,,-0.0170792168265253,-0.014974387428432037
BMP1,0.0688745825570413,-0.030993046293831327,-0.012572292522911253,-0.008451235078293576,0.0075748531726287545,0.010189549729155433,-0.0030859291447749393,-0.0751529542406568,0.032706557148306545,0.08071119558540284,0.06458469192650752,-0.014759724510248316
NDP,0.01734587368074473,-0.04300255001810364,-0.00261677333868407,0.021524062280899328,-0.05443631900270846,-0.02746739794298803,0.0691830511562672,-0.0059378632912963246,-0.06780499576937805,0.023236783022738863,0.037924270942888215,0.09481225997167145
TNFSF18,0.038384549567639946,0.014995162931936893,,,,0.014947997357872826,,-0.02874300490547084,-0.051557762206370414,,-0.01761349484731496,-0.025259114446095465
RTN4,0.033637566273591206,0.002284709991247774,0.08857168512357419,0.012879303469726476,-0.03363409796517001,-0.02124080752206627,0.00025935157684375273,-0.06037625290779874,0.05140202026049321,-0.03210655759547804,-0.06286482697399666,-0.10545295254316386
HEBP1,-0.029289584771994014,0.012827859750503748,0.015064068795260002,0.014696738068648844,0.03165836112170168,0.005777004269846835,0.027306591828331044,-0.021851462861644567,0.05097789096839809,0.030488426925979594,0.08530464776595988,0.09189254067272871
WNT7B,0.06298102879794701,-0.01823866226498806,-0.028076968898406923,0.04993215674776379,-0.048340379869555423,-0.020224665504870575,0.0070117384063630534,-0.031643242928148886,,-0.03405273563302017,-0.007703510250945224,-0.031961567712339656
PTMA,-0.02669106410679826,-0.0006721921706992672,0.029713658996339026,0.012940260824820344,0.04501331226425081,-0.012596898117078429,-0.039880478566964146,-0.0408577248426485,-0.01675533160721813,-0.07698293252906264,-0.03721744073875335,-0.06541986563948808
FASLG,,,,,,,,,,,,-0.012987281108093017
CEACAM1,,-0.01399707630671025,,-0.028461488640301204,-0.008755715480943862,-0.0005386052303771208,,,-0.054743260373763696,0.06250646009214036,0.05230061134444527,-0.01806989417752095
PDAP1,0.038066664137122584,0.007353324955364063,-0.006026674588596754,-0.016916856713270544,0.029187932622421076,-0.013657901639948133,0.03917711069553032,0.08682173724843678,-0.04589360082382241,-0.05040914569588131,-0.005131403038525351,0.03136223625489433
QDPR,0.04464777945721684,-0.010378080497014247,0.035920725093100396,-0.00901932244840457,-0.039187917988405555,0.04659334082401472,-0.01435310025623141,0.017327118040496352,-0.031993183483809445,-0.06756074617281907,-0.0023043338377647963,0.03720398222190899
POMC,0.058771347565287284,0.0024887951321386397,,-0.004996280646067703,0.0027108131218900283,-0.012354528249030876,-0.016693502887138445,-0.03727002939738912,-0.07010867080591854,0.028945793541682405,0.018288134568164985,0.01618831329742425
CCL18,0.05836917952242088,,,,,,,,,-0.021652680583866622,,
CCL17,,,,0.0011557811415183017,,-0.013279517579130084,-0.025857765853651595,,,,-0.02251796080448742,0.1969374722957669
VEGFD,-0.030027637870022588,-0.020048003584815538,,0.046119133814234915,-0.02276397733487925,-0.014148202783512946,0.012646066731681798,,-0.045011835233335434,,0.0630267636804362,
TNFSF13,,,,-0.011379006747659133,,,,,,,0.12333482930289245,0.046429435335695
WNT5A,-0.0015365053213345153,0.01564371124421689,-0.02078767306940788,0.0054717327528601,0.047378204513150446,-0.01484267375112742,0.004891047625106043,-0.056800960358517796,-0.018566755714252803,0.012516907386628386,0.009061266434293499,-0.03694728722098181
CXCL8,-0.018217749331853467,-0.018771762273752293,-0.03225519923852452,0.00442979508444262,-0.017155208403129937,-0.03487312489879767,-0.017662880177871747,,0.02975842292293963,0.07902213649650353,-0.03197059577330064,0.009218176673170953
GRN,0.0005613229085976877,0.0198859768954162,-0.03452684419943881,0.021941082441737838,-0.06378256879313728,-0.028689130248524434,0.04575982421601093,-0.07737519098721421,0.10296179481219071,0.04169916548576019,-0.0013708755255947332,-0.023991643371589152
MIA,-0.033721661354352755,-0.017829292374839167,-0.0454310445740201,0.002198076706331725,0.008705210033696134,-0.026101067462027047,0.032193340746863364,-0.06779596797127566,0.09013788342076481,-0.0686861407990652,0.02970759884455623,0.03608473671587552
