,MGH258,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.03779370575731086,,,,,,,,,,0.0008473398105394538,,,-0.020033934024379207,
BMP1,0.012441582855346033,0.16806505684128936,-0.031145086501371468,-0.013098668031300702,-0.023061443219246382,0.030772641394654302,0.1284732026211218,0.06744959158505533,0.017051628303382912,0.06789608483673186,0.08056811419528268,0.034547378335670564,-0.022767795275074564,0.05609099700970114,-0.018523787003444044,-0.03336586690251647,0.023010486579342994,-0.014268881756669339,-0.07929563344068241,-0.025366628399924845,0.07075669969307452
NDP,0.00570867153189009,0.045542355096238885,-0.006601482108721342,-0.021335701361403673,0.022681251948938264,0.013686757064773713,0.029172231765932272,0.039080356733504656,0.011192943231323154,-0.039690845762799534,0.006933258196270295,0.11536980892199396,0.11864606744393466,0.07236160615839038,0.04346753859808671,0.1003006473414413,0.16830734998569874,0.006408077618753601,0.012406782708858978,0.1797231675441754,0.11057518508915504
TNFSF18,-0.02220359529651746,0.11167029030064764,0.07504098503888035,-0.001107315086434579,,-0.01597625165716945,0.005207083770371224,-0.026774903983070916,,,0.02144224223748656,,-0.037737497942642466,,,,-0.018176975302349494,,-0.03551428377760592,0.04179211523881948,-0.02955105756569244
IL36G,,,,,,,,,,0.06993144592344011,,,,,,,,,,,
RTN4,-0.05626012454091726,-0.0873552653514634,-0.026107432649430464,-0.028738664791855047,0.05786039743528916,-0.028733676611947676,-0.13022747146322694,-0.01970205359437061,0.0893833347191091,-0.061223833781072094,-0.07201017625735448,0.023373902593526976,-0.09056141691300472,-0.04539457451961577,-0.035826730411005266,0.00467935997469676,-0.055646341408645605,0.013118759531124683,-0.11589523726617901,-0.023179244545886445,-0.07930285304469074
HEBP1,0.046847146752186465,-0.003094504406625883,0.04472165112344572,0.026341524065754792,0.011593972544366265,0.04406054441326328,0.07527874991679902,0.0039509499297751445,-0.01941331341654575,0.013092817348715383,0.06309956916322952,0.051019987929345756,-0.0229301382202612,-0.07192672398497661,0.03329592944170069,0.025817954714255593,0.04688025923957091,-0.002524766966755255,0.014096786872226352,0.14952594636958352,0.04829162413969223
WNT7B,0.008669752793487622,-0.05172424707689403,0.04120747160164226,0.029986578321580547,-0.035278625189822964,0.03561293391884978,-0.08284592348604988,0.026201382266471396,-0.01233231109330213,-0.01755133183842579,-0.03164318475151571,-0.09579071362198553,,0.030824649641018595,0.006079894784332248,0.05707156145253398,0.011783567322220977,0.1285669379554123,0.08424658037920468,-0.03496193800384067,0.03537270872383065
PTMA,0.044093916843164764,-0.08452421378747536,0.08838948309550176,-0.008357422961642788,0.03516665093101154,0.05553654411507407,-0.03695375473708565,-0.050223598023538776,-0.08141976520437637,0.06446883673261135,0.005520006230403567,-0.011546600397329696,-0.17260307264296218,-0.1283199990453131,-0.05278927194641279,0.02357200337722494,-0.10814593016095736,-0.008987049823260332,-0.10043422903116987,-0.08212442875564047,-0.028108310298481005
FASLG,-0.04960145886273075,,,,,,,,,,,,,,,,,,,0.002075426485491375,
