,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.011830594822032248,,,,,,,,,-0.017974692404324446,
BMP1,0.012601895425060823,0.0282120164007185,-0.009979815171223008,-0.0052880439273624,-0.02760030101220903,0.005507230763467741,-0.12825319748997252,0.005609417476718085,0.047416013012592566,-0.07104421614083205,-0.058723160527241594,0.040355513396863885,0.11227775606677468,-0.0014282677102277449,-0.04693018284092894,0.05744757731265921,0.07987529246222232
NDP,-0.0027967772570636064,0.08381131002585293,0.01846309071877574,0.02977259760178602,0.028733905374476083,0.001809589442179065,-0.040379436085077436,-0.012587746221074001,0.040173853394972085,-0.09665627377260026,-0.04821362784623769,0.1507747340350189,0.05921010720158378,0.02900181191751239,0.09595627603325334,0.03254875059890409,-0.012360612274213575
TNFSF18,0.02258177156106742,-0.030027640282749086,0.020103822178064563,,,-0.015232543688698391,-0.02721935639467843,-0.018617218579413404,,,,-0.07223520073520928,,,,-0.03032009254095643,-0.02430872667203258
IL36G,,,,,,,,,,,0.00473141150009659,,,,,,
RTN4,-0.022064820921312615,0.06852508363770908,-0.016410782171208105,-0.02205601810362604,0.0658011220401983,-0.004016649940912069,0.19413060841776417,0.0447039979271827,-0.06317037746531673,0.21161879698216507,0.07792827518512607,-0.04953673280130607,-0.08426725365985581,-0.006405843896573149,-0.0347784307870985,0.006079222124996349,-0.0442667264228142
HEBP1,-0.01585954471312601,0.018579185164746513,0.04681235443254287,0.002236558421104676,0.026716394734878402,-0.0026335111521211887,-0.05812171050294435,-0.0021240790050024876,-0.0050725635140535285,-0.043809979170944154,0.06848687651848342,-0.09969061205616948,-0.08375324318423716,0.02743021522401348,0.02249694955871597,0.05693453621932328,0.00461016463932045
WNT7B,0.05606595321128157,0.16171637222336677,-0.05403769350037201,-0.024342217158315804,0.03188842147547178,0.03426184172588034,0.1837904531946385,0.016838931717997437,0.005576257207499966,,0.060189155799873655,,0.10992428896685257,-0.02642311596504923,0.04234128885766051,0.015385182003050953,0.06457627717356931
PTMA,-0.008529266280113171,-0.025872281794574827,0.03500857074044902,-0.07047931170257095,-0.06557555915528131,-0.01792184925101715,-0.011712412286558876,0.008195661120218118,0.06865008605969984,-0.21503779204309353,-0.06192922248337598,-0.07377854413626508,-0.04606102831419056,-0.08471212510678003,0.0019770330910939935,0.04492090536520571,-0.030965969885941122
FASLG,-0.018408463700538544,,,,,,,,,,,,,,,0.01099365501417031,
CEACAM1,0.12566981466044494,,-0.004232486815027677,-0.02810828201139144,0.07391193014993036,,-0.06614142126891094,0.009189630481539925,,,,-0.007868159160378294,0.023880451141422152,-0.021078387596937944,-0.027048461826283364,-0.021690422474506664,
PDAP1,0.10450158626715589,-0.039697766138025364,0.04824325208597073,0.02458490620832036,-0.06213360962966917,-0.003814089630993538,-0.07701706012868989,0.02005138963743826,0.0015282162220618249,0.02042879560630058,-0.056471199572043405,-0.027700837034489917,-0.052102048963583426,0.03971552641436388,-0.0014452985840815473,0.010831945724210847,0.03783074085902539
QDPR,-0.029345129968030906,0.08149216057715684,0.016260636030734202,0.008896477102727647,0.09280183060310358,-0.009895315313156943,0.04293156803709838,0.026821373612568863,0.058543904694762394,-0.15557034338242945,-0.03732736753675145,-0.026599836218204304,-0.1268702616620274,-0.027599957467540452,0.057336420290386846,-0.04292643326891397,0.001839570093763439
POMC,-0.00943238763654713,0.03327318316971705,0.01359907771420962,-0.026175572661050202,0.012279432190649841,0.024631592970946786,-0.003963815165920488,-0.02160194822458509,0.019975769872803865,-0.06578636433900528,-0.02323019988370503,-0.02889127407019096,0.026772989057886595,0.03060376274589058,0.07864675295949271,0.04794387272417633,0.010638286184525506
CCL18,,-0.00855030569312857,-0.03523621571788353,,,,,,,-0.05651578370258669,,,-0.030449467835387583,0.018725253290235527,-0.004739380019011911,,
CCL17,,,,-0.016291907908880243,,,,-0.0232192962296507,-0.010975466742350042,,-0.014587765924050668,,,-0.014954095777390045,-0.039046152733361164,-0.014130080520464286,
VEGFD,,-0.04537199534421984,-0.03523622690703239,0.09773763673983264,-0.015318412352288237,,-0.028436092281250283,0.020320223160100518,-0.01989862403641761,0.08051875610453772,-0.01563416057259165,0.016651268055363416,,,-0.012268016426521557,,
TNFSF13,,,-0.02659038754793546,0.14070801242444891,,-0.014772389690170567,,,,,,,,0.09444462725253085,0.07650245592579767,0.05120435192154267,0.1041569001274512
WNT5A,-0.003246044793640277,-0.0847396140529829,-0.0404964367972777,0.0045398410117019495,-0.046874649323337035,0.020290792139330625,-0.12836942613448996,-0.02384665827860736,-0.020030074975713283,0.08923967477217253,-0.047316936197296065,-0.07405644296644127,0.0442155528781811,0.05333350943063451,-0.04211573846244259,-0.009649622350802892,0.021990004601574728
CXCL8,,-0.1195207974385687,-0.017312036432538272,9.113584584244102e-05,-0.03873678405222802,-0.021012766209546226,-0.05702978150961917,-0.037568367333766665,-0.006340818213588901,-0.08333422198987385,-0.04700593864855692,-0.03841191774992829,0.07213346209169826,-0.02466396793279622,-0.1456636364112167,-0.03359440390080106,-0.04371475750941675
GRN,-0.09288426672437033,-0.007559631446372596,-0.05296587589267278,-0.06515801933544804,-0.11010974715263518,-0.004731599483156149,-0.15206328855643897,0.0036085773278431285,0.02507605409026281,-0.11324930562575566,0.003729204408871676,0.012382096293640623,0.0396751870261301,0.038534956894297916,0.028990696788930743,0.04727552597831366,0.023102075906232897
MIA,0.013622499304521148,-0.03854065594072462,-0.016137800267782016,0.03861251053683225,-0.0464813560399325,0.054764935310429495,-0.07550470250964965,-0.0031974891482352778,-0.03346940286767357,,-0.02141169937959989,0.11140720242050456,0.043005518397412956,0.0517461323497643,0.13510440816392316,-0.010840013275026766,0.02693213005329393
COL4A4,-0.021319244024577612,-0.019732058596193307,-0.024141951467666893,-0.03926569824556809,-0.029221693573041784,-0.014055276139877596,-0.033353596748880464,-0.0017350710111130624,0.014129274687898192,,0.02720299605002403,-0.02691451364257452,-0.03849764137976992,-0.015207569189869766,0.0544030166426294,-0.019519200535864128,-0.029555651587799384
TAC1,-0.01840845368525088,0.07235166157798456,-0.021327151317512123,0.005337496573420785,0.13456984221535506,0.019708613163603523,0.23399202637956434,0.038869300092344544,0.002105202187780028,0.13249017104991584,0.011039799533474733,,,,,-0.018575427651212957,0.010956574239994212
RARRES2,0.061613851382896136,0.03415187048277615,0.05607968900847652,0.08702241982355328,-0.0993934284675615,0.009014957348423289,-0.20189300767237345,0.09269010260924232,0.001197565820690025,-0.11537042989968752,-0.0008958965809485089,0.05044155306648402,0.12028835230867921,0.0027173914377014844,-0.09009387269220578,-0.009042403813641695,-0.04994649572623525
FGF7,0.013838563272881238,-0.0025893195951867723,,-0.007944292428083647,0.05895730903166162,-0.040284785095253246,-0.0471728626395823,0.03555818083850906,-0.008734812549853569,0.01884903765126458,-0.009634839893431254,-0.04997617569820006,0.07112437218128477,-0.014814415668697251,0.0037531062855998107,0.012192770319023436,0.12010489393069453
EFNA2,,,,,,,,,,,,,,,0.04042731913974936,,
HBEGF,0.005548706819736789,-0.06530249939286605,-0.01789244526404234,-0.006396797043522588,-0.05586789377363007,0.010223030482696667,-0.05247574707096912,-0.03238959166315295,0.05010859297398496,-0.030144923082841057,-0.05377426035825523,0.05498264962039416,0.07629463512055334,0.04440782985054692,0.00329212448135816,0.012076861350148942,0.05237232673898971
CSF3,,-0.045674795517411694,,0.13096240921647953,0.008914156025567777,,-0.03528746338329703,,,,,,,0.024894976081712702,-0.11011621530861584,-0.014876794965846828,0.08278996016016868
PI3,,-0.05410860636079468,-0.037069984555879586,-0.00771277203138796,-0.021158010335888964,,-0.0397341495136967,,,,,,,0.01948466593465701,-0.16276493240071765,-0.032322333130175,-0.10565508859739431
PCSK1N,0.08513553297578035,0.1667215547626205,0.06175956184042288,-0.030958202517298167,-0.0057391577933135875,0.0340747616450018,0.09646512756220575,-0.04984851182352662,-0.04047387706937481,0.18698777658163523,0.11453518695915094,0.0005592754004412039,0.0022889043793935743,-0.005047505747896109,-0.01189028942971655,0.012602548444452924,0.04354730399393505
NTS,,,,,-0.0182977225508784,-0.017158298693110904,-0.006842839734229498,0.053253465919569955,0.002090554571045501,-0.032926098512297254,,,,0.01693218543772279,-0.0178221857774543,-0.022030504726545323,
