,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.019912101539900397,,,,,,,,,-0.030127667645783347,-0.02872460969259066,
BMP1,0.04613703412004011,0.05809146635334159,-0.039819340891911525,0.011305100302782816,-0.02750299002128475,0.03275644362019361,-0.06445755689557477,0.12111082215540052,0.012077470492621915,0.010808873345264841,0.02334143509187045,0.06708166360506279,0.03536015394025726,0.05606043546813347,0.0031569227732255118,0.11632720196630188,0.05352491620196215,0.07483444326488228,0.007976577396440709
NDP,0.029802378852108694,0.1008490247944853,-0.05473739705717318,0.03185609949592226,0.033133973211163875,0.05678966429625358,0.03524289801476755,-0.028448414272866207,0.02504662478822603,0.02055662480400398,-0.04322426650832795,0.04466356973994589,-0.01851285643517807,0.004660595337330154,0.045580954420128474,0.028058617631406678,0.03561395122901569,-0.006707249804211326,0.07155639555654647
TNFSF18,-0.01360950528023458,0.024790389468447388,0.006398651747372115,-0.002771541700135112,,,-0.02061179608817598,0.10014790647701859,-0.01838292802583695,,,,-0.02598799156028005,,0.16714979103643662,,0.051514257294429266,0.049764721708262204,-0.004208927294732618
IL36G,,,,,,,,,,,,0.018152872625345453,,,,,,,
RTN4,-0.01971872464190729,-0.11553798100340197,-0.05912874830030357,0.007590815809535357,0.05194982172630415,0.044459553968556956,0.13750480051330607,-0.16280237037717818,0.033877265541914836,0.036642636499964194,0.0748774497039776,-0.044643283443010204,-0.01727912066053357,-0.038450724497405435,0.014021005231955314,0.01694940981604352,-0.03709526042793084,-0.019224237251275974,-0.09407977439385448
HEBP1,-0.06161788684826715,-0.0198572616401458,0.0010963113003974124,-0.0007191386374238411,-0.006993125381359894,0.010943659530296518,-0.0490315898306263,0.049798312960528245,0.024226990511620545,0.011493863111397207,0.05816655046867318,0.052104003451752125,0.07191880814980148,0.01501037775387941,-0.01357043641822399,-0.03727552846658158,0.016291265491081047,0.03155364272348142,-0.013419099294390552
WNT7B,-0.02660884115975327,0.046926150880553075,-0.019416763527739585,-0.009361114738333167,-0.02920750965205309,0.05549574556000518,0.1132245068193129,-0.06309531369720235,-0.03607724415865778,,0.08424910047426615,0.06793027462723929,-0.002624738477456126,-0.0038431389907440886,,-0.024006546974487175,0.007739496081067762,-0.010881170063758073,0.06707393976542954
PTMA,0.03212362425706712,-0.1536185543448401,-0.008835498558090172,-0.003688318983587306,0.010574319881911659,0.006112221858358697,-0.13802004471735568,-0.14818640333110575,-0.015533904969591056,0.054603950824048675,0.011668532693654336,0.07457486779854774,0.04280286229658393,-0.18705900047465157,-0.06723568485030851,-0.023282930358906207,-0.07277090264820632,-0.08087783043150082,-0.06423088493904915
FASLG,-0.008127507260106121,,,,,,,,,,,,,,,,,-0.024912844186841678,
