,MGH258,UKF296,ZH1019T1
BMP1,0.027419096854410536,0.0737785219590966,0.006574555151205445
NDP,-0.007535607307941244,0.0517719797860543,0.017175142151989172
TNFSF18,-0.020634603399585578,,-0.040202470542474486
RTN4,-0.012400347830696164,-0.04017477804888007,0.024745306531260045
HEBP1,0.03519843635763789,-0.022309768440112215,0.006653478423013099
WNT7B,0.08637211455162809,-0.028113213050352113,
PTMA,0.040247301535150846,-0.015226884393359128,-0.009308925838489284
FASLG,-0.01817844444028255,,
CEACAM1,0.01210793748357557,,-0.028269159728407486
PDAP1,0.03117942390995661,-0.03050750057772423,0.021007301022968272
QDPR,-0.00548224226501643,-0.05735929895624473,0.042719756477799
POMC,0.07681284571970717,0.0721348560410071,-0.02313588961839487
CCL17,,0.059127804568300565,
VEGFD,,-0.03273829958609591,-0.03843130316527124
WNT5A,-0.006713644036395495,0.024961048269648862,-0.03285498825141702
CXCL8,,0.00866221013521946,-0.08384896254880418
GRN,-0.08812432367305464,-0.0022871320697507394,0.014923964176576538
MIA,-0.02379401584235189,0.02936177685318793,0.09498887087992552
COL4A4,-0.021052853693503598,-0.015073237985672438,-0.030092467253385862
TAC1,0.16305553012404295,0.028839390498660526,
RARRES2,0.07995786203368162,-0.015467160350283813,-0.021324922312649906
FGF7,0.033485956644318644,0.011275972058959152,-0.07432835270819269
HBEGF,0.0005360338934623636,0.05303541832520386,0.005261127450578518
PCSK1N,0.025975332354387794,-0.0343838277529599,0.015486150015842968
NTS,,0.009231386989726486,
SFRP1,-0.008767468606077454,0.03757154798183871,-0.024199354209495646
MICA,-0.007343622410174494,0.033768376224732145,0.00037603914995806376
TG,-0.021052848949161963,0.005383822657764103,-0.06137916134662121
ADA,0.04818669172459825,0.05332823894256498,-0.030912352613036997
LAMC3,0.05570267625757544,0.07694009379153816,0.0007485586642773286
NGF,,,0.07887015697506676
TNFSF15,,,0.16170729345120785
HMGB1,-0.00033275746607720785,0.010227246975368533,-0.016923577966551917
ITGB3BP,0.010744229144559976,0.012099401240831358,0.0023684328268272037
AANAT,,-0.029032672825713094,
RELN,0.08935377142239949,0.0095633734862801,-0.03814611765322517
IL15,0.0646606681231952,0.04024429959114553,0.06379596077707146
BSG,0.045422870783010334,0.038911215400594806,0.006592887840964846
ADAMTS3,0.0368069946035467,0.05954854709885865,
CD34,0.046407332306742516,0.10730122624057406,0.033030213617080105
PLAT,0.020010020901144822,0.022315949568529923,0.002156133097441534
NTF3,,0.028945352076225887,
CKLF,0.04922275834752287,0.011645260681557594,-0.019435951904269118
CD24,-0.007933442022472198,0.040994918373427044,-0.07231488298029046
HSP90AA1,0.012123686526926176,-0.008020031798810001,0.0749577210965024
BMP4,-0.000594847547528589,0.02262232574380513,0.07756005028695777
SCGB3A1,,-0.021071701454585957,-0.041235920935713016
IGFBP4,0.049789401283472,-0.03433929126899017,0.08570219050726781
RSPO4,,0.025171547087138448,0.015229518570261844
LEFTY2,0.023358678693152318,0.11474977836074518,
ANGPTL2,-0.024216415239535747,0.05159048945614418,-0.01275804335291981
LRIG2,0.038943654237578625,0.02722964873272744,-0.05596205108241026
ICOSLG,-0.034838991368283806,-0.006647356733835801,0.030444593894584916
WIF1,,0.013120238370900119,
