,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,ZH1019T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,-0.015200536510379883,,,,0.01730395331166645,,
BMP1,0.0304398351523382,0.06186389578686506,0.04942964498390368,0.028813608603246645,-0.03842191760814435,-0.01629039190997561,0.0249758095068553,-0.021693983420107848,0.0203037560999981,0.024010203741892444
NDP,0.014593098247686138,-0.0429122966635038,0.08434229414096463,-0.0003891906540305972,0.034555419266361444,-0.01394047097304285,0.03570509744018164,0.05950630851088695,0.06447823448295321,0.08974931314880821
TNFSF18,-0.009315319850807557,,-0.01396664558739754,0.02842515718910731,-0.01729886331829401,,0.008680390049094492,0.08665616517784663,0.01128026217777663,
RTN4,0.07100269162798449,0.038909974907530294,-0.04017597503136402,-0.06486770893626018,0.04436961356173848,0.0027867222313301154,0.039561677509057716,-0.018281227799594506,-0.07275044563221461,-0.03577780541682749
HEBP1,0.015734838606949426,-0.0017080047949901197,0.056087308200299474,-0.02146504650378794,0.02766696833011794,-0.003439014373850917,-0.05794424694706918,0.021406810299975862,-0.003493910125960557,0.04638195553220034
WNT7B,0.03388352846250563,0.006804356139100042,0.023120855314267632,-0.039377120539292716,0.0319749338589897,-0.017649499002734933,,-0.04586180370596392,-0.058699346486174905,0.13490955924968007
PTMA,-0.041357716578823,-0.022123086786855515,0.05840716539127352,-0.036141385550480354,0.01051147601001863,0.03330437256019459,-0.04513115182283962,-0.020524214049589526,0.10925046317829838,0.05528031194082776
FASLG,,,,,,,,-0.01863551069253651,,
CEACAM1,0.019634603850437173,-0.01092427385516585,,0.02330868909296988,-0.027206990821625393,,-0.00850074142781621,0.0062971024774422825,,
PDAP1,0.05054429448691616,0.005456493926791942,0.08590152175340232,0.05083733431098175,0.01659562479053969,0.054358415345541644,0.04122180226363797,0.0044761492543019645,0.005715588868334623,-0.01878059786935639
QDPR,-0.0016040658696766501,-0.007460907746842116,0.003933218209740045,-0.04893316417997636,0.028050398784700746,0.02582966043877513,-0.03348314133998424,0.09424657130894022,-0.05930260568107754,0.05955216077849554
POMC,0.01102972710003401,-0.005765219740206284,0.047302229878561565,0.0929228148662265,0.03455205356281874,0.00722158694586379,0.16608539712848971,0.023442783116388193,0.04116484995695351,-0.06372698493186935
CCL17,,-0.023465496978098906,,,-0.02157505054314954,0.08403631304283136,,-0.016890997309324945,,
VEGFD,-0.024734341886018835,-0.026143154921874204,,-0.010149035190302995,0.11032597824842917,-0.016023668590570035,0.030800380360225137,,,
TNFSF13,,0.02002182704167882,0.03985362798662661,,,,,-0.012504290022691654,-0.011844473968046438,
WNT5A,-0.010704778672294952,0.012630488341203613,0.06628510952735349,0.09265506672646724,-0.029714849300984756,0.04761339653708485,0.02647094418173023,0.007548893505626075,0.0316765066219976,-0.07092871923865283
CXCL8,-0.02315977169086942,0.020038701067012443,0.018345336748351468,0.06958842243431727,-0.023702540702974957,0.024055832443866904,-0.08872917459328772,-0.05416207488097008,0.009830378129706462,-0.0867449592366664
GRN,-0.012025209018944853,0.02017660797111651,-0.03204487206629993,0.020893976646872522,0.00684827516362178,-0.008797713332066234,0.028934546898881603,-0.018434303868735742,-0.030784112480467616,0.0019485056535929524
MIA,0.0075608057124043225,-0.01063553395396791,0.050463099605362154,-0.023908053763158292,-0.015820283522610532,-0.01822354846858962,-0.0456557889399178,0.024748354875497845,-0.04273504633023489,
COL4A4,-0.0369923920636312,-0.05122484525899536,-0.01288721466949224,-0.014979000468616409,0.002924846154795488,0.05313948752605024,-0.0538988339262762,0.05321706005246574,0.10690169402668726,
TAC1,0.000961819117920956,-0.023872150354475697,-0.02491178920110149,-0.020615320503564166,0.0056980822166077605,-0.058730666819530666,,0.07363437936575655,-0.09645094615193348,0.008369529189144916
RARRES2,-0.012590288786470128,0.06476316526625886,-0.0104609849951868,0.09895549776756664,0.039112769950236055,0.011688526951804072,-0.013931516714880065,0.009261333148322542,-0.026358206163357954,-0.06472048361524255
