,UKF243,UKF248,UKF251,UKF255,UKF259,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,-0.023857851033713167,,-0.01797468678377834,
BMP1,0.11946514439059265,-0.0434183541818849,-0.022631055776641967,0.03131485969941315,-0.0008307857806273246,0.05595095762432125,0.010470115842742996,0.05019867413331272,0.03995762751144362,0.01073889201830563,0.03598552770878813,0.07003520702973176,0.06336939251320631,0.005229053076928574,0.05780345977780006,-0.02719738093597172
NDP,0.03861978140788284,-0.008656836238144817,0.01571969354596383,0.01943234661267232,0.03390112305345613,-0.0557175652290912,0.006677370649278048,-0.024456077967756673,-0.05695069043456199,0.04654556659870891,-0.008484656353685869,-0.04964172568344009,0.023963166613131345,-0.025840406961709014,-0.002238637588441095,0.1035638543185137
TNFSF18,0.10297668145673644,-0.01724321053010449,-0.030605098282733997,,,0.05239094671796216,,,0.006874969890560275,,0.054215481972837695,,-0.024604180655267604,,0.05059961645284633,-0.030335013870090542
IL36G,,,,,,,,-0.016310187375912798,,,,,,,,
RTN4,0.0020581829108652396,0.0097971200803529,0.002481064978162828,0.03309722609560426,-0.025345895398930063,-0.047109748544164685,-0.02950365185982914,-0.07998067862702311,-0.06781331417468632,0.060485416795879654,-0.04666498136593478,0.025759103475653085,-0.03257798443888201,-0.034388755809888906,-0.044763687695140504,-0.01228060357680411
HEBP1,0.05296509159708174,-0.001636291765478181,-0.013590550703339675,0.01198490841380459,0.057909375704218134,-0.06868616066756052,-0.005137733614668651,0.0491705715169234,-0.048966874398586116,0.02507279193911898,-0.05932161643734627,0.0076267350425855964,0.04489411397579037,0.03808453854795212,-0.008361071965410248,0.027275473957361795
WNT7B,-0.03248067874943331,0.05348323268049166,-0.019010938333245207,-0.020224674309869788,0.1879035454567981,-0.007109144300257818,-0.02627654628525842,-0.01792677553494723,0.08956513502562354,-0.0883648403571944,,0.022956452993643215,0.07862631891539766,0.049822117260779314,0.048026961994780085,0.09334608275104977
PTMA,-0.04765999794637455,-0.08184479246091729,-0.021062569722917278,0.0031805513831140103,0.025993796488072325,-0.0047335236812897615,0.06770413638606038,0.040197370749820216,-0.02282093349028744,0.01439595171586676,0.02890212811289235,-0.08790229670192595,-0.046702472967684615,0.04699717989313623,0.0007557231912756698,-0.04501252247966944
FASLG,,,,,,,,,,,,,,,0.09095627289456497,
CEACAM1,,0.018314656374706962,-0.01458975173981985,,0.06431010694325003,0.017306572035512495,,,,0.008838813316204256,0.02342541722568173,-0.015175142431838467,0.023421959089462575,0.0047477501984922585,0.11346800802071984,
PDAP1,-0.0033539390293750083,-0.0952282233515752,0.06120975517795264,0.027517469770573844,-0.014768516786147106,-0.0053393223697508025,0.09030564240665771,0.017956516769662742,0.07864340721627186,0.012365787942078186,-0.009322626167022776,-0.008576452591530523,0.04369024579570143,-0.06603959782560828,-0.02540164073660604,0.040089732494252635
