,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Bbulk,ZH8812bulk,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.031925295941961994,,,,,,-0.022793762388833936,,,
BMP1,-0.047857454426300704,-0.04051984971000142,-0.002977562114331721,-0.0672003002498985,-0.03653353964182598,-0.17444653957608236,-0.045959093634378445,-0.005388690809783806,0.05715569944723614,-0.12593449682348465,-0.047780796572735866,0.021312983281546627,-0.037471610786741445,0.04793992327415563,0.01921019486918974
NDP,-0.06435635946643839,-0.00048602084808414565,0.028476565361322075,0.1835264434385135,-0.008258922814449262,-0.04061228981662395,0.015730676989566438,-0.004940805972076573,0.04681460095017779,0.0008505754465845466,0.033686408862366755,-0.04657738122468806,-0.01856932148875085,-0.01548149951796433,0.006955678847552438
TNFSF18,-0.01928562061764426,-0.0332688226750942,,,0.014002236536723372,-0.047408106050165676,-0.02246574860381486,,,,,-0.023506804818071225,-0.005843578258019404,-0.05072425260075667,
IL36G,,,,,,,,,,-0.007527356100448138,,,,,
RTN4,0.13397894933667523,0.05901592298007109,0.08869637019560413,0.19386286629930752,0.12837775693574832,0.2779481873977057,0.04304473644795978,0.0712306559055598,0.06053556119199567,0.16075373474348556,-0.09816971996512973,-0.023050583526319196,-0.08275322111316637,0.10203122597285545,-0.02841405927343174
HEBP1,-0.05453729464944432,0.048212563229675306,0.017035663452232293,-0.04394194937842333,0.011729186422419074,-0.11669401592151557,0.03650216787015257,-0.0004989726621766558,0.0029159921334040674,-0.024766595405708598,0.04159197430543235,0.019031338293020165,-0.057591548310814235,-0.054584526231238835,-0.029576636158383452
WNT7B,0.15569109480184443,-0.0045143218125824084,-0.016325252610890482,0.05938753552204198,-0.0012564986046817907,0.18158104706670505,0.01792804796249767,-0.011147085322683357,,0.0019002909385474223,-0.03178786585538281,0.07360116271049862,-0.04839713229823276,0.02267236948729122,-0.02430193006683043
PTMA,0.04331659657470262,-0.025631844014255653,0.03789739330601503,-0.13289930308598558,-0.08831051016321109,0.07887098424613437,0.019964762378802643,-0.02563045939013777,0.012340586141127832,-0.20362959160355856,0.00998801761661557,-0.07601054881060962,-0.06680408007951323,-0.03563511096101423,-0.05724974086405642
CEACAM1,,0.09144943446598268,-0.013298964531162525,0.04299046550706892,,-0.062386367398195954,0.005152765292419489,,,,-0.015399741083197712,-0.03377682437992862,,,
PDAP1,-0.08146354435990913,-0.05347030398368304,0.017112237059300605,-0.11397880619483473,-0.006433642535354911,-0.12028651275470861,-0.013605915815721542,0.013260392249125938,0.031323926847796946,-0.02664970837228887,-0.02366652961630884,-0.02461771434864507,-7.17398016130435e-05,-0.0021364796412007736,-0.08286797890264161
QDPR,0.11377456995882489,-0.05238071757037701,0.036260326358133727,0.12685049131123888,0.09982635246035629,0.07841935260804964,0.00381434732623653,0.004638578508025153,0.006485601966670384,0.03807043531880469,0.011303072318709223,-0.03937991836076669,0.003097475386154889,0.02883755721699796,-0.04319129144805646
POMC,0.07310260305310864,-0.009569326094245887,0.03033444819276668,0.07848642515084639,-0.008998957126488386,-0.012192689959551648,-0.026067478130315014,-0.044742750278399315,-0.03339846060020254,0.058333858070992665,-0.03607609513896001,-0.04278684853951111,,0.04684531485532288,0.009802596812800074
CCL18,-0.025863602993500105,0.007676462503740629,,,,,,,0.10374159527659249,,0.12522260948309602,,,,
CCL17,,,-0.0025789513708639445,,,,0.011922968487729842,0.05775018866489115,,-0.020904612037439915,-0.022230493040623193,0.03917984539270012,,,
VEGFD,0.011360238259264608,0.032350539728257216,0.008177925046627857,0.06259724581903706,,-0.05348343446435762,0.08626736096813152,-0.007824499346858188,0.05807215732911751,-0.022404120206112838,0.06394527245800644,-0.03169585766479613,,,
TNFSF13,,0.03198536539394468,-0.01258199808559709,,0.06679155674256099,,,,,,-0.006625648400146031,-0.032227161355445184,,0.030715073727374677,
WNT5A,-0.07806369218613622,0.02509872471443057,0.033375167576086905,-0.17041742486483605,-0.023160000132633318,-0.17203595057418863,-0.03485010595077417,-0.008685471263728081,0.06475221823592872,-0.08303227094996042,-0.021089568799284163,0.031017100255453033,0.10936510274330899,0.02220389816057697,0.06743274038763683
CXCL8,-0.017663356968127725,-0.04246555292810915,-0.052508666565135656,-0.08311402580379418,0.0037889714166050798,-0.07333460810908758,-0.04071277005212181,-0.005676583126072704,0.05901586923357825,-0.036469181815544864,0.013900433315552739,-0.00654851851593841,-0.017168286197279066,-0.09427910292568177,0.003913110316997447
GRN,-0.06545071611866471,0.03391260209205414,0.02163315926235099,-0.058595637202360565,-0.09145254999806116,-0.20191212087629573,-0.016910427762775244,-0.08144632358343622,0.02231175193989115,0.05147877186142471,-0.05911030352404199,-0.00820939129768579,-0.04082508525168959,0.05672963759258024,0.046876609719072385
MIA,-0.034322870640809244,0.011392172948314438,-0.029765849519005034,-0.0492165177807811,-0.00041315081298074825,-0.040257645663635315,-0.04402116188215715,0.022509285969008083,,-0.030683469348440164,0.12967003688583228,-0.005892155359321243,,0.03652669344065988,
COL4A4,-0.029335221390298573,-0.02191485002977923,0.033962284419525236,-0.06549276066850593,-0.038845034174611257,-0.018651558505505532,0.01018268840640835,-0.012931067130921294,,-0.029764103597035796,-0.024657393360970767,0.05189171170070329,,-0.056775826441995164,
TAC1,0.2945623134387216,0.033659651114447464,0.1611744641470919,0.2211352588571708,0.18476005024402212,0.22584503393986172,0.10346657463323324,0.0656042206295124,-0.0010966552090279566,0.15445762537572522,,,0.0040405263253183495,0.15026399642564958,0.009799597927580467
RARRES2,0.026070336617912585,0.03062669616017123,0.0650989821384234,-0.12855997892820895,-0.0717087211594428,-0.24004437724121186,0.08895029636385486,0.0031104384228461727,0.044648948773062684,-0.10613714839835903,0.051564063912707334,0.06468420326571635,-0.07278328922163912,-0.09182058348765365,0.11074289571325364
FGF7,-0.03567590248870593,,0.04231913350744752,0.18222021367434632,0.10350889748769757,0.0132334730809521,-0.0017361255876020935,0.00844106455633722,0.014166346604088144,-0.05636821399285768,0.051844281846101355,-0.05366395291186782,0.034095083074785384,0.05735521216005735,-0.009665078136018877
EFNA2,,,,,,,,,,,-0.014636423301518401,,,,
HBEGF,-0.07477816186433675,0.03840027074031002,-0.021938178374602584,-0.1256508864835804,0.0012723297099091631,-0.09780243087545427,-0.09540152190444919,-0.038745200589430054,0.07488508390289864,-0.014449885363595111,0.0035814145287463373,0.005023135678513613,-0.020574508959221804,0.002116679663724031,-0.005584702421024766
CSF3,0.07153084567890987,,-0.021741274629598357,-0.016530800680639286,,0.017704063915947782,,,,,-0.03134278363034582,,-0.04349802062879292,-0.03055122423743567,
PI3,0.0918661086082112,0.00545387089469222,-0.020695368254642358,-0.06543425670213115,,-0.03747831846155834,,,,,-0.03135789327599951,0.15356731926805484,,0.016851411952770137,
PCSK1N,0.11098767681881494,0.03031106958446313,0.02550319540006338,0.04347292144243223,0.1108848385533145,0.11514554653041188,-0.07565253569236252,0.06703724253270542,0.03808228505027558,0.16211349877685508,-0.06105203369034569,-0.043045559692997025,-0.0055518061372523304,0.1343776831903687,0.13858044109916753
NTS,,,,-0.021448003061373386,0.03277039784852695,-0.04091014365176028,0.026482727862589223,-0.0042961741042362505,-0.0834091390149087,,-0.017831704335101884,,,,
SFRP1,0.08527513682264408,0.010306303350005923,0.05535470922749422,0.16117860328307532,0.008631621590173867,0.0022922090969807293,0.03667121806010596,0.009983186672240485,0.04205613752310752,-0.013275647789798823,-0.03967438240183045,0.061456202079802756,0.07641769453028628,0.02212712813272959,-0.059854467551043865
CXCL13,,,,-0.004586203145014602,,,,,,,0.07494852373834082,,,-0.010441210082860756,
MICA,-0.0493118919672241,-0.026818712853329527,-0.05910051838819478,-0.02558241477536306,0.017142885605517025,-0.0669672819778434,-0.04233403896374799,0.018462497450080082,0.04186396465222761,-0.07352684400656252,-0.02461345055676861,-0.03826847402763985,0.04653350632948543,-0.013546335154120188,-0.02764117318492795
TG,-0.023384835181166238,-0.01925593519710518,-0.017175540009153,-0.05656195268661557,0.09018731183564639,0.032256834509124706,-0.028228245831291153,0.005745376336594088,,-0.03140167698242752,0.23881990364693478,,,-0.028569151463449873,
ADA,0.10476976686879517,-0.009916395384657887,0.01409135377365201,-0.031138897082058525,-0.027425410938687476,-0.16383690089957056,-0.008561803417079773,-0.03453923501416149,0.040196067724302426,-0.01816567233595081,-0.03065494960701875,-0.027174924666323427,0.02720025187441512,0.06156807513510479,-0.02713920331998613
LAMC3,0.010499222526570064,-0.015512801577009575,0.004373762601271472,0.008393245917032168,-0.026073564844279123,-0.13367635066534012,-0.04832759357667979,0.00605507739665075,0.03661533405865538,0.009274608115529137,0.021892726824035726,-0.008513623034190669,-0.039065783391070516,0.04806923843646657,-0.07414656544795178
CCL7,,-0.021213084119477504,-0.012417887984754001,-0.01949318014580118,,,,,,,,,,-0.021391093037397824,
NGF,-0.01690084156011967,0.014272287805408006,0.04793302417006139,-0.004563578712284444,-0.017004757859194187,,,,-0.04302416071215961,,-0.014439685148239923,,,0.06056358865650941,
TNFSF15,0.1448845569487473,,-0.013827925622144847,0.06358437941623261,-0.03438396844609813,,,,,,,,,-0.043767211931470734,
HMGB1,0.06812946365695821,0.01619827635331623,0.08854336639767141,-0.03245589945098369,-0.03828268450801983,-0.19587948730560803,0.0535371924862489,-0.05491735294704315,-0.026561484899751714,0.059658968879204924,-0.09342055652075192,0.09954548345548486,-0.027006779167214834,-0.01997668496058356,-0.04906048138829081
ITGB3BP,-0.007903056240547329,0.004831986969340132,0.017608628521508265,-0.010727238127655633,-0.043629841757132685,-0.14382448357867358,-0.03222034967588211,0.0115762007555096,0.10028854763313828,-0.07487678995649504,-0.00923423025236042,0.028658779544809394,0.027387704346791324,0.014243621142185735,0.012797688662734006
AANAT,0.007035632643295118,-0.030776957711939317,-0.0125819994284498,-0.02576118045281028,,-0.004437268354396909,-0.025385826442462255,-0.012301282324225088,0.00500215942852759,-0.028041537500486657,0.14438858882797506,-0.03717368027816975,,0.1006801645022244,
RELN,-0.029140705911598893,0.0016941195436968285,0.03373405996453227,0.059384998862801845,-0.014448402469576148,0.14161797222812683,-0.0026763476106572734,0.017091372797969774,-0.05263045555369487,0.0916501985963495,,-0.04648797934264414,0.2820269349537035,0.03131018465046616,0.07432003635782057
IL15,-0.029721001181314308,0.023858118236298638,-0.008256011070867219,-0.05841453107743795,0.08702143423701346,-0.06222711877699348,0.01605339009976233,0.03732065318034607,0.032352881525611436,-0.02600722997292124,-0.03570986419408966,0.12636499865837594,-0.04600576728925867,-0.024240162841648212,
UTS2,,,,,,-0.05694247891835975,,,,,,,,,
BSG,-0.14851349389064758,0.016269840455997032,0.008829436649408641,-0.06191585664446556,0.012355406487407483,0.1266214334901972,-0.07110759078338336,0.027420285122115265,0.03665653072449409,-0.11357310604149534,0.07796912965565442,0.044792019147565316,0.04452214584854487,0.044408451408701505,0.10234681857179534
ADAMTS3,-0.05543473163988945,0.039502719787220815,-0.01574767241345584,-0.03281508845759239,0.020744464686494775,-0.17826416997051125,-0.013471402064632482,-0.007469163568757186,0.016309503910164707,0.006063433031457713,0.004669047455498599,-0.048126933649843086,0.04179995603078268,0.0018160500726291026,
CD34,0.07530513151315842,-0.007673405562323234,-0.04369857935072653,0.07913995389280322,-0.0075066991498432475,-0.09112829740879627,-0.007504486356389201,-0.000692815600616261,0.05682040800337691,0.011578085961849892,0.09943572677477658,0.052603445845739255,0.04812607729610475,-0.009245246125024666,0.03218917377030706
CCL23,,,,,,-0.03416157310392365,,,,,,,,,
