,UKF296,UKF304,ZH1019T1,ZH8812bulk
HSP90AA1,-0.08136077397145505,-0.0899621281602991,0.055123638086808584,0.08381427993334623
BMP4,0.016207998662322205,-0.026763491516178704,0.031053412524927028,0.0035798560800848504
SCGB3A1,-0.011370027500669348,0.10214536795794443,-0.010671602380426328,
IGFBP4,-0.020925112004803962,0.06054808595735103,0.021197995951369387,-0.01428674685606747
RSPO4,-0.011370025837545617,,0.020563679756530322,
LEFTY2,-0.012467372389340108,-0.017847622820635862,,-0.013613966233453017
ANGPTL2,-0.008993525823704378,0.030758279441731224,0.048920101351809346,0.031212310794030168
LRIG2,0.011950547862100478,-0.0211064121583682,0.07206225058675009,0.07678812466172832
ICOSLG,-0.021578185779410654,-0.041209932855169044,-0.02913933600341729,-0.05036365283487901
WIF1,-0.008144665782471274,-0.0010975023633913144,,
NPPC,-0.015801553427384006,-0.044310585495440404,-0.029001224979945568,-0.009276243361595547
LYZ,0.008776182803476659,0.11396593937984048,0.013660741119988322,0.03368329401621121
EREG,,-0.018359988122364144,,
SPTAN1,-0.038606416708116306,-0.1101470223999128,-0.12246398581528067,0.04483841196354896
LIPC,,-0.03288240409499674,0.18667819789631768,0.02392356621496161
COL8A1,-0.02401945546373328,-0.010499745997422993,0.03221198729391569,0.052928233585582816
GSTM2,0.009650382544556808,0.12043090578711736,-0.0400233322170887,-0.023133416014569228
SPX,0.032173281263660695,-0.0955062875676339,,0.05980336542212758
MFGE8,0.0016387328326883058,-0.0013209700959910366,0.02718054186749992,0.06256293411933883
TGFA,-0.013759880204377026,0.10846191863785268,0.006389589152100145,0.07073019329571072
SLIT2,0.032995088960373925,0.019851355527076772,-0.017970088540137492,-0.015032389285462605
PLTP,0.053904702603558126,0.12270507861267432,-0.03434757559781341,0.008874921410149839
APOD,0.009414809868016974,0.02809263554486316,0.010577061033437822,0.03769040955504702
B2M,0.044061294390836996,0.17132420784150323,0.028016037480633305,0.003222451339693729
OMG,-0.02365441444801228,-0.03085924898461258,-0.049867163115871097,0.03586819216808888
CXCL3,0.03377614860079376,-0.005345486433649766,,-0.02759888623894819
CXCL10,0.02684903724611798,0.05460081282739624,-0.021895246098111228,-0.023640359726974366
RSPO3,-0.029536729693711416,-0.03943177158876054,,
