,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.04948616658468545,,,,,,0.010361673239794561,,
BMP1,-0.05098225199578,0.02705944196273909,0.04898702764184136,-0.033634249487664664,-0.027688682803954544,-0.048298517911137845,-0.3303397906366458,-0.025060483691311117,0.006623522452978084,-0.07950805109550799,-0.16283679401722917,0.043423183260722344,0.1546019108948195,0.027188745917515692,-0.0813264656173953
NDP,-0.04696289877404801,0.06256974154592171,-0.011280787784129402,0.004198341098985274,0.1481771421327813,0.03613238143312113,-0.1516855268644589,0.06739595155781662,0.0007747596952623637,-0.05204598845842029,-0.03942613600192088,-0.07479658064527411,0.03268364586402962,0.03428176218071925,-0.02067099664391568
TNFSF18,-0.016055541167182164,-0.03487875172391773,-0.018978825010594214,,,-0.024568953215334872,-0.05734086777425416,-0.026774903992754267,,,,0.04927834759486975,0.053728410360717745,0.0075077887688337445,
IL36G,,,,,,,,,,,-0.030118340125788175,,,,
RTN4,0.13756448519351133,0.041911749896447165,0.04019917818034273,-0.002172338323625668,0.11049417119606605,0.24530900514734924,0.4051230884231922,0.14355573074477693,0.02754387986947071,0.22514940161501001,0.23791422344607538,0.10752625267110467,0.04231977659686979,0.05139654409502015,0.09324747813933978
HEBP1,-0.013021893547574461,0.04554976522037244,0.033533178780457036,-0.053806802223826125,-0.00884498883293049,-0.04081876624247449,-0.1309506135806355,0.0056919810081279415,-0.004686149494682827,-0.09343776578746166,0.040192503532594924,-0.013256610476254925,0.06145487253422226,0.039327641065116714,0.020830448080907418
WNT7B,0.2090667635874536,-0.012061779860227105,-0.018628562861226425,-0.0025617828579057277,0.04969950890079866,0.1257050657188659,0.36121873684426326,0.06606286753204468,-0.025099824262039147,,0.0717336567408146,0.035922829033731826,0.13331301973763224,0.042013280508346504,0.058293451487478096
PTMA,-0.051758823151203406,-0.006926992637756996,-0.11001444589485973,-0.014284342698484859,-0.10582813982441266,-0.2415422752811377,0.08623554972551989,0.025648851366987593,-0.03084845994636479,-0.27493103279705217,-0.23801558067375495,0.058170547639888194,0.005024497965740147,-0.01530144418037386,-0.1702358285934929
FASLG,,,,,,,,,,,,,0.01614695468068354,,
CEACAM1,,0.021659633286190257,-0.014296301563381441,-0.0011827344933087226,-0.006842210343787024,,-0.08413956887001063,-0.020486301784129995,,,,,0.0018665989786987934,,
PDAP1,-0.02024909818797495,-0.011057412795711907,0.0013427218654875003,0.04784789715502421,-0.06340250417432451,-0.016784866324768236,-0.2555479063768748,0.03381867270307511,0.021820185407658822,0.005829828614638621,-0.06186510049224605,-0.061037181980782944,-0.036346325915256966,-0.0012902511088524159,-0.01488991412714916
QDPR,0.12199673413498471,-0.008298889784288707,0.025069256449598728,-0.0353790695991899,0.12203130095878041,0.0063842136347145775,0.06167762827500145,-0.023621734317306946,-0.017987306360102137,-0.18431265885970974,0.029345670193973317,0.01978751347344899,0.046942381919356894,-0.01879919099952135,0.00885120422796261
POMC,0.18567761724850446,0.08609796691295588,-0.025402247009041683,0.05587945472015394,0.05491541800143558,0.04781729722133319,-0.004143492743558139,-0.03106748128365899,0.03574235285751661,-0.009518197869379115,0.10826536038154845,,0.1113718639517643,0.016408290233478243,0.0002494851357795262
