,UKF248,UKF251,UKF259,UKF260,UKF269,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
DCN,-0.06368394262489364,-0.007212786249559172,0.016646046208881257,0.04635551926596717,0.11750624136189908,-0.016925917705405153,0.00942851370542071,-0.02684054524486326,-0.1983339226297479,0.03205474541424158,0.003798344304546606,0.006247937682513887,0.008363311012515732,-0.05890635022438951,-0.07281956532135855
RARRES2,0.0011897425046043686,0.028098881976719337,0.005556001415661159,0.029169325221408957,0.14725172490090147,0.013403966892367017,0.05921031252325538,0.06001273400618552,-0.009144944472007253,0.013399974499197337,0.003262259956435109,-0.024022883567922274,-0.009009581681996228,0.010998442554690391,0.09599406019360343
SEMA4A,0.008274234491687453,-0.016203011876293832,0.02063434435435687,-0.04008824466616322,-0.05618606609245162,-0.004142994027961962,-0.02992692973247868,-0.040449726971205587,0.077434963473889,-0.04880871598613306,-0.007946489707190843,0.03579522680931087,0.0037409247683303204,-0.020122256250447057,0.002109690281856413
GDF11,-0.07490240553361546,-0.021597689999027836,-0.0007604100492307614,-0.06612645388481536,0.07135391470782844,0.01629137931566114,0.016104387079168316,0.0096525751338267,-0.14506423900200852,-0.01818394060927257,0.0245352313508366,0.0029448876646637405,-0.011938706311505624,0.036593744451318654,0.0015975378402603767
GPC3,0.024864898995801007,-0.028564000924087854,-0.00641465932999813,0.03361045618540269,0.006706062955096344,0.004380174024669944,,-0.03170354800764375,,-0.025785347188906457,0.07240594120044223,0.04684617336694347,0.04057505172154439,0.04089435898143899,0.07179961715110972
OSTN,,,0.0241951852171346,0.004306839901851384,-0.031439791374911666,,,,,,,,,,0.0492013559566379
GRN,-0.018727070150031493,-0.047377044585214315,0.023372353075940155,-0.014876581796323719,0.16808436816605127,0.09649665639939248,0.005851972320098623,0.015909823544961826,-0.013706903146990634,0.07512459030775719,0.0419864149155383,0.05194152518757758,0.017617105224093217,-0.0005514688356213124,-0.08071592243541029
CALM1,-0.04879671716268226,-0.008114900505004987,-0.04427704378455497,-0.03566293676964523,-0.17141188416728068,-0.14900808977262442,-0.026496966181017666,-0.04253310195420637,-0.09371905795384747,-0.016823990781079823,0.0522716396587773,-0.05195841165160973,0.00032143256654012365,0.049271872290118014,-0.1129618609730946
ANGPTL4,0.09522557064906342,0.001264831123620126,-0.00044360973613015165,0.059015752134414845,-0.012992660039665569,0.05030887850642708,0.0407664864360833,0.03591848059065897,0.19441779391420003,0.014334925754112186,-0.03720230257827165,-0.0616434269131447,-0.006909511182657813,0.03924000581064207,0.13411435542846975
BMP8B,-0.0463802759523914,-0.01006310716141284,-0.02728634383778875,-0.0219915045381818,-0.005633152839231662,0.07467266008343897,0.01900565120812296,-0.015835298154288007,0.0222893355245141,0.11343163938322166,0.013905585969581876,0.002924598976506402,0.030168369725671666,0.028142732146869666,-0.030165193272447207
