,UKF266,UKF296,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk
DCN,0.007964638268650612,0.00503630721576379,0.045290828992706006,0.10661852052222569,-0.0803412252683086,-0.06256371812276747
RARRES2,0.047113085126447296,0.03363032955622925,0.019140671902573438,0.05082575404009759,0.048034343307264395,0.0532354327357377
SEMA4A,-0.06432405529339362,-0.040238433545851424,0.05795016444260827,-0.0867565836310677,0.01620588465373461,0.0036894619018639067
GDF11,-0.03887955457447837,-0.01883382186890733,0.01211755643142918,0.16960343030733135,0.04233022216119525,-0.0312827415049049
GPC3,0.02243447760500676,0.024509049070153912,-0.015603542244564887,,0.0198525273574845,0.06566784736432148
OSTN,,-0.020683597492440083,-0.03074747258954078,,,-0.010294029164173761
GRN,0.016071953318074657,-0.022111578647327643,0.062206162357461445,-0.03593467392739623,-0.05696392887250833,-0.048888571560595
CALM1,-0.05160885121004462,-0.009753213222612621,0.03490673654927813,0.043242588583949075,0.13050234104592456,-0.03679990874395356
ANGPTL4,0.09683075031973366,-0.00424893962824963,-0.029585841823339357,0.07315129865471279,-0.06511541389523157,0.00850290125207507
BMP8B,0.03950951133153122,-0.011155676909289413,-0.03541474071891984,0.04259679583381938,-0.07283890049642763,0.027629269483414556
TNFSF4,0.08530440057499195,-0.015098941280986404,0.04586610624668875,,-0.03865673696505328,0.07009546520931517
RBP4,-0.029839996667479878,-0.009032110799736925,0.053921279372696085,0.023587372235006135,0.07204390903481106,0.0007657015675348698
DKK3,-0.04777285672865196,-0.04112672192989841,0.04029716844839904,0.019525175136600553,-0.026458564084470424,-0.06600746515203983
COL11A1,0.06022555987477756,-0.01455068569371455,0.060431480851534575,,0.05434553636000683,0.027596908935485998
COL5A1,0.018060991610746657,-0.024091964492003768,0.04769564121061977,0.23374042393686228,-0.0870526733169729,-0.010894677905726822
MEGF10,0.008724170656728881,0.04598154702486151,-0.030731770788508368,0.09825528193707447,0.07623473176338483,0.09599767050645387
CEACAM1,,,0.02432024503859484,,0.06726792840149419,
EFEMP2,-0.02688795822032825,0.05169542845953762,0.028950704009343756,-0.022566239918142564,-0.012417126197328598,0.05251314994870726
IGF1,-0.005415742107070784,0.02760179206918168,-0.03835346932563143,0.16136652507729593,-0.0018373086212282762,0.005844780258567579
