,UKF243,UKF248,UKF251,UKF259,UKF275,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,0.024624702760538596,,-0.02555330170225061,
BMP1,-0.04944383852347534,0.019739720313798188,-0.039641270610566555,-0.0047942448269526665,-0.005338661296298928,0.05250761084363867,0.005947046535771855,0.033978584886102337,-0.009384414100361142,0.08175145045912406,0.06154758063891968,0.04962150820130724,0.18744897816362285,0.05033478484895865
NDP,-0.053935003070435895,0.01607162703871664,0.015412810892008608,-0.025134852402448428,-0.005062342595022814,0.0303417159044869,0.05445204420268097,0.07333101991842292,-0.0055871600351626045,0.055229973843537394,-0.005692518585537566,-0.004481035738545479,-0.03926393573263539,-0.08376091430463523
TNFSF18,-0.017739744571192193,-0.017387599139821578,-0.011394442022797917,,-0.015882542521870806,,,-0.034231356009848356,0.10239840352633842,,0.04453246780900975,,0.11216800101593263,-0.024376745745020963
IL36G,,,,,,,-0.014899820375355272,,,,,,,
RTN4,0.12356952365775523,0.05043571501359465,-0.03145216002664352,0.029250246733819377,0.03052605550806896,-0.0505741570382878,-0.007387300447075432,0.058277441160041625,0.010767711898146105,-0.08143610528456698,0.06878002317779648,-0.07168949995419302,-0.07936652393624567,0.027684455958351884
HEBP1,-0.06430101281778881,0.02648162188107242,0.03088534364229581,-0.019332056545633414,0.03207192640716466,0.05118368891550091,0.025599999524104224,0.00048460861728250547,0.0702351366146817,0.07609783353648157,0.02730868559476865,0.0009821979375906,0.025893382899125787,0.001932908594181772
WNT7B,-0.01203405769989174,0.03721987516649705,-0.01570923539650662,-0.02917050226416165,0.0068597017123204086,,0.02399070724651878,0.04610776554357044,,0.05049895461103168,0.0095946087987996,-0.025623811377158686,0.018643962905081687,0.03699479881928565
PTMA,-0.011096761907989515,-0.019908234417809048,0.0035175117141858984,0.006430993585022094,0.040197859892627794,0.06331689603350972,0.019677399119948657,0.00603481064259647,0.0289635263221475,0.0011958636206977071,0.044583948681486935,-0.00433534561045422,0.14024754737530037,0.06393116708678327
FASLG,,,,,,,,,,,,,-0.032207439352170915,
CEACAM1,,0.01727337742428303,-0.01205589331993263,0.018572676422403588,-0.024979455624673307,,,,-0.036343065357156756,-0.016893069523023527,-0.032411764438234195,-0.017006896276057202,-0.005340765651023188,
PDAP1,-0.049084855539427624,-0.054338193033872814,-0.0032381626464662583,0.0120434444067558,-0.0008054417928066691,0.016966296259634545,-0.019047213338159553,-0.058313683688266914,0.019189899283185517,-0.039840011318083006,-0.015438774066437205,-0.0013394249910025566,-0.014095069438517311,0.022829641873810452
QDPR,0.04858595613478078,-0.08366362978887122,0.017068286502662688,0.01345159271436884,-0.014780809092452007,0.09706283951519294,0.04401499846299199,0.1519126796128381,-0.07171837502141525,0.016484823096930758,0.04696524949024012,0.015028705039545667,-0.010707632703795392,-0.07418827872080427
POMC,-0.03349559827760076,0.008152899098836666,0.010025052206122848,0.021551274535139418,0.01142012665175547,0.05275924942862035,-0.03192302485246139,-0.01844817306280443,0.07533764974832517,0.01386839191592814,-0.06248157528832334,-0.027821048185959926,0.02803218110035489,0.0004866783619098372
CCL18,0.023358308989750606,0.046949879455675095,,,,0.08374883619857276,,,,0.11256708316717108,,-0.00493443415492002,,
CCL17,,,,0.021806947698495005,0.008225144135191577,,-0.013611408918644074,,,-0.024386206393825823,-0.02883772404065354,,-0.013989847647261,
VEGFD,-0.026804890444694387,-0.018535938339540283,0.11779082467414735,0.036880300438589496,-0.021104412115290096,0.09811067417410486,-0.014587768528863076,,0.017659810691613154,-0.016893069523023527,0.15807851430584643,,,
TNFSF13,,-0.004088292823183322,,0.01754554209171043,,,,,,0.09510892524626309,-0.030924729649432513,-0.019097604672707054,-0.00019287218059302585,-0.040447957545979976
WNT5A,0.052086536260659906,0.052607421316284965,0.0370598857685581,-0.023017163095036215,0.022580226718001282,-0.03306919966895151,0.00707332077727301,0.05744289700463833,0.021476097139945905,0.06228203552965813,0.011983651563313793,0.007617665158699989,0.11409753672735036,0.04161331555998233
CXCL8,-0.006823364574875964,0.08208051098072179,0.003363920821558503,0.01880969235499055,0.01664829578684599,0.03738030745015422,-0.019980648162599788,,0.05200331224920266,0.024257346268448325,-0.02807038196347732,0.030243708019939218,0.050115702352097044,0.05013533881069478
GRN,-0.0031782825596725615,0.09929426510110663,0.0013339824174243965,0.040721933426563287,0.0147980837437728,0.05284749489140159,0.05045615377429712,0.06326487399191584,0.054336641554630506,0.008757327196400521,-0.059450527503525155,0.08583189919994932,0.16415546174730544,0.04439685202432527
MIA,-0.050646131079555144,0.01095533687194894,-0.015356638924508996,0.006953093355114401,0.004744036302949348,,-0.019978617522119175,0.09098672863237255,-0.0448233497002588,0.0969441976676986,0.02361320373632873,0.11590883922349247,-0.03544671879612509,0.01241406757715862
COL4A4,0.014528997198232238,-0.006363244068251407,-0.013607374335793324,0.020017118721495565,0.03308602043435294,,-0.0193800001851531,,0.08321641908790328,0.0329005184866568,-0.03298619017403635,-0.03427477412366059,0.016524457595126114,-0.05686289188689544
TAC1,-0.0163674481704491,-0.03778878381880187,0.0066472903466681535,-0.06876198382280783,0.061113097850015084,-0.07506381987382736,-0.0019203938286435744,,,,,-0.029341741043197343,-0.01455113986157635,0.015507286447873136
RARRES2,-0.009073588845185178,0.0231335853459473,-0.11096015245757698,0.0071915905002074565,0.0013196723448540486,0.015703548905007126,-0.010221999948719945,0.02635375906152595,-0.10261163766513309,0.08667263740325648,0.029438417779508882,-0.030780570579935405,-0.02879382201534947,0.05250013618800387
FGF7,-0.006249016801743401,,-0.019489734161001967,0.02516335641666589,0.0035269887222309834,0.05028794713545995,-0.03069273726041495,0.054448569282316846,0.06566390723718998,0.003858995588117987,0.01229468376143179,-0.0053705121297975235,-0.04488409484908234,0.031095955069148383
EFNA2,,,,,,,,,,-0.016055732045438406,,,,
HBEGF,0.011110045525097945,0.09180992587715545,-0.010796400827928463,0.045110198610538194,0.028522940780458354,0.06934686905053793,0.025736292186274167,0.030420436496882242,0.06580288935619816,0.08380822365802948,0.015061160420296517,0.11474601685093878,0.05897892876302938,0.08413515560698691
CSF3,-0.02698377888474348,,,-0.01957658845848128,,,,,,0.04366703519017462,,0.04015315469668407,-0.030735121373149463,-0.031125302720433307
PI3,0.061098418105017364,0.12406839830011003,,0.05183570862508957,,,,,,0.04286780125513382,-0.02450234989906885,-0.012181346907785417,-0.04054745582125876,0.012756907461689773
PCSK1N,0.01728908044289899,-0.0503220045991202,0.0065962500825451015,-0.04521406025091669,-0.005272882194134352,-0.0353934442199712,-0.03529677953607086,-0.007077738150113083,0.07919128238065587,-0.08506395386279077,-0.0008570726938081342,0.022921768218165307,-0.11006972856367046,0.0026209752202214992
NTS,,,,,-0.000294039407339637,0.03196696226850711,,,,-0.019560862706681694,,0.05280777884802924,-0.04551452367506434,
SFRP1,-0.041663320581647637,0.037218978721623976,-0.036252750248457734,-0.021596460645194087,0.009808004729745497,0.025392457680436516,0.016352662447989764,0.034897052515283244,0.20997118309406596,0.055436834039860966,0.05756802796539431,0.01724339114697664,0.05818934159823645,-0.06749584525177556
CXCL13,,,-0.007212062520837203,,,,,,,0.06671512785028136,,0.13296146621466237,,0.025226597503491995
