,UKF248,UKF255,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,,8.900516105448688e-05,,,0.18620148454281468,,
BMP1,-0.057490224720169236,0.1401162228310659,0.023721978942713003,-0.04361011239209677,0.08160792942747994,-0.027941435093156445,-0.03479679489011283,-0.029756521835721122,-0.0014531004234838295,0.002038625614534425,-0.035438966171216175,-0.054762953016455757,-0.0459204500895615,0.03312572659421408,-0.008326839813261433,0.09733309272126939,0.037376960635482,0.04411647198704428,0.10744340472747382
NDP,-0.02185012122137906,0.08162555104230326,0.05561126850594332,0.005649572064654167,0.014391119721014065,0.0626858522883408,-0.02495529858669716,0.04861113538274872,0.08079766169524553,0.01122880338675297,0.055223426710355725,0.04602898832774717,0.10415608230893912,-0.017210720694164162,0.006876680813856187,0.042771784209210344,0.0803624127877796,0.06199415632918648,-0.034424657510236115
TNFSF18,0.01037407219680138,,,,0.018897322486975385,-0.0118145221108422,,,,,,,,-0.02313094179365946,,-0.04113938401347325,-0.036358598571116126,0.07628825606842364,
IL36G,,,,,,,,,,-0.00588822942486829,,,,,,,,,
RTN4,-0.04981324077710431,0.08185744310852812,-0.03845086043740726,-0.01055337958685034,-0.13683028307802222,0.04875167486862684,-0.038873613094804846,-0.003813779918628873,-0.07027155178752025,-0.013249006639124499,0.04286762128758101,0.040919256772690274,-0.02253086896430342,-0.008408122680345163,0.12684901557185826,-0.04422382579119286,-0.0052107648274411405,0.043806133156273006,0.01934460489073859
HEBP1,0.006410907476324052,0.030745531505655357,-0.007646592403574069,0.023778087330191492,0.04639244065397415,0.0004584310366961998,0.014687693954813013,-0.01833355666348785,0.05152828348926796,0.004403858390249327,-0.08299926978464592,0.016299341475208964,0.04721520460073157,-0.004714888110849008,0.0011311712609227966,-0.009024731509441606,0.10131015989107242,-0.014127955217651852,-0.048513926351528465
WNT7B,-0.020016909588578637,0.07601064818178874,0.06456965408355271,-0.05072704426685686,0.03427862415475569,0.0019289597622490816,-0.01233231221151386,,0.049731313373952694,0.04985076813787314,-0.00193000131774025,0.0544309120560453,0.07956912184034182,0.05054197608051036,-0.05883323043302557,-0.04113934135502242,0.03178296433847453,0.06919177447160758,-0.025887958783632238
PTMA,0.024681925750332137,0.09874514565872602,-0.013258678000787205,0.02687544748601745,0.22270113082768583,0.004479048426548606,0.017430079247920605,-0.02962768711289931,0.026322376605575792,0.04843337066630112,-0.021069417278147682,-0.04205140517199647,0.04534437294800373,-0.00684286770278022,-0.011990793967145672,-0.012891945025559747,-0.090868834221737,-0.0753527521569456,0.036507147258428796
FASLG,,,,,,,,,,,,,,,,,0.03231604353116422,,
CEACAM1,0.03646842352675237,,-0.001556101781577297,-0.0012824553502377876,,0.1051138026120653,,,,,-0.0246647153095489,-0.03457334845932963,0.060434412143261756,-0.033236748454479784,0.04501220992356293,,0.09858565046834662,,
PDAP1,0.002841892376832811,0.094297471741612,-0.04035787127890642,-0.04991191777715486,0.12050672438268979,0.04019423476208108,0.010532440759325643,-0.060035434350809276,-0.005568672071344369,0.018872006145770767,0.0486868593873899,-0.010482124637196815,-0.000972828905992379,-0.015576788077065244,0.055914150513828045,0.042100795942270654,0.019923370366012848,0.05697152335396147,0.04079003788887201
