,UKF259,UKF266,UKF269,ZH8811Abulk
IGFL3,,,-0.014513721914422172,
BMP1,0.021466972312269034,0.005353227182963262,0.05596173560237508,-0.006835254380877208
NDP,0.03212707676276747,0.006126536298771669,-0.013579295333230886,0.007313464004503302
TNFSF18,,-0.0153839403959821,0.013192813241862257,
RTN4,0.009985642759476037,0.017087678677619768,-0.0796594785341756,0.005967911975248269
HEBP1,-0.04453487567816162,0.025885077330582207,0.014205166943705884,-0.041062714408453924
WNT7B,-0.02275399309768119,-0.025390979232591517,0.010840069723895443,-0.030969231852433027
PTMA,0.04345156702322063,-0.008829592354937493,-0.05271756439063147,0.03066246702791808
CEACAM1,-0.0045151542208914505,,0.01538428164540019,-0.017353588067248606
PDAP1,-0.05708900224230255,0.03989270768628948,0.06065045399043862,0.059675024466162956
QDPR,0.021655111319554346,0.033829694915457856,-0.06045034877046803,0.004871471170071599
POMC,0.012922366930016296,-0.04058593755787921,-0.03655991356221106,-0.02887341261144377
CCL18,,,,-0.03175685329364305
CCL17,0.09742780177735713,,,-0.012311530796440389
VEGFD,-0.01696671152953479,,0.07599449464729448,
TNFSF13,-0.010504576184420675,-0.014919212913101021,,0.050998792872208064
WNT5A,-0.009159136305781706,0.0108662739147388,-0.00019063597356880184,-0.06459945618012794
CXCL8,0.06744160100892933,-0.021221612721334535,0.005617254962833714,-0.016065028148424067
GRN,0.044848920660866605,0.029879631453237097,0.02729181145907592,-0.02264075249560822
MIA,-0.01424116922485954,-0.026976814284380323,0.03646211583924371,-0.004140524585402261
COL4A4,0.004386801690455195,-0.014194971949784878,-0.014302195663228257,-0.03253054656548289
TAC1,-0.006376289796646141,0.026873492165467906,-0.04174536200480804,
RARRES2,0.023306926680653376,0.023071038546762106,0.02707013001302168,-0.03649376455461203
FGF7,-0.0044213675030309665,-0.002182948107524489,0.06301747237808114,0.006725717546559638
HBEGF,0.010806546746345224,-0.022306333070715497,0.054036976531795546,0.06158885924094851
CSF3,0.04527104290154186,,-0.015131447728612862,-0.04740012975550594
PI3,-0.031324110036343784,,-0.017038209855910993,0.00743299113048599
