,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916inf
IGFL3,,,,,0.06856951307715879,,,,,,,,,-0.026465982492471236,,-0.01595430892869981,
BMP1,0.06470592143643579,-0.06752750338664604,-0.021348672077551596,0.048180547602818286,0.09371099023762133,0.042268357699604096,0.0549583364574954,0.03472980579858274,0.01437611373412171,-0.0039199883311311435,0.0037734954055518317,0.17643937653181443,0.11520032613190857,0.0464454164987357,0.14757575050265848,0.014182617698118915,-0.0669870022596117
NDP,-0.013941066953509574,-0.008665232114317753,-0.055536476556377765,0.015177650701191512,0.0023045898041306966,0.059580338247854504,0.008667421215943192,0.09153634524488465,0.01829543437787113,-0.02590577083124648,0.051462736221300855,0.0908425315318454,0.06018462430664733,-0.05005092269505888,-0.07788447478272267,-0.03776918951645278,0.01682620802633001
TNFSF18,0.03416728802863282,,,,0.05849846725193952,-0.014907369936534312,,,,-0.050178609839432106,,,,-0.05305589030725556,,-0.026912066825066003,
IL36G,,,,,,,,,-0.017136233243492317,,,,,,,,
RTN4,0.010028266379732158,0.01280620346706806,0.05841524272133063,0.015026067106523839,-0.13455557917898925,-0.022164774567222035,-0.060788884493246716,-0.14454041223154868,-0.031111409899795377,0.16579890840094438,-0.0011997586047856825,-0.0871155237784843,-0.10881859505562096,-0.025974249123157492,-0.2408110029216548,-0.034962578045206555,-0.0073327856456416865
HEBP1,-0.016363611271655074,0.05428528581623958,0.013814654390029586,-8.563374059746695e-05,0.021263536751311606,0.01870834886566139,-0.01039725048447554,0.12321825244119247,0.00612106356228474,-0.034429860338839206,-0.022884733036704345,-0.020888633749331798,0.07774966497933684,0.01150295559825666,0.021803424978150788,-0.0011576313320904397,0.022514722249732985
WNT7B,-0.0035616984768885814,-0.04062996003208262,0.019671664117097542,-0.027932407439706076,-0.03934527711588232,-0.00634306460077292,-0.0492530834282453,,-0.0003940995296401701,-0.041651770508256435,-0.005579506080790506,-0.030022472964926824,-0.00814711183534406,-0.004820108009307827,-0.07215378436871678,0.030905204106899127,-0.0017435243497901185
PTMA,-0.021598968952710355,-0.048459829997514595,-0.00643539561434137,0.00855708626139407,-0.04469391172840233,-0.005829761712605761,0.110775544361069,0.2199339830064449,-0.03564134890018972,0.09127128889987365,-0.1354786550936233,-0.09862610587545033,-0.06963761485402513,-0.06340957210690629,0.055274035732878146,-0.020015408073655264,0.08557106866040637
FASLG,,,,,,,,,,,,,,,,0.13727647449953786,
CEACAM1,-0.015573934117887947,,0.05385658959014733,0.12824735240926374,-0.03246396203373428,0.098615532054752,,,,,-0.022696825180743563,-0.008865452244521125,-0.006753928007310514,0.11242883609920162,0.039886279671236397,-0.019252385140623423,
PDAP1,0.01983820018257101,-0.06946708355556785,0.043126073337257556,0.056127670568562535,0.10712076395100817,-0.003297414951857518,0.010897221478925339,0.0633436331450341,-0.00290707399323077,0.013130182965868348,-0.050899728373916577,-0.0062979042270298515,0.024525206416543027,-0.027046066449482112,0.0005776558751223522,-0.06924212978450243,0.022265244362493827
QDPR,-0.0005537099129336036,-0.05383747490682899,0.02877763556815718,-0.05250490864985881,-0.05843615380744067,0.011260214570607822,0.008690081347344322,0.17587404914844612,0.002166677419906343,0.11445358601216267,-0.04004315374920699,-0.052126569263268106,0.037639466872255875,-0.023561381917557436,-0.011243803386719825,-0.032913709171113685,0.08382012687175207
POMC,0.012135288200613636,,0.020891485445496173,0.03004781048303796,-0.03200861597456194,-0.017297333227308385,0.01303245516021012,-0.007827756454552352,0.05073847010475577,0.02024212071596687,-0.07783409939731097,0.009465928710399033,0.04397770892018504,0.08782642026660756,0.049950880590498715,0.03541778663281143,0.20666385386984776
CCL18,0.01619951774502054,,,,,,,0.0908630904077381,,,-0.03595999649548547,0.08909353037428494,0.17088061585611486,,-0.010247356963589199,,
CCL17,,,-0.004772973698304286,,,0.042675864468676536,-0.012216090075444148,,0.09200421905514931,,,0.05972437829445369,0.05940130705220538,0.010980110774282665,,-0.012541837420074801,
VEGFD,0.050912578270840045,,0.051051556654685325,-0.005709008377612507,-0.012931427138105408,-0.019808621841400743,-0.00480313121356399,-0.0438927510962047,-0.01677734346557275,,,,0.057429512002532816,0.02494087757703294,,,
TNFSF13,-0.014666127106671173,,-0.02558328121142883,,,,,,,,,-0.02053701211508268,-0.025769338431289698,-0.01802605127189288,0.013522134010863936,-0.020435877251377046,
WNT5A,0.0026968487448438714,-0.004741911006330983,0.07787532883811062,-0.033777380848591484,0.0674331030526479,0.07058076331015757,0.05357882171708393,-0.005017059391683076,0.015617985049146126,-0.0039082779417970274,0.0741844008160888,0.019447137941180363,0.029650307424133687,-0.011862383763795588,0.0688157874081,0.04516720405781692,0.014524129590228817
CXCL8,0.033481896394833684,-0.009082523128911144,0.03362382259624618,0.02437805309632077,-0.02997768987720071,-0.0023985094670199393,0.016841967002921465,0.06936505400205954,0.05509747901992996,,-0.026299027472177685,0.05693125416737264,0.0853169321463417,0.027632369728150013,0.05211367479471066,-0.029841887902352968,-0.0016911716701493397
GRN,0.1142960508665324,-0.01664263255454102,-0.002723882448060044,0.06985521218793862,0.05924668922951623,0.01991650830506536,0.0322574798874919,0.13214706217427535,0.026600805357865145,-0.10329628831519459,-0.025613996788462722,0.023109978107206212,0.07450195433433818,0.02190200239698831,0.21082857145144235,0.060710321258988974,0.029417884040264686
MIA,-0.020794320025483974,-0.03419551555968992,0.02833356212397583,-0.02025411642054568,-0.025810642152729234,0.01213807542273033,0.007445039129055264,,-0.007785161400147704,-0.053263601072025046,0.03550070956119709,0.13047114699107226,0.14512126967812383,-0.04537280917032825,0.5073101804631598,0.004789263054779224,
COL4A4,-0.023341034844434446,-0.027840914320139683,-0.02829102694575483,0.011595330984560228,0.0528573702239665,0.009447571321141709,-0.019872787980889015,,-0.02228887295722108,,-0.0454646713888411,0.03506792863199607,-0.03218507773864214,-0.05996932696145304,-0.022890074058265,0.07280287488244258,
TAC1,-0.012932359867495613,-0.060670468917288986,0.11646835138827083,-0.02969556867022034,-0.09829040976994337,-0.017177919272548667,-0.08521067049486855,-0.12432913045707442,-0.03950054754577895,,,,,,-0.1003094080562651,-0.01648752059639501,-0.0640980479018747
