,UKF269,UKF275,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1
IGFL3,-0.013421981098287036,,,,,,0.005650845346748684
BMP1,-0.0661034436911702,-0.01688445407344378,0.04691858587565859,0.0157772699563086,-0.05345103732953671,0.029626415387413608,0.0913855508346831
NDP,-0.06902697918422511,-0.02821296133476544,-0.056439775234984745,0.03413550365801605,0.09001773666345081,0.06298080000931548,-0.033589261278162356
TNFSF18,-0.01993123899204193,-0.010647508906761256,-0.04723470923915382,,,,0.031230988969244432
RTN4,0.10187299125378715,-0.006581042596084405,0.013986566908214105,-0.011360459788659327,-0.024691646501459837,-0.027604699293110033,0.013714074784111218
HEBP1,-0.07163060987117142,-0.00626661825588994,-0.045550225799938095,-0.07825814572860741,-0.016607806989899714,0.061918582991484526,-0.03761078165189057
WNT7B,0.13074596652114667,0.005687038539068818,,-0.03318912789090526,0.0030162677241932757,0.0659229539391174,-0.014808623289633366
PTMA,0.01653920204943077,-0.016661268496239178,-0.017256252196623096,0.012160982153461194,-0.04774665785608671,0.00302588619432153,0.13237096989768501
FASLG,,,,,,,-0.015216435561626995
CEACAM1,-0.026228375315036048,-0.01674599491130014,0.11174389540197519,-0.029764541494382735,-0.02008049241483654,-0.019018341415787964,0.09949563093118888
PDAP1,-0.07294361955485358,0.018016719824649877,-0.021364042521205127,0.07725011971172432,-0.01457675665142217,-0.014171602757301732,-0.04032996951231765
QDPR,-0.062563535346566,0.00327259552650599,0.007639410906106724,-0.06434281615069673,0.007292184216570661,0.023749799391440198,-0.04251760602584255
POMC,0.05412830801323434,-0.012354527350234958,-0.0006818016799291076,-0.023117503980271428,0.030742152717394597,-0.024556749986077212,-0.015854026447471112
CCL18,,,,-0.021103549295523494,-0.011134650593896026,0.07796238865177793,
CCL17,,-0.013279516613040892,,,-0.014246137445173576,0.13007618265845927,-0.013791989732371238
VEGFD,-0.022485418702369742,0.02510646222001566,-0.0008638257507986608,,,0.06968070947627394,
TNFSF13,,,,,-0.02733619795461517,0.06903070124746874,0.014394175998317254
WNT5A,-0.050684623229285596,0.015965619810621716,-0.05997122979866732,-0.03319192305056193,0.05299251122334699,0.05256109073753908,-0.004503941968838997
CXCL8,-0.012146014869673129,-0.049048767315067014,0.04275234707527667,0.1630001261052744,-0.015356811989409557,0.021070106697102565,-0.0731013140369548
GRN,-0.058726583200832,0.020582892551729265,0.09608363629913859,-0.05009888605290336,0.0060247444537935065,-0.049139334557177575,0.05243951782253549
MIA,-0.038341127766817515,0.017542249588803842,0.04134062859389964,-0.04365450622447546,-0.008815038989911178,0.09369309505185103,-0.018602983604052787
COL4A4,-0.013226366123571622,-0.01386422619461683,-0.03535625850408124,0.052853483676385364,0.007491192796693187,0.0940292820259424,0.11570113999195522
TAC1,0.08724130687948864,0.025988613569356188,,,,,-0.018130972931746318
RARRES2,-0.08393216878667147,0.04983679143463765,-0.03351831205231229,0.0357501799018197,-0.007288772929168937,-0.02198085701560373,-0.0731547828988478
FGF7,-0.026956900450187837,0.0044559820211315816,0.05053778237892386,0.02455724639628796,-0.00389257780807313,-0.013168433952045325,-0.0713729572758573
EFNA2,,,,,,-0.018075660749776103,
HBEGF,0.03681660983573863,0.046123193398147105,-0.012675825868673598,0.006886410729705809,-0.02225313485026103,-0.018355602908641685,-0.0028997194725170106
CSF3,0.06888290179565607,,,,-0.017148212169755712,0.06758382400295948,-0.014520837522644903
PI3,-0.015756573812223947,,,,-0.029392609023256116,-0.021221251139995515,-0.03154895586136465
PCSK1N,0.03393277785181958,-0.07508811632870684,0.03284187319739945,0.011504722665288711,-0.0004784948892494161,-0.05235680548869747,-0.0852378812106697
NTS,-0.01719937618809709,-0.015838266814300537,,,-0.03323475569133548,-0.02202176252433035,-0.0215033802919536
SFRP1,-0.010871705443222999,0.03800802320282206,0.019174632471839485,-0.052871270146919135,-0.02256474378184082,0.042136657109778035,0.0592557481215348
CXCL13,,,,,-0.031999745569287245,0.09552969997000213,
MICA,-0.043320251183866204,0.009442654083489634,-0.04784775582077079,0.04365135819480922,-0.0013171169321095023,0.09981293421982085,0.049508313893843914
TG,-0.016888589677922027,0.027186069609493053,0.08078259430201662,0.031027770269274977,-0.018929554926144662,-0.027122207889088146,-0.02831840290825891
ADA,-0.032454274573916926,-0.015608210642904071,-0.038429088472311516,-0.021938862189102702,0.012066128333685488,0.043829858813510536,0.06628703039602966
LAMC3,-0.039570811100739886,-0.007349426880858747,-0.044957264572105284,0.06691171937710276,0.008695307859377527,0.019882921127564342,0.06683536238447944
CCL7,,,,,0.05893233762216906,,-0.015216430150844137
NGF,,,0.0003995755087084036,0.0630991276472656,-0.024659476780296837,-0.017832693459069883,0.03941464428951777
TNFSF15,,,0.02441538897797032,0.01581764141642948,-0.020815486793143663,,0.027205264881187706
HMGB1,-0.032744814979901574,0.002421489056447614,0.010827269788841607,0.036999709555316763,-0.031230617353255143,-0.06654873717746759,-0.02953798978825979
ITGB3BP,-0.07872476892996162,-0.02350752265990418,-0.05975760485064706,0.023280315518035735,0.0016194239694721207,-0.005302456879849894,0.03687610339298163
AANAT,0.07878783203423462,-0.012031462557437948,,0.010928159015750494,-0.01873144479768741,0.04163709130280177,-0.016099617657874755
RELN,0.028649170703095982,0.01793014280716514,-0.011799233326996632,,,,
IL15,0.01450209966338663,-0.015853520783627038,0.15861690583828222,-0.03715621825662305,-0.03431677432819978,0.06406924198040025,-0.022929220885147563
UTS2,-0.04163641795376022,,,,-0.015951196154500955,,
