,UKF248,UKF266,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk
BMP1,0.022272756001569183,-0.011592580505718273,-0.05206343650431634,-0.0029099584442769206,-0.05214245979476572,-0.08185486562652322,0.03160609573873013,-0.11335626250744778,-0.14932657414670547,-0.1308821108757407,0.018061439089880987,-0.05046355522162166
NDP,-0.0038132849246444024,0.06602435735074293,0.03362532330132407,-0.006186111350698277,0.008660250344918855,0.0038346498638881584,0.01326114884681706,-0.00045731326682678727,0.10402465454699072,-0.03538798082803316,-0.022604258699729776,-0.029578440890466292
TNFSF18,0.061089550808071026,0.032548425686082426,-0.012622089051545443,,,,0.14958423072898547,,,,0.19341729387849987,-0.023592440838455728
IL36G,,,,,,-0.011835995229326756,,,,,,
RTN4,0.0009383293819747438,0.04207607132420516,0.044180409177509795,0.009684475919959332,0.11053493745312269,0.0803666693590876,0.08446704838399953,0.24291937531721527,0.1344663563108217,0.3257119940525543,-0.014396990617264797,0.025283396265028766
HEBP1,0.0395879563343919,0.024412014866149988,0.06844666635830482,0.004903690569319275,0.027809498870330945,-0.008484684425816442,0.03426109888291239,0.03786452081812228,0.027629427028184744,0.02974873581297729,0.034797222487698315,0.054154363305016294
WNT7B,0.007284189681970513,0.011437193457162346,0.008977762433077659,0.11789665896077371,,-0.013009122753684632,,-0.005719206109536699,0.0015430192019576325,0.002286914137533704,0.058721094330798106,0.015401247369623046
PTMA,0.023602511691349966,-0.028812007754620707,-0.006967425103601956,0.007677183197590341,-0.16832020865986452,-0.09396133808250055,-0.04103154890867883,-0.08019093009108279,0.008583744931909283,0.05473168378654928,0.05831273005619291,0.08534212537026203
CEACAM1,0.010665940619037079,,-0.019851539066845565,,,,-0.06983916235462856,0.040310552432135216,0.03112827220565693,-0.002586311125263628,,
PDAP1,0.09904120407329618,0.01262604203402375,0.03116450323129487,0.0369599303644839,-0.05490280188545557,-0.03617948971898691,0.05877134020917079,0.051257353017791205,-0.08587971268545218,0.124014174565754,0.03682158916763826,0.023862879822829197
QDPR,0.02879517108461906,0.10429437846707097,0.053249799724537195,0.057898079096384704,-0.15511541047850486,-0.026016605104556015,0.04889785407784434,0.08816034395080165,0.17258128338421588,-0.016291803966092228,0.03558277920188303,0.03105813593207725
POMC,-0.009129736745715928,0.009579004369215348,-0.014645674004122807,-0.005482995440638542,0.04082277185314403,0.03120911075835456,-0.018980553132110067,-0.015945939410023723,0.052279898168103356,0.04198592402057456,,0.023209259722660937
CCL18,-0.0003668625983292585,,,,-0.07588022600463722,,,-0.03157325383569869,-0.049692767549420126,-0.07405413955167602,,
CCL17,,,-0.015742202492532522,0.019734791727930787,,-0.01081251766578062,,0.0002946506437420117,-0.002757400041859407,,,
VEGFD,-0.02658321467458135,,0.148447286993924,0.04113453784835528,-0.02475950172006837,0.017607099136218843,-0.024735738178753276,,-0.01845792632782752,,,
TNFSF13,0.013728450038994004,0.0047749756233630355,,,,,,0.09155693915418614,0.03061724325165344,-0.0003419423445962065,,-0.025665210413882103
WNT5A,-0.006339790537559522,-0.05999350018370185,0.010600283485108011,-0.05107943973085338,0.00679465574765274,-0.059478890525130036,0.15018216050077507,0.04419571906524734,-0.013686845851970946,0.01894803562478659,0.08223572393978057,0.02761402416198497
CXCL8,-0.04889755145455505,0.019114450759519095,-0.001387235889947789,-0.01418652482650659,-0.05641862557877964,-0.03484101298857367,-0.016286138594785667,-0.18790198713486736,-0.3074104021557167,-0.08418629747678574,-0.0012969525305058813,-0.014723530796263028
GRN,0.004626479039574919,-0.017194367447548053,0.02867128607631684,-0.05471145772005662,-0.07470970598552967,0.010564884901981028,0.10844547873165454,0.023490024282124197,0.04924343027522056,-0.17245279921062873,0.055919466258633,0.0333593240157307
MIA,-0.03927393599626182,-0.019874539504204158,-0.01107721859939373,0.09609154722888842,,-0.015870447812342044,0.05921284153757778,0.05850572004537412,0.19705094609311494,0.01725993045613704,,-0.04701478014707587
COL4A4,-0.021282063836722636,-0.023489641674385338,0.053072434210829696,-0.029105327570212797,,-0.01539492315727694,-0.0318516358017376,0.09153291259625923,0.08832252163297459,0.038970267213922855,,-0.028684758808424374
TAC1,0.001444765418379824,0.08929187489004761,0.021009020149141897,0.0007169230866814486,0.11818390334475258,0.11319069029451474,,,,-0.06056289060541154,0.07723055227242824,-0.04910127740653136
RARRES2,0.02599381029938683,0.015206420982550036,-0.006623118809804632,0.04577443885077747,-0.0036250378383020257,-0.039500196239258795,-0.11751758235247632,-0.07255995051768539,-0.10918360323080352,-0.03793361440921783,0.11689155547894571,-0.01833454092126396
FGF7,,0.004948919915907876,-0.02132350088501233,0.02553589543382746,0.027762476352962615,-0.041416627559452475,0.0878278030054086,0.06734651559536092,0.07026431522074936,0.08570024839306829,0.07836246623387642,0.011704790515495377
EFNA2,,,,,,,,,-0.027431196202834903,,,
HBEGF,0.03400037753177922,-0.039396899028324106,-0.06551446501765155,-0.03912226686290896,-0.05666164177864163,-0.005651269458294516,-0.0641782687952685,-0.008871489060580285,0.05220033157175339,-0.04653947819897363,0.051442296148707385,0.005998243000514902
CSF3,,,,,,,,-0.08259735038481324,-0.21517253603070516,-0.036715656599794366,-0.035483039131540876,-0.01226693425688403
PI3,-0.027966653751900154,,,,,,,-0.18998235073950767,-0.3127763519510442,-0.07429538040217423,,0.07765346314857544
PCSK1N,0.03559977113779921,0.042869697168366847,0.032912821801197624,0.00620753682593143,0.18930662216225866,0.05862650851706165,0.06571599619304154,0.20485516912423002,0.19778156649349374,0.39308883235533576,-0.03139569117213248,0.039893311252502464
NTS,,-0.028675515445743455,-0.01877547282682173,-0.0019120482031615572,-0.02229150497092346,,,0.2032391292035879,0.08454657664171812,0.17235977358546753,,
SFRP1,0.025526691661181305,0.002875181863355591,-0.001439232228314813,0.0361560629533924,0.002465986656295875,0.07943184570271687,-0.026338758193765646,0.1621616991325997,0.1157260150742613,0.08569244762429294,0.006783552543440949,-0.008159104787596457
