,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF296,UKF334,ZH1019T1,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,0.0858327395794829,,,,,-0.023153204984300155,,0.03078500941673214
BMP1,0.01889415256485532,-0.01218409561083225,0.0934281349460961,0.03188818943991495,0.0317313269196679,0.02966728447211566,0.05991116721068713,-0.010266166924904485,-0.00600008289510245,0.009499772110689508,-0.006329298774561278,0.000860145307515545,0.02816263600037635,0.025510562033374238
NDP,0.009509935667685298,0.003755167432672101,0.008673873090243584,0.04092735952144801,-0.06816253600630678,-0.02479564159029683,0.0013151586623492454,0.04276117342364948,0.06650343888177435,0.016873309142072548,0.031544708248362203,0.01170489156642388,0.022568959913999456,0.07928275887183786
TNFSF18,-0.02409657253313793,-0.02723213112352285,-0.0035881674397517807,,,,0.011380870758696413,,,0.00792489715790479,,-0.023877491622241145,,-0.02959462896395925
IL36G,,,,,,,,,-0.019562000649868922,,,,,
RTN4,-0.038288383466012536,0.03725460955514868,0.0178569341009064,0.025461435575886576,0.01130383847610941,-0.024218747452317422,-0.11959751264769507,-0.024392806229543047,-0.05956314471666758,-0.003614282872330229,-0.030063917379117303,0.03182314939733941,0.08902497286359777,-0.03391891500031295
HEBP1,0.03848032718126426,-0.007900740645084928,0.044104507446556536,-0.029849465376808364,-0.02493204950294371,0.05809591549241231,0.09146099921850184,0.05148243398335649,0.04171737811497209,-0.04535448402952023,-0.009546114727531653,0.03706573678615009,-0.02246873023009539,0.023517704090198238
WNT7B,-0.043736156101023174,0.12053203861264745,-0.017227632856585153,0.07086096861535436,0.08471073366242084,0.07678455275543832,-0.036285612907997596,-0.014006903270156563,-0.006199998342488826,,0.04619207183787685,0.05096140429046021,0.03870034029370498,0.03286544952855695
PTMA,0.044905176692319144,-0.021694728024517374,-0.014793661527333945,-0.005645838117703956,0.0033864413037689844,-0.006213375721580508,-0.10141311901134865,-0.04209521715020159,0.0672840389281889,-0.040078213533282794,-0.0028122530882749796,-0.007717583396990464,0.09115508383577836,-0.03412014535244098
FASLG,,,,,,,,,,,,,,-0.015216438662760144
CEACAM1,,0.02324739290208955,-0.013221172045085234,,-0.007851169017750044,-0.021404203069858366,-0.0014354234649060693,,,-0.0158584412122582,0.05042403242740704,0.012257069027360129,-0.016034982149125996,-0.0016518692522674216
PDAP1,-0.06156473311476248,-0.018718913234349255,0.020529249706428422,-0.026508182652887576,-0.022983673766591908,0.010428936442907587,0.08975772605321998,0.013660482012603725,0.010130719170766299,-0.02586649247817867,-0.021793245047067505,-0.05195853890192392,0.034063706622846746,0.03106686019049312
QDPR,0.0242017377438159,0.04515222655000118,-0.01474317529238816,0.02592647788285671,0.003134544821566278,-0.0269819310852502,-0.06790794325010634,-0.009975548046580724,0.008282390828028069,0.023274450249552187,0.023086058362955682,-0.007701518447539937,-0.007857746031220997,0.03454004909187692
POMC,0.1029192216218666,-0.022271658301719226,-0.023491913383985406,,0.00789873927713828,0.0034405234838598394,-0.027515876891722236,0.0035555729750010364,-0.033940447513881575,0.12196235948164193,0.03125323200764783,-0.041808190389116914,0.0018313278887830164,-0.02013676369846038
CCL18,0.006340660183786591,0.025482841639559405,,,,,,,,,-0.047140902771824485,,0.0708619671769659,
CCL17,,,,,-0.01649662813268105,,,-0.017336619721862085,-0.01787044295866541,,-0.03280247606061419,-0.01422504135047336,,-0.013791992543200118
VEGFD,-0.0026492862465880775,-0.021629335643882128,0.014963098387340952,,0.012353329279046919,-0.031220538601963034,0.05478552681131423,-0.012716620225105613,-0.019152307226049537,-0.03619994245052894,-0.02272327641578429,0.015293436756584369,,
TNFSF13,,-0.01632219075818291,,,-0.011379004880483724,,,,,,-0.03565516999691116,-0.01699377017348012,-0.018006210248312143,-0.022472900678301422
WNT5A,-0.03665169220711071,0.04526575738926263,-0.033407670235199756,0.06332139374796321,0.06084237165916228,0.04283016626424452,0.06631775664245411,-0.05435498487193432,0.011278206550989996,-0.02199800964602281,-6.477793555280225e-05,0.010307687946290198,0.04934955549981192,-0.04947695675249814
CXCL8,0.00533846685138523,0.025704548209002684,-0.017731181367621668,-0.08530416164391337,0.06843123307809892,-0.06511501819634027,0.07774119628955878,-0.011842269690648279,0.011771679014827424,-0.05345618946735799,-0.10401840760191146,-0.03126519407195473,-0.017845539509898253,0.008109940487722303
GRN,0.008210234083099427,-0.028899299326996378,0.046163437290914565,-0.002138108049606588,0.06421116964067372,-0.00900719898446735,0.05620085728197739,0.07498827342234657,0.01624278371742611,-0.049308157204696446,-0.03115054133320589,-0.009272193235883104,-0.0031386215845702575,-0.03589807454418711
MIA,-0.04896846578765471,-0.00010509439184491431,-0.016840955694216505,0.02679216206348816,-0.0009603981247432691,-0.017571628428979996,-0.022869953078983467,-0.014462477410774702,-0.026229962449588196,0.05577287350005201,0.09708415895017503,0.018391988797625117,-0.061774016793452916,0.01724295235669107
COL4A4,-0.036653126389942135,0.02740297801844371,-0.016669264283670257,-0.03154177303709163,-0.039759101631929375,0.09001629152077795,-0.014812509400561204,0.012075181968418024,0.0005774115073117774,-0.04276392529832531,0.0523860894510985,0.05066506422403045,0.14101677447868385,-0.04050274640370637
TAC1,-0.01876746448568075,0.03770617999639128,0.02964305816503133,0.1410938443394923,0.01507066742311501,-0.041623644076350906,-0.08085793842036001,0.041297649353502025,-0.04509215798951332,,,,-0.027664912292922162,-0.018130976626866697
RARRES2,0.09551857843025151,0.024589689867060876,-0.014571537200077174,-0.01329337058290197,-0.014684342054489251,-0.004209698360548563,0.1273113268499411,-0.00961479000306289,0.0392067215360878,-0.003424558552577582,-0.040159028039114426,-0.03226620479871664,-0.0003532727472839032,0.041922720676355184
FGF7,0.007720006805194334,,-0.02137354085819183,-0.037508704243327876,-0.018913526881931934,-0.020671136046522678,0.06611405256688897,0.06302294370574879,-0.03161039047943487,-0.014419951733240502,-0.010725929252653855,-0.06393319415249879,-0.014401318043136135,0.017404908575552356
EFNA2,,,,,,,,,,,-0.02159695352162167,,,
HBEGF,-0.027801829867607944,-0.0392621198347675,-0.0068506128528718745,0.021693715027587247,0.03162656222895308,0.0023523241840843804,0.0638744192113678,0.014818207863974918,-0.014586093645391537,-0.01430531001046763,0.016441431711216033,-0.02780770084490342,0.020604948805946807,-0.039485837596891976
CSF3,-0.036653097371552486,,,-0.022078042142185707,0.12844104523780944,-0.046226546028619066,0.03219389321243827,,,,-0.04894649873885944,,0.04306153159666709,-0.014520840482014092
PI3,0.025711727013780838,-0.022754965802329552,,-0.052305969625281536,0.03727554831978368,-0.010401344878471983,-0.01764614675971017,,,,-0.1295976226619927,-0.025936954450597488,0.003981500352078417,-0.03154896229109075
PCSK1N,-0.015089994034123795,0.02589702163689759,0.008645341178152025,0.12859055228362387,-0.008767098231126008,0.022072211438469973,-0.023734591583300504,-0.036873861930702106,-0.016269536054868087,-0.052150323374738676,0.0428384530581309,0.01599789010953854,0.014344878385888231,0.08314697548993831
NTS,,,,,,0.049536023512188276,0.02030124979966953,-0.02403927188412161,,,-0.026311789554251487,,0.05182825810976798,-0.021503384674375826
SFRP1,-0.023422862481744782,-0.03744216435832619,-0.011401576190190043,,0.025639818229308373,-0.005227032852676787,-0.03461301126980422,-0.017336619896456087,0.062128207234262,0.0029486098971940452,-0.004383983391953293,-0.03527584154424567,0.042930518810692576,0.056746659527384086
CXCL13,,,-0.02116501004829274,0.016160555373810816,,0.09804005887541636,,,,,0.01744546544754813,,-0.03749876186204166,
MICA,-0.006399759765650421,-0.00046391693691398344,-0.0049684147584943,0.10535151364178703,0.08117903840182077,-0.00837181052007583,-0.0018013593122317396,-0.05412990089753625,0.06073424765202413,0.01824177754178547,0.048756453970563614,-0.044654700642851014,-0.04723701996657846,-0.01787728664795639
TG,-0.029218368871308787,0.032205529324630666,-0.017978130122652626,,0.003067846456609231,0.04067911482923241,0.06082042811898088,-0.01254643640634049,-0.026843926895934404,0.06876135822655866,-0.007729106601294559,,-0.01891975482365813,0.04689437340338536
ADA,-0.04320919426958016,-0.005072558842775101,-0.008872518409582631,0.07673374430846908,-0.03601771828354452,-0.009523371574345895,0.12348640798853325,-0.020376421708984314,0.03975349146165865,-0.004716307705516675,0.0045669082233218625,-0.02282601080416219,-0.018309263355225012,0.07963351581966052
LAMC3,0.03623511985243993,-0.01047241117272048,0.001964591064876599,0.055486848660690244,-0.020081017470689664,-0.02457056036458737,0.06779341090067782,0.019536640798924927,-0.00559971085107126,-0.05537507327266472,0.042568664245955366,0.03431681225211773,0.010849180280306445,0.0022278879601731723
CCL7,,0.010646608111874298,,,0.039646247392245,-0.006357299122883995,,,,,,,,-0.015216433251976183
NGF,-0.021116891314967787,0.036617003962293976,,,0.029698459134891313,0.05865237133958228,,,,0.0010224241787630153,0.017450438876661513,,0.019032302290380308,-0.025706879321917828
TNFSF15,-0.02612423001658211,,,,-0.012505806476117027,-0.034648691307117715,,,,0.016566770010142496,,,-0.014275362782336055,-0.01767264336790243
HMGB1,-0.03879040485980251,-0.06863393504918934,-0.003917898851305967,0.02864387877985157,-0.008008885582702465,0.05306155145415764,0.08321397940624274,0.0007489977776300612,0.0608440874116624,0.04009150379641761,-0.05253926679595143,0.018730299299625042,0.046669218797034125,-0.006495728640757953
ITGB3BP,0.032654224108108566,0.03868588345814634,0.0715715318074087,0.013749833470463104,0.002076392297848216,0.030966155004178295,0.0409241206392265,0.00809814518730082,0.04496495625929616,0.03623369536628066,-0.04382637879807124,-0.019361266305426308,0.06998293265789479,0.016756454133521566
AANAT,0.08934765855086967,-0.019960881367508374,,,-0.011379006094943255,-0.031220543058870866,0.03949136366938735,-0.014462478215214621,-0.023971489902717802,,0.1231655576139563,-0.03775988469209145,,0.08796226894706555
