,MGH258,ZH1007nec,ZH1019T1,ZH916T1
IGFL3,,,,0.011625736190816699
BMP1,-0.029569197706889684,0.003424865429128099,-0.12493436720832564,-0.015732698099404287
NDP,-0.0032675300942409742,-0.03553328763012616,0.09530179854673486,0.10567304954297832
TNFSF18,-0.020634609304409194,,-0.028285497314115445,-0.009760893126989993
RTN4,0.018567269325711427,-0.0032109550989031046,0.020191311525681786,0.011581863777372482
HEBP1,-0.01047527131119005,0.017318776730258497,-0.030015881449177897,0.04512077221869167
WNT7B,-0.018178444503248986,0.046959304773263086,,-0.019933350599034554
PTMA,-0.0671107566124477,-0.04629708801768386,-0.07988645267675559,-0.08436348902948422
FASLG,-0.01817844964224868,,,-0.01341860808500835
CEACAM1,0.12766523637897567,0.09028087512428674,0.022167670166384778,-0.018670022315496897
PDAP1,-0.002007504580569893,-0.024532011287692317,-0.003013344314665859,0.03864608570544451
QDPR,-0.007077052307762145,-0.046601672588282836,0.12375244240528405,0.03525218204756028
POMC,0.053059758791898684,-0.04663597632774726,0.0027481936341408114,0.0009646566700353741
CCL18,,0.0027315887045703396,,
CCL17,,,,-0.012162461056113497
VEGFD,,-0.052866306464822155,-0.045721943663864145,
TNFSF13,,,,-0.019817715131560575
WNT5A,0.012664278370933086,0.0192363493268198,0.08239140037842532,0.020092391695255618
CXCL8,,-0.02905180853087033,-0.061861359868021215,0.0023024915868316903
GRN,-0.016284988690533582,-0.10696363716581288,0.018635936943257117,-0.0026471672482690813
MIA,0.07543822582910366,0.05985505105249985,-0.018231143352578808,0.07155098287903794
COL4A4,-0.02105285971801424,,-0.007939581935533723,0.014729113356220833
TAC1,-0.0181784397521022,,,0.009340117197795242
RARRES2,0.052627970859941184,0.013111868363791097,-0.03186897471383506,0.011608837229578943
FGF7,-0.009087696965596406,0.04176751494060992,-0.0020147364186967466,0.09634535324648838
HBEGF,0.014444769889142724,0.09354354960911684,0.08676787314151438,-0.0026366974498786455
CSF3,,,,0.11599569648610539
PI3,,0.05144772553985229,,-0.02782143508447348
PCSK1N,0.05599459676928534,0.02350873993802631,0.03685393639260471,0.07975166819509635
NTS,,,,-0.018962747975503232
SFRP1,-0.026450089022823836,-0.11027334286798711,0.038661142806413494,-0.018522101753572377
MICA,-0.03621310318021696,0.05569079554947373,-0.02563675090664379,0.04676705223330795
TG,-0.02105285497367124,-0.040659917187728656,0.0899780474952538,-0.024972573154882577
ADA,0.05485079937679603,0.08305858961531515,-0.029492192279341013,0.03078413744622815
LAMC3,-0.012331478771404142,0.023507546711664048,0.028830024972130934,-0.028245466040361912
CCL7,,,,-0.013418603313511482
NGF,,,-0.06991773820679344,0.012140584998198077
TNFSF15,,,-0.03151708179615404,0.050855907794212125
HMGB1,0.020930394163407695,-0.08747488973279656,0.000980087788814071,0.016119337510487594
ITGB3BP,-0.025713078874886924,-0.048320185620138255,-0.01065771460166594,0.023710076199626298
AANAT,,0.08495954608637345,,-0.014197441890681672
RELN,0.14351044768710183,,0.10697172024048344,
IL15,0.10369598508560336,0.005709252167524526,0.09716486259881961,0.009976294176847773
UTS2,,0.043430611771424106,,
BSG,0.03982166422544221,0.06540884887284514,-0.005868594869452934,0.02806789983175628
ADAMTS3,0.0045837853796684555,0.03430929723056569,,0.06196332611248816
CD34,-0.011640271809867028,0.09751945423776431,0.08749386864732699,-0.037271486219023646
PLAT,0.0023460884125287027,0.061887135916746924,-0.04845334375388087,0.009125260257324517
LTA,,,,-0.01910761717901389
CKLF,-0.0154682718795689,0.060447540925412206,-0.027058058350961846,0.024930676871629403
CD24,-0.036855715272789864,0.011655263419254066,-0.030033982079941585,0.08165741743835762
HSP90AA1,-0.027779958918533326,-0.020944369815722605,0.04262965520881828,-0.031157525998427905
BMP4,-0.021666444124238227,0.06792844896749951,0.029641892697706982,0.08243676996575391
SCGB3A1,,-0.011969865587025879,-0.04905861364737617,0.0468481569621292
IGFBP4,-0.0287873877232486,0.06877789852149535,0.07411821580675099,-0.03671945062568897
RSPO4,,,-0.04485693012534826,-0.025200946932227256
LEFTY2,-0.020844699536312013,0.11751305509330597,,0.12299313076738536
PF4,,,,0.025078939150725246
ANGPTL2,0.0022538129119853484,0.10135887618341452,-0.07843489776688044,-0.003419669884230845
LRIG2,-0.006871086889483561,-0.02039829961679399,-0.028520968519124265,0.0599827523040493
ICOSLG,-0.030497008552794722,-0.009055361255550837,0.025098041754965186,0.02349342236550597
NPPC,0.05566279447849198,0.1017909212244479,-0.07817165987074924,
LYZ,-0.045139825557291964,0.011857409672642212,0.006957949662751718,-0.006932018408677256
EREG,,,,-0.0002749381500525942
