,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916inf
IGFL3,,,,,,,,,-0.03536344839051212,,,,,,,,,
BMP1,-0.01173908255512196,0.11408788629721853,0.0522569644599471,0.05068455739756947,0.02656228773752322,0.009924585777687388,-0.06945860273956694,0.047685330584687415,-0.20417189745643147,0.0034753469270061774,0.06314102326745451,0.061752940901723154,-0.026129733445227656,-0.06462929461197908,-0.031086415120255194,-0.07866735618229675,0.1265654012174304,0.06167258328875543
NDP,0.0019205776769638503,0.04987663172520729,0.005913523224654667,-0.05909334892210636,0.12152035394130893,0.047924932491177824,0.023667883200475644,0.017585518229078678,-0.001827655884736465,0.023148053425887664,-0.042178033115661526,0.13924324007422345,0.059459084258424284,0.024209437842180073,0.06992618498705377,0.03209437121378794,0.03605052545422852,-0.10248723869749184
TNFSF18,-0.023591418721488493,-0.023852450399018708,-0.018349810494863523,0.001747326730203135,,,,-0.018616351536088684,-0.037976854572018805,0.00422118001943733,,,,,,,-0.04148201933477931,
IL36G,,,,,,,,,,,,,0.010596085293174372,,,,,
RTN4,-0.07922765047567862,0.04084479195454038,0.10955070107979478,0.005661656832114533,0.007778623173824981,0.05566356470435022,0.13283845965345353,0.05319892885669192,0.29319619131426405,0.042193976083303275,-0.007079688512812706,0.025670673190586153,0.08073471450959144,0.05855161388760602,-0.016840601414065532,0.023479978485753252,0.006174103951555793,-0.022992926378282024
HEBP1,0.05213176352223484,-0.0589940733758396,0.05037872861976827,0.014207515838691263,0.003910713791134551,-0.02697432555746107,-0.060892251463747826,-0.05106588712569984,-0.05074521131981107,0.024308667014677883,-0.00399876439557022,-0.004930012827945596,-0.0069849392709469115,-0.008893404311008395,0.012440000033218263,-0.009639100958379419,-0.004697123878046145,0.08892714443406835
WNT7B,0.06805648767375005,0.13128269247313704,0.07564340115640551,-0.0028908833293715087,-0.026741462788786134,-0.01138812175088706,0.05211941579189437,-0.026761530492167656,0.2990026794938291,-0.0284038242819255,-0.02542538452839078,,-0.0034333604728556794,-0.014568307905852618,-0.01905282498023053,0.006736650844421076,-0.05814590855596912,0.06138645763009401
PTMA,-0.05261739401123637,-0.017383616061014906,0.013135906305333822,-0.024829658946663752,0.16832205261573802,-0.018057011833536987,-0.12598739363823377,-0.029176898019858684,0.06916702180156373,-0.053883375142797695,0.06272088066148773,-0.048073888804256795,-0.0672555537773167,-0.028367801227205277,-0.018140174930327862,0.010714238490931487,-0.0428061149091138,-0.03680364706637066
FASLG,-0.02078330686523557,,,,,,,,,,,,,,,,,
CEACAM1,0.03704653257748826,,-0.012437124578253965,-0.021217897535859405,,-0.013205105405896011,-0.013203275188687311,,-0.06359541414830083,0.008176000245327594,,,,0.03275385059329117,-0.015399748203835729,-0.0037233920279680466,,
PDAP1,0.13860312199915287,-0.07426708619455719,-0.011777293081683387,0.04241497906202514,0.030966334367837207,0.043946423321854056,-0.13274184821789584,-0.06701114432762793,-0.15410848049269116,-0.017391633200148082,0.015392602922687676,-0.059960844391562615,-0.043794621020857905,-0.06282400968562567,-0.05989650327819793,0.029093707836054822,0.07790312415345017,-0.017868106606684756
QDPR,-0.11997290011248257,0.042014759736079696,-0.04041432818553205,0.008406616190067537,0.12764859654975477,0.0396295953566757,0.11763392584472429,0.07423633795842241,0.05888038764071175,0.09157693199010046,0.0927410674696037,0.06662906214374056,0.024260572104481324,0.07652865123379675,0.03464696468835557,0.051570163244707895,0.038831994281390385,0.008597854010901183
POMC,0.013786116488298408,0.03691277038619129,-0.0008480988041099638,-0.019867386874386685,,0.09275424024967927,0.06982010771967144,0.0422299210220732,-0.010363297361306903,-0.045458786707128065,0.015086512891582247,0.048948111149286995,0.031472935948719825,-0.012973193934618875,0.03505844352928372,0.018618577516486535,,0.044014586309551226
CCL18,,-0.031988097234369885,-0.05711354585397803,,,,,,,,,-0.04026430708821477,,-0.05240986306455903,-0.03760516534818016,-0.055061001735979505,,
CCL17,,,,,,-0.01219268755943327,,,,0.08931415784002605,0.012023777747171713,,0.0050975639123315986,-0.02031831167874887,-0.0222305033197112,,,
VEGFD,,-0.036041235950007564,0.03284406884351137,-0.00894835316071938,,0.07170349269297036,0.034824251449993966,,-0.052859542967798885,-0.024107089070175218,0.018200841396792757,-0.030636355850008488,-0.02650513915433357,,-0.015399748203835729,,,
TNFSF13,,,0.12414400439546447,,,-0.024881085555458943,,-0.029656051430911722,,,,,,-0.038987788254283624,0.04380927169254734,0.028204929030945906,,
WNT5A,-0.005111746695179334,0.009444592390900274,0.02694291701795668,-0.04121792975827981,0.11110535325685438,0.06077099295989717,-0.01276618711139171,-0.03427680307746717,-0.1612423518922743,0.020709796110328423,-0.060223465711360356,-0.01026285089666503,-0.07351434819182685,-0.029152147911696354,0.04994515711100581,0.0037795548362656167,-0.06763859784275367,0.08723950374049252
CXCL8,,-0.08622369033993141,-0.02689985530040784,-0.017175752259666093,-0.16621352016648958,-0.05179596434922625,-0.0643225846529144,-0.013842311392113336,-0.08676850281645711,-0.05541694765694136,0.0025162143196222134,-0.09421678422908716,-0.04798944510567412,-0.10946645749025077,-0.11661296828199044,-0.017044059982456814,0.02032187394259685,-0.02063331032227892
GRN,-0.13368579191803473,-0.05361102993971335,0.06955614329740113,0.047008016780735386,0.12129756871789932,-0.04827178822666062,-0.06504493983498247,-0.055675079409218786,-0.2042176560033981,0.014664771734466035,-0.03914388180279356,-0.056071306044013565,0.0018460015977333896,-0.12155601025167445,0.012871296312285771,-0.08166150450753694,0.02030904432311708,0.044753115932412615
MIA,0.044186027023337626,-0.0014483653174829725,-0.0211196813940583,0.05804135514839716,-0.03364003459963053,-0.0237490627079812,-0.06803872254758281,0.059798137377070154,-0.06665293910245569,-0.02312527535879909,-0.007311517314474495,,0.012753807567185005,0.062323156794622664,0.14943107907419367,-0.10052838966905041,,
COL4A4,-0.024069601782395002,0.04175288204756894,-0.0076531421444907075,-0.04545149835417619,-0.03677816756907007,-0.0031359314040310974,-0.020568435288079168,0.027929468005401914,-0.03484805353098258,-0.03447149622703651,0.02817503360766603,,0.06368979725049369,0.06330438700461176,0.04110518680325595,-0.047224578245068566,,
TAC1,0.11859556842136676,0.12238067513734993,0.1380736926010182,0.08891587010897951,0.38222060520575946,0.2162510783425392,0.1765212344221634,0.1139317459674072,0.27293545756727833,0.14029267061146616,0.022028916318875307,0.10029685640247155,0.025515407026301267,,,0.10550692088252821,0.00660464347482102,0.0391217245638357
RARRES2,0.10103300551415444,0.12423514736455084,-0.02071110953980152,-0.019854540406718812,-0.13045678372911923,0.0157358214442147,-0.1677029012835586,-0.07048606091220612,-0.2321985453614831,0.059617591447827405,-0.01502238723151651,-0.04442123152877234,-0.02638875294759791,-0.05493192023389096,-0.06597875407661674,-0.04253095627879715,0.08139824355854447,-0.009232047223054167
FGF7,-0.038779234791800066,0.004426552468587484,,0.0026048471207617773,-0.0036500375660359695,-0.005893242427408652,0.11440393772541706,-0.045407394391804426,-0.013894563465964455,0.015093328209395037,-0.019395843140172814,0.002870350441613621,0.022054940684381626,0.10156697757181904,0.0058841434754459115,0.04960120894813133,-0.01654728559805067,0.04558045833372686
EFNA2,,,,,,,,,,,,,,,0.01311438917594431,,,
HBEGF,-0.0004114368249867614,-0.06195300939243718,0.05355543405732155,-0.05086628165780159,-0.022986793230543118,0.01343381801471528,-0.11313680017153652,0.016158863894514975,-0.1258612298944272,-0.017037688474066413,0.0016667640163450725,-0.05698475922137075,-0.02689740174445502,0.015620497667460381,0.013794169885253992,-0.028899741130068015,0.003718199321659025,-0.06591869942106879
CSF3,,-0.036281765210511,,,-0.03970679999919889,-0.04299368911548316,0.001270571712888297,,-0.03686856989403992,,,,,-0.07675432287210879,-0.0632352701921371,-0.04239165173257514,0.09393331647070174,
PI3,,-0.04298116126435508,-0.016582577817794358,,-0.08265343219834512,-0.04119401955364818,-0.04892905956244228,,-0.004357847529148111,,,,,-0.1506429777401305,-0.12166999166815583,-0.04252629214617027,,
PCSK1N,0.08918680153310923,0.107846445954491,0.033125713678200816,0.09418085695799462,0.18833333595580587,0.028644729595736673,0.015506478188397668,-0.050301807784596565,0.1322486260673006,0.018227618783670515,-0.03582730281539466,0.08361560518993684,0.09980657629365366,0.07598721700824881,0.03617132091137312,0.017288111298907533,-0.016635916984381747,0.10208551731548532
NTS,,,,,,,-0.019475551603183025,0.0090870477605448,-0.03697219126409153,0.01929155552496331,0.025067208492740117,0.020873664381559572,,0.057388879941442095,-0.017831712580247766,0.09884767235623321,,
SFRP1,0.03260894221835247,-0.034676368524485454,-0.004430007642426664,-0.004140065332348437,,0.005225384615378856,0.022064828731056522,-0.0006464205785131027,0.031132417669075922,-0.020767635300669208,-0.048927637226830675,-0.003655956373374707,0.0044758534734728045,0.06702011407236244,0.06138272989636913,0.003799418961046369,-0.022545291607429303,-0.054283005421622205
CXCL13,,,,-0.037582616866249995,-0.0288318350188653,,-0.02899054242737068,,,,,,,-0.016310125846817163,-0.02700273255724183,-0.010408909955115356,,
MICA,0.005526532418397576,-0.010804718815970027,0.1035513827589877,0.03508414781109377,0.010536746060636181,-0.015091279610831072,-0.0011637192511254801,0.050972572320514165,-0.10133706376269232,0.032698203737690106,-0.02412272548579918,-0.028620782437680174,-0.009700071762953582,0.06757258057355327,0.024658329715633767,0.10868187966593773,0.00261195840480266,0.1798511161599815
TG,0.05291523000219916,-0.02892235786997084,0.009361346298919977,-0.0288520655754262,,-0.01734723048965887,-0.024390631441647777,-0.029309058449580348,0.022978985197071044,0.036654067629924396,-0.025887552744925123,,-0.011140375491037737,0.03911447047034922,0.09189642792473762,0.04157559956317974,,
ADA,0.04935332360034302,0.09863703914415153,0.061841415631289275,-0.006101102301316258,0.08132051651401348,0.0011430197235169472,0.03390308282845679,-0.0488192745133375,-0.17079243999495608,-0.021525808595332648,0.0035807804642513886,-0.01513575599172622,0.06238170344747311,0.04955867496106219,0.09935001229877703,-0.0044495648590240884,0.08881845943441993,0.16292169978874754
LAMC3,-0.025377821061866444,0.005422254605953555,0.06409847670310839,0.012950791417834517,0.10630066157233957,0.0021787881598500486,0.01957537770481786,0.032955587533944806,-0.15303671968768862,-0.024407293838018443,0.02399369359081771,-0.012790178147911368,0.11156738387819225,0.018164753873917545,0.1036642984511451,0.015989361863246523,0.05916884826002042,-0.04897215401468168
CCL7,,,-0.03134664207321135,,,-0.024556555426634166,-0.02867804703244044,,,,,,,-0.030452465822967442,,,,
NGF,,-0.02090295630131868,0.038758083391129156,,,0.03575784921263141,-0.005135165006831915,-0.027821942496710682,,,,0.08613457876715352,,0.029982813032534278,-0.014439691824960684,-0.03886444382824615,,
TNFSF15,,0.1752026383740309,,,,0.017108539825046405,0.037020358033571045,-0.020047661867317372,,,,,,-0.0010923566884922184,,0.004328741226309952,,
HMGB1,-0.01843187336900586,0.05353949512543454,0.004118865466266907,0.013524308194889907,0.1868448731527644,0.0651673423988636,-0.02888083668133141,-0.028421404839656113,-0.15795271450893308,-0.03312211864764379,0.011566960265997576,-0.04274234823780459,0.01594592753105046,-0.06077451003952345,-0.021605728326692584,-0.036751844654603016,-0.06802768209894809,0.035772354805087746
ITGB3BP,0.015261723548732639,0.011995663084166252,0.023055019120282537,0.04354675400296009,0.0072863850719868985,0.021347270293756052,-0.011472221464050426,0.009728738638004468,-0.16112449245246793,0.0022900970281971244,-0.05248275226962292,-0.024380612084504455,-0.009234855568929928,-0.0019229402824238995,-0.020160877068971152,-0.025452970921390605,0.11771207010021116,0.04783992253591753
AANAT,,-0.021053115866359832,0.013551641404133308,,,0.022777794010214687,0.07461114609482025,,0.016298488387793717,-0.011910338484399053,-0.01855828909128396,0.009154329618251132,0.0008280054388943281,-0.02671540514454546,-0.019696670659968954,,,
RELN,-0.019954333517767268,-0.03604121724311446,-0.02082994727266776,-0.04574576351261126,0.0029462892117817717,-0.008203888121647141,0.07614273872998965,0.019772711166289432,0.1398177446443343,0.005036855888745819,0.05085376095287622,0.10471129175623084,-0.012617910225078462,,,-0.0073889008048110185,0.00810946118385226,-0.029043145614426166
IL15,0.0034208583979746777,-0.03675892627680812,0.058296859603359806,-0.027492971426923477,,0.010719959924761187,-0.035943006087601335,-0.03278087615898539,-0.08217396168412618,-0.007063555553865571,0.0224909617057292,-0.030297203440431904,-0.03400555576284443,-0.011076706425971347,0.010119885718577117,0.07237325842930598,0.07289720800882171,
UTS2,,,,,,,,,-0.09521763836139627,,,,,-0.02275012271665346,,,,
BSG,0.08837950604704385,0.021319092462859283,0.027829486812753986,-0.0008139964670873045,0.09357826377855046,-0.020489334317963844,0.002839454341220658,0.02154557856975468,0.10128319778438383,-0.03214509808814502,0.009437905443521969,0.03617738348458679,-0.05201118144530803,-0.05018585838121457,0.043258477621285776,-0.07166196094901797,0.10878813459846433,0.039351373033716046
ADAMTS3,0.07187109983230969,-0.03140896857535843,0.06550210749941955,0.007620596583274324,,-0.022584189242581765,-0.006766574701180807,0.06650769129161102,-0.19995303376878998,0.0030043688287961583,-0.026843486536388246,0.07835623406120004,0.016309388860677804,0.14631496499187474,0.023010004475458288,0.044276084319126593,0.005527086330948361,
CD34,0.02667118026079165,-0.011577141275206315,0.023643194600543024,0.008159656875912318,0.19455033725608253,0.008084560411060562,0.013176055387396529,-0.016345389564116422,-0.04080038936227236,-0.005469835348488285,-0.02480008917502528,0.039536051970647884,0.024492774325598286,-0.02090885346069588,0.036462721079321046,0.0749291000011345,0.0671669367891449,-0.03733272078075309
CCL23,,,,,,,,,0.002024563602540558,,,,,,,,,
PLAT,0.07863811970674164,-0.006443336383718388,0.09821678566603763,0.03667288308151609,0.09066136714792233,-0.01572343346638962,0.017832197255459533,-0.015982730520249646,-0.17634301697604793,0.008860990569190751,0.028675454647640302,-0.03625094385784361,0.031109214236569278,0.02028860468108727,0.043640659904847584,-0.15492698483158857,0.022350801757473608,-0.0076727870625085
NTF3,,,,,,,,,,,-0.000992271557790273,,,0.03595752751747177,0.0918142838999235,0.09824813830310537,,
LTA,,,,-0.021217899713195747,,0.0050023758098550145,,,,0.00675574958613238,,,-0.01737554170288772,,,,,
CKLF,-0.009302909181793684,0.05878435987528438,0.032240450637845766,-0.006650984974696534,0.09769518225229416,0.05639296949828118,-0.041218705510238686,-0.024746618236270567,-0.19407112644207,0.00590435444764244,-0.004678272284285742,0.00040805967572776845,-0.019474904571193625,-0.0018656296345479803,0.03823890618946881,-0.015402715197060905,-0.02084774747025068,-0.04647319264953843
CD24,0.019963662668442943,-0.041415908716969936,0.035301979303477546,-0.04552945980468192,0.040340215114641455,-0.0670679705446256,0.06190427423380009,0.10092134153390998,0.03521820260941647,0.04430046475481541,-0.02502398174611511,0.02508323723748074,0.07328788550605544,0.09616093140021692,0.030354354903326653,0.14565151902704887,-0.08643245492152775,0.02271602618833116
HSP90AA1,-0.0456406740392877,-0.026868331965898003,-0.027911360509247356,0.010755590787352514,-0.10463329633817543,0.06429907658089583,0.11800975562980505,0.029624221184511586,0.23643345960961454,0.17239915303802297,0.022968824441559923,0.03733884017366556,0.05973747575812846,-0.07866383128399777,-0.09853976588209887,0.015585961508258476,-0.051299274471082075,-0.06614713534340799
BMP4,-0.024771108965528973,0.07379602203835481,0.006859647221381057,0.036552455759412066,0.01604353330926987,-0.03520061344388483,-0.03499472755780552,0.03189985818353554,0.015149800058404099,-0.034240660127468174,0.004862895777629316,0.05866488335523829,0.03196994354318674,0.01991766417962757,0.06921661773713943,-0.01247350894582738,,
SCGB3A1,,,0.027994924799709414,,0.008264468761366876,,-0.030536845523931787,-0.00460116027308711,,,0.07975934096763118,0.11355525310124523,-0.018093776314719916,0.08087386772158892,0.015855508578537396,-0.026219097945542336,,
