,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.013231778779620134,,,,,,,,-0.01821904111552393,,-0.0363284245141033,
BMP1,0.028726929014116307,-0.01125005964443385,-0.0011985308411346597,0.023115578213682157,0.10178717040285441,-0.010654677917679371,0.16694156086075526,0.06854860903951783,0.0009656701087905494,0.07927085374742952,0.10406204982283308,0.038467875313068174,0.10255544374238948,0.024016974704062853,0.17834592440749672,0.09738231921108302
NDP,0.011550859749587772,0.03485960865356438,-0.030595637240242717,-0.007663906958720265,-0.00615755550107488,0.04528340100110004,0.08944390578622705,0.04721180143505272,0.043571347364892495,0.0757275163672518,0.09461558844666473,0.04208162007400649,0.009823464931536649,-0.017412857333494996,-0.03470642420631191,-0.009313604268671038
TNFSF18,-0.030053316588923563,,,,-0.01964879425885166,-0.017298865368180334,,,0.06748975143964402,,,,-0.01878897551747905,,0.07124322614351813,0.05044917717304895
IL36G,,,,,,,,-0.02480108536709407,,,,,,,,
RTN4,0.08565105369412075,0.01872109007502951,0.0019993339525907305,-0.059271491572734855,-0.10301584504838635,-0.0062860432940340175,-0.08209723915360245,-0.03311430915134922,-0.004779094163607821,-0.022752294512215845,-0.025284585604163346,0.011913455106327058,-0.0916409211516676,0.03874670694991965,-0.056037875329841,-0.046752218806374445
HEBP1,-0.01576411003110485,0.006361924895283077,-0.017387492896937452,0.030860887988352334,0.08123017570150409,0.03935742009718982,0.007505724887072552,-0.011474047605973597,0.0069475622539583405,-0.02346972879996367,0.02031028924323392,0.04633152064282362,0.06128550480679313,0.03159391531334025,0.004628756026771658,0.022937048863460433
WNT7B,-0.020483931222654704,-0.018667837414342855,-0.03527861850664858,0.04394033284518103,-0.005645645616706282,-0.03731275515675229,0.011905740510391713,-0.027259250930222835,,0.14826818206997702,-0.003794961965811538,0.08957895398128511,-0.026628805909357716,0.011796361895456143,-0.042114656044756574,0.020203683421858347
PTMA,0.028327350744609753,0.14749116180876284,-0.03371677299967227,0.014532572065425865,-0.08670575378634177,0.015155970207239234,0.26451817191082283,0.05693194681628624,-0.05173211132815833,-0.07846969491439379,-0.08645921398217651,-0.046847660389010844,-0.08023778244432192,0.08402540177388002,0.11812921675857706,-0.02774912075164276
FASLG,,,,,,,,,,,,,,,0.04981100434213447,
CEACAM1,0.01752335741306991,,0.03677778443138244,-0.018762225391423196,0.005043433644536167,-0.02720699404560823,,,0.0043995362641709055,0.05816394901230836,-0.02274195517511149,0.017334007457848324,0.08929412157101033,0.0014417833844711666,0.056228367801649116,
PDAP1,-0.0025613255208259446,0.0008088837565363889,0.0265322120566241,0.01888561597079958,0.06653678590337861,0.017701396185108777,0.18208671563327314,0.06766294846376404,0.02019373341106385,-0.016327490248355364,0.031260691892916345,-0.00995085337404913,0.10287068677860435,0.033032756611682944,-0.0028633508976691033,-0.050842202594276346
QDPR,-0.013451860591653686,0.01951095038021862,0.03167732505013623,0.03380331115151026,-0.08191721405425796,-0.03029504578159089,0.17864864651809398,0.05691754301757771,0.04789216907040713,-0.16489830248361564,0.026368285354601166,0.033012080534443024,-0.08171806485576952,-0.05417225048960567,-0.0030401572056908827,-0.03888611950746618
POMC,0.062015376702634954,,-0.03793565869930565,-0.016459326613564067,-0.008617081775017145,-0.020072235411186433,0.05915822532972087,-0.013839256255694486,-0.04316495081884348,0.005498112159779999,0.024790742277443784,0.10012464174826886,0.015852817802673752,0.021491459547019195,0.019542070202474462,0.013924644164402051
CCL18,-0.023870076945107038,,,,,,0.16577609450682357,,,-0.02192263062549804,0.06442233949248036,0.038140546006173906,,0.03655108863058337,,
CCL17,,,0.02616407735970271,,,-0.008834286129646759,,0.12732101954813577,,,0.11439615232698351,-0.01738951631976259,-0.024020753287560283,,0.03459416019221422,
VEGFD,0.03558043074001538,,-0.015322159010132211,0.06320423915180813,0.04858668519477605,-0.022986394234692994,0.037910740849737945,0.05821622205582535,-0.07324915823791912,,,-0.04676134658714187,-0.025334480729236754,,,
TNFSF13,-0.018013131769065004,,-0.016286676988663096,,,,,,,,0.08209970367781703,0.06528894789091742,0.013683600466911777,-0.004876537356069148,0.07820238556207947,0.02000386123652064
WNT5A,0.05494582571966633,0.052136532597004556,0.012928121746567314,0.052332719647796073,0.07525990906340023,-0.0004314225069422306,0.07045975828024185,0.031872130959397525,-0.05273265761438518,0.08077053573901882,0.06111756291053161,0.10103256158438145,0.008570602365262291,-0.0393641021560647,0.11350924598137933,0.0218620967995062
