,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1
IGFL3,,,,,,,,-0.0254333743982723,,,,,,,,,-0.02881601085106942,,,0.06448112281848983
BMP1,0.020372062692461897,0.0585511821902256,-0.013031759005545356,0.04677691349827941,-0.007320868718651291,0.00024300271415566936,0.011558566130100983,0.0909458948209223,-0.04059156287091293,0.027868645210997415,0.025698160004057762,0.06629943180444625,-0.051321105423198336,-0.02062678410317928,-0.013671936764233781,0.0002681988023438439,0.07434734010000607,-0.008651881297090214,0.03134528499790083,0.022957037891738422
NDP,0.06261279244169754,-0.03335170991411022,-0.03976563377196756,-0.03477566060465383,-0.04591895410285824,0.07320793595986719,0.04735351814660867,-0.01055220436136303,0.005867233018909825,0.03746282765320353,-0.03191754324720486,0.035719136634397505,0.0041259601785923515,-0.009767878129211881,0.01314643132640989,0.1085505499265416,-0.011379871322479492,0.006065047747282899,-0.04098786239009042,0.0439822065583471
TNFSF18,-0.030759824235550935,-0.021274491787059813,-0.04862012714499279,,,,-0.016548993235056264,0.09905483064301626,-0.019684282064668622,,,,,-0.024211075256578174,,,0.09107935701791811,,0.157667020253493,-0.020981171459183785
IL36G,,,,,,,,,,,,0.019237247743625157,,,,,,,,
RTN4,-0.032657880771374624,0.009841863799461014,0.004397986748714676,0.04477403974487588,-0.05077037959317851,0.07478819585581571,0.017904682846620844,-0.12162343344302785,0.017911200827313102,0.04724242017759187,0.15686964183070465,-0.043340541666929945,0.022148229097875734,-0.07279857270729789,-0.03831413018151124,0.013711301669965401,-0.11078319172201276,0.09761809655205009,-0.013764528338446892,0.025709885810071862
HEBP1,-0.0007380553449996401,0.08228872935632571,0.00018158270396358565,-0.0324614600768651,-0.041994437541484284,-0.009026823362057436,-0.007847616603595996,0.04812240868682418,0.023265788653642084,-0.035170296823098225,-0.06868825255077093,-0.04040130263432572,0.0938220434711217,-0.045254091169303116,0.058816740651911684,-0.0047452622884049805,-0.026407188217305314,0.03513502413266478,0.0230465376460136,0.06232314537938092
WNT7B,0.00855084662218994,-0.00282481992669026,0.007862911787653292,-0.03945527998785104,-0.00764261491487394,0.054754723311369394,-0.011164111300986336,0.02262560229229163,-0.004579913930895704,-0.0006337811596679522,,-0.019873152001577053,-0.05908584343194994,,0.06794428850393576,0.02951609963706067,0.006922468086553893,0.10485387582286441,0.11903960680984457,-0.042266606386483475
PTMA,-0.017359135631165694,0.07210283879727106,0.0042291281819863205,0.1124770878038428,0.004910729197005022,-0.08075287878888171,-0.010249255183674543,-0.06565480368309133,0.008890816363713845,0.04650562141370714,-0.11372556543598597,0.013164926709745855,-0.028928003215590966,-0.019028944839360056,-0.052034506942049544,-0.0016858324037591125,-0.05521796331699561,0.01680640385013388,0.11374934360867348,-0.025506560451776628
FASLG,-0.027098449387694526,,,,,,,,,,,,,,,,,,,-0.017174636224569523
CEACAM1,-0.03762643413196671,,0.002763384336912534,,-0.009207612640519941,-0.015846635494524655,,0.07134165762824357,0.10728554491948614,,,,-0.044493121790676056,-0.0028701121469984197,0.035687272299945234,-0.00798184811331489,-0.04270086356272144,-0.03145358415715598,,0.04612310465932271
PDAP1,0.03423374091233782,-0.0024121759332278755,-0.009870900410408327,0.015291472617405839,0.0009502162338738761,-0.0759496909704875,-0.0007699502662915273,0.08650425944231653,-0.04364587156104739,-0.02130454637271089,-0.013918522354679178,0.01883622215929259,-0.01283222284769161,-0.01155175606319654,-0.0024915981310313254,-0.024049100737655465,-0.0020685777385214643,0.019685192078717224,0.08880648730840635,-0.0020442380736990693
QDPR,-0.037851289909849185,-0.03135279188795236,-0.03818031122154817,0.024027813601743143,0.015604319458909345,0.04957174644790664,0.07320294601888117,-0.11834363614671686,-0.028106376818809724,0.00197263178158638,-0.10062710418284714,0.017045254095657252,0.10921375866852215,0.06258866780706025,0.09530322772122439,0.031873797499579345,-0.021486845735317422,0.03520992503647209,0.006478521786512865,-0.06214099171139794
