,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.028091827879086144,,,,,,,,,-0.037958274176891765,,,-0.02773842853418761,,
BMP1,-0.055432490815860526,-0.022105883183126784,-0.03829123287250658,-0.047998300082610294,0.016474290922592044,-0.07010373207916233,-0.05721476931788756,-0.12720644798311795,-0.05512456537330035,-0.0008239399152634337,-0.030128920101079794,-0.18356246976614823,0.02009666498182152,-0.03207696301582555,-0.020470020080813132,-0.024930531025526597,0.06182643107648157,-0.011336019468950633,-0.07907580605860257,0.057182646649339086,-0.05408016495825527,-0.04122609402999484
NDP,0.08774831356286436,0.04935623210953589,0.016583963112889163,-0.05720784021288765,-0.0020418962148750857,0.07100943635382655,0.036304623937218124,-0.007052805548804092,0.14189088755323148,0.004290134429496221,0.015718865887305013,-0.010087518011963007,-0.17094603432445094,0.058304549422485336,-0.01335425619804144,0.09711211439210737,0.011257259616605718,0.004905177043130092,0.018662709922038074,0.02272053660427913,0.0585251564641806,-0.04604218945518643
TNFSF18,-0.019872590509370708,0.04803724335582601,0.018129867216020487,,,,-0.017359432661339755,-0.041715521060659934,-0.03709827101366536,,,,0.041168610832910936,,,,0.05362590703312373,,0.12936848608703946,0.0012489935524215847,-0.05782784658299379,
IL36G,,,,,,,,,,,,-0.01821589472752154,,,,,,,,,,
RTN4,-0.022251445025995447,-0.020299629023769954,0.021650650624656532,-0.1547491793383121,0.023098250113255656,0.09561809462079773,0.11477494517032086,0.2101728801555111,0.16324547510296136,0.10897878648532433,0.17784136540724085,0.2380670343835496,0.049531415595594236,-0.047154190106996396,0.013469671825743426,0.018633678417701,-0.02405933095777829,0.165887595201926,-0.035044837684201684,0.01344677884314634,0.1487950998513578,0.001990277815546617
HEBP1,0.029207731508663057,0.03608307723446963,0.03416715591145999,-0.006363327733987535,-0.0025975752802844436,0.055089598948734726,-0.00492080799305702,-0.09020511880550103,-0.0068326881271484835,0.016757070985630337,-0.10912120962871882,-0.04901061995270663,0.05831302924077563,0.05153988846524802,0.046153456275594765,0.13225733661595024,0.030690957536082027,0.07274134669437536,0.04665434511556252,0.04332899284314195,-0.06967446586989894,-0.030377831431889376
WNT7B,0.025285325279803986,0.023539785079286082,0.04509471511314667,-0.026174282432491834,0.06224014416940078,0.05208911390829667,0.05926546752794916,0.09113996034300885,0.03252627009124158,-0.029832093306789532,,0.07214394462125708,,0.07993801241259443,0.029261951433911696,0.08986213163360807,0.07559525377614187,0.04720369379119116,-0.061565086976929397,-0.03190362534606711,0.07352277205137861,0.09728801361936452
PTMA,-0.012155744223562807,0.025599408218611428,-0.0031473638956008476,-0.11219274286439572,0.02855260593611791,-0.1612716165346586,-0.05841719154703358,0.02921600453632116,0.05990771541284665,-0.05438390571970554,-0.21836973343847257,-0.20005535545377565,0.10536976986236145,-0.017095623918948043,-0.0974698671577191,-0.022062138721586196,-0.015834144600723944,-0.04624019533874796,-0.07961549462645201,-0.10316133242094401,-0.14141092402569405,-0.13160946255285094
FASLG,,,,,,,,,,,,,,,,,,,,0.09914326796866149,,
CEACAM1,,-0.033585543485081706,0.000671107058970786,,-0.012151674498227974,0.024510659962006798,,-0.0548952497774042,0.0295639288251516,,,,0.14931341134077994,0.09267615891635693,0.06144753744776742,0.07258331995469372,-0.021012252318456933,-0.03854129264397384,,-0.00877427279642766,,
PDAP1,-0.0017850344750631882,0.010809815868141982,-0.0004178981477427024,0.08446957546377563,-0.04613243491783409,-0.06931929806059174,-0.035396880393358594,-0.09090545681122472,-0.01158637026024844,-0.03473098696780838,0.03846892762284878,-0.11706694754941961,0.026929336317631114,0.005627182010190131,-0.13572343966809464,-0.07352614558354736,-0.024369789013442934,0.015373728409398876,0.06572261291485935,-0.01615992517465284,-0.00241634360855205,0.04105291457554849
