,ZH1019T1,ZH8811Abulk
BMP1,0.05915972681264683,-0.0017835645514933818
NDP,0.08336809626533859,0.11008112536669457
TNFSF18,0.1260041411999709,
RTN4,-0.01828091685080452,-0.09366647127722884
HEBP1,0.014726840110161732,-0.02057444466189393
WNT7B,,0.03557684030185148
PTMA,-0.10192412097937309,-0.03023782545893848
CEACAM1,-0.036443094389038366,-0.003973437117016684
PDAP1,0.08773651912183814,-0.06805758894386543
QDPR,0.10963164517137688,-0.007893520272064827
POMC,0.04588147772389644,-0.0479454514245405
CCL18,,-0.04282266152453551
CCL17,,-0.016601535148017862
VEGFD,-0.030502518631416578,
TNFSF13,,0.02111533890191
WNT5A,0.08263933964143964,0.02207415160465724
CXCL8,-0.062156395694706046,-0.005127013810811004
GRN,0.00891406344725032,-0.009386488853585872
MIA,-0.10315906230822992,0.09259418227678862
COL4A4,-0.03879360529461221,0.19555110115022256
RARRES2,-0.09768572008665712,-0.006831414848387549
FGF7,-0.05822189635424291,-0.006790388861321102
HBEGF,-0.0018785324289723032,0.03276272566715489
CSF3,,-0.0036056629877584895
PI3,,-0.03699132582941714
PCSK1N,0.05881565783990788,-0.04853381794031015
NTS,,0.027981846533817415
SFRP1,0.046009606087512984,-0.03967619733018285
CXCL13,,0.034865897380834905
MICA,-0.01760828402464207,0.026102302637647616
TG,-0.03905087984004541,-0.022059289590049044
ADA,-0.018277280306205894,0.0856186502232451
LAMC3,0.06504792215941953,0.016565954406823173
CCL7,,-0.02488187452270331
NGF,0.02752357063801849,-0.028736573129057037
TNFSF15,-0.005586943345848809,-0.024257033666100904
HMGB1,0.07638393053882261,-0.06441765002419907
ITGB3BP,-0.027221028633290477,-0.041253430629595446
AANAT,,-0.021828424748724932
RELN,0.03367692680081227,
IL15,-0.020528131958843242,0.02845959484630242
UTS2,,-0.018588501243303038
BSG,0.0487264943094983,0.0034650502373849475
ADAMTS3,,-0.03934658089656398
CD34,0.025328504240742022,0.041632771634610946
PLAT,0.00722940208893566,0.024750872543593844
NTF3,,-0.015905185666406908
CKLF,-0.055851683019555357,-0.0032553059950050983
CD24,-0.012438841551369376,-0.020951857813776474
HSP90AA1,0.08359233992946363,-0.06607502660242288
BMP4,-0.025035527495629303,0.05401525185188882
SCGB3A1,0.019491901020645956,0.03169713942765054
IGFBP4,0.002663577691255986,-0.028716518657062286
