,UKF304,ZH8812bulk,ZH916inf
IGFL3,,-0.015610205409921783,
BMP1,0.0012381461753471754,0.0666211928860647,0.08593452289885675
NDP,-0.047429854620152465,-0.039433993328581864,-0.1089716485882574
TNFSF18,,-0.016098529302945967,
RTN4,0.0018328299425287623,-0.0023485785648074643,-0.0009110664459863442
HEBP1,0.014934018830687745,0.07082479170589293,0.061921888341992984
WNT7B,,-0.018923110059149584,0.055803013873411626
PTMA,0.009579980250234937,-0.005525468972079185,-0.06612402071332169
CEACAM1,,0.1081922514954031,
PDAP1,0.011268713767489098,0.04062935420559287,-0.022493373637815284
QDPR,0.03539262191213513,0.023879992753059555,-0.03196366712004904
POMC,0.044398065707445485,-0.004800605339136144,-0.055715361124225406
CCL18,-0.012867435905030096,,
CCL17,,0.10046774081958866,
VEGFD,-0.024256556039123855,-0.021706765225976487,
TNFSF13,,-0.022070626163218875,
WNT5A,0.0856007399422139,0.03326127630966158,-0.02024538359181672
CXCL8,-0.05527258054198983,-0.029220752460013908,-0.03787681120382882
GRN,-0.004752961727536164,-0.006199367598556558,-0.09752512921850028
MIA,,0.04730044931026752,
COL4A4,,0.07903108701668471,
TAC1,-0.05957747255951541,,0.08457759969903152
RARRES2,0.01643952348981019,0.0018876385968778226,-0.0542517877136499
FGF7,-0.03435044736882809,-0.03007273792394084,0.0018629576567973129
HBEGF,-0.02372204146151281,-0.029720773689166705,-0.028020039612225833
PI3,,-0.017487047126138938,
PCSK1N,-0.021222255051633606,0.015004360520708923,-0.010523580917859708
NTS,-0.021838692298292335,,
SFRP1,-0.014882431880998746,-0.025491270409111783,-0.010607861353590493
MICA,-0.06952333513088885,-0.00697761564271338,-0.013644287563093268
ADA,-0.04148101293300898,-0.024302446557632952,0.03863229483345263
LAMC3,-0.019552046846901996,-0.019641562320252964,-0.05095185978588046
NGF,-0.02183870667762224,,
HMGB1,-0.014369862430461563,-0.04294942696722385,0.10195461348134938
ITGB3BP,-0.007784712066186796,-0.016165866140003666,-0.013942375040539587
AANAT,-0.020531596012493457,-0.025458227346848904,
RELN,-0.0007119936312530646,0.0022879613080397957,0.015296486852662675
IL15,-0.029561279911846525,-0.015900686131058748,
BSG,-0.06417160202711347,0.05298490029215044,0.09401679411133214
ADAMTS3,0.03654102837598723,-0.026640383524573368,
CD34,-0.0035703392366935867,0.0005438782040490454,-0.08657620206889158
PLAT,-0.05899440096986745,-0.02154869762833857,0.08974342707633254
CKLF,0.03403440304080685,0.07784165638430887,0.043078274440130175
CD24,-0.030683391652936508,0.02581481583178413,0.046374671453775364
HSP90AA1,0.0025362144040372747,-0.026741285167266506,0.059286613666455275
BMP4,-0.015656943480725972,0.040761840873189355,
SCGB3A1,0.008427182283599793,,
IGFBP4,-0.03252294754542761,-0.032580685540302294,0.07100680362381478
LEFTY2,-0.02183870667762224,0.01754894254530902,
ANGPTL2,-0.011324731978781323,0.002070386753145345,-0.030088464870359148
LRIG2,0.03432364668467889,0.006043228471699799,-0.05273126550035932
ICOSLG,0.07555800402497091,-0.00029902347972809507,-0.024109057048051014
WIF1,-0.03939100775203138,,-0.008271927314679567
NPPC,0.008174757663216852,-0.02415243315083682,-0.0794373211333964
LYZ,-0.06671221290963501,0.010498539421784582,-0.07233992788234249
EREG,-0.022465647063391596,,
SPTAN1,-0.0013772729956526945,-0.05465423687026353,0.06171365060329348
LIPC,0.11693879921303686,-0.02964589335224048,
COL8A1,-0.024919334949582865,0.00354083235529184,
GSTM2,0.02253324672524923,-0.042675006492694505,
SPX,0.0692899715609047,-0.037206992243529954,-0.10713434615184801
