,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.02637801850322195,,,,,,,,0.004890014589968001,,,
BMP1,0.0160886992208315,0.048373258658446,0.009825769820915944,-0.023577642476154084,0.0683148160426177,-0.09698077676567327,-0.055124414763569315,0.00937302918844405,-0.028668915288893097,-0.09559370884358072,-0.04633485767729936,-0.03890853884498382,-0.020996455936398147,0.022193209539728236,-0.005886178290784728,-0.006905720181964633,-0.06483760221138814
NDP,0.02290391467292971,0.09755915239963506,0.016004584927964888,0.10681526669204769,0.019059074203953717,-0.0032994329063498794,0.011452885360842357,0.013637120660540028,-0.03343704959794398,-0.06395480860821763,-0.05747715939812443,-0.01908996983121696,0.08074129029385824,-0.04877538072599002,-0.01033325343129615,-0.0016912113321223923,-0.03976116765819249
TNFSF18,-0.001495308569271181,,,,0.06376763970515194,-0.018828468829217408,-0.02199692747871016,,,,0.017369530581676538,,,-0.03165644870196852,,-0.03951040126734758,
IL36G,,,,,,,,,,-0.02026530417302525,,,,,,,
RTN4,0.049256060958921266,0.030384348873193398,-0.010874391664471697,0.10090789783049911,-0.04140618567884879,0.14359711783691118,0.029613670248108487,0.02062927930849598,0.0789845903574773,0.10906275040596697,0.09595430473539687,-0.006645425080016375,-0.06544677404303136,0.0014320591881425157,0.06876485852417333,0.157032150849524,0.10485311236025298
HEBP1,0.007793611486982315,-0.030697603692515455,0.028736061868925675,0.01239803952709339,0.0032921714876417104,-0.031270974085072165,0.03710808996506284,-0.008609273903710376,-0.11727186556734769,-0.06821340594175926,0.002999477293307184,0.036557825392108056,0.06100340432333187,0.036603762450313375,0.03194624042464611,-0.033357359935772546,-0.0669681022046348
WNT7B,0.06177640625820645,0.017556360206899685,0.0024649854450624377,0.00041347830273429797,0.03409725952334633,0.019329095083788515,-0.009345098431672309,0.010003837894072812,,0.03861146656962524,,-0.032840542366270195,0.06223526689494439,-0.06619619517587963,0.000602373273552567,0.1174424462541594,0.1282425978499459
PTMA,-0.02004854424447611,0.0933412612668396,0.029189374146276943,-0.12391400884725948,0.06970264431189412,-0.0381196785515665,0.06548791069399913,-0.03167757887294989,-0.13858214304402686,-0.15111209739569983,-0.029904882453628025,-0.07316810327012666,0.014739414574944236,-0.015154987226756381,0.028803971052947675,-0.015082103758399454,-0.20376487626967513
CEACAM1,0.00468048870225835,,-0.016147972616268495,0.003315534684197605,,-0.05154623332451032,-0.034595926507167,,,,-0.010129470507326049,0.03197117453036979,0.027770205501155065,-0.01039802284893593,-0.010217560910980916,,
