,MGH258,UKF243,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.0071053988954573495,,,,,,,-0.03083704410811689,,,-0.014974387184177127,,
BMP1,-0.010760930142025263,0.062140548601010294,0.018832513988202626,0.06359164531559838,-0.03833223281815767,-0.04168483503944124,0.030126193145879096,0.09487612020208544,-0.027852266287938063,0.0016835661797316745,-0.07397792108661493,-0.018599491798314285,0.026686243933673855,-0.009668946074276966,0.012607606875808522,-0.054656657876060485,0.013541613105307784,-0.03412581067786766,0.04927023393459938,-0.004142673863714994
NDP,0.05937214868138286,0.024464845296823617,0.03510873708162515,0.14083968858691762,0.016735955494636294,0.06527317786105127,0.01872052593221066,0.05037925403130171,0.051860695023034614,0.04740836116216263,0.028231921815095495,-0.0018268655298563378,0.06305342075462093,-0.008696021105119625,0.02550760452951635,0.015597466788174462,0.04014402504535131,0.04567112343180291,0.05688285815443853,-0.030686603759938938
TNFSF18,-0.02603226342478228,-0.024816096374274264,-0.01820339968453293,,,,-0.02293105634965509,-0.00029961443148725784,-0.03045009653914154,,,,,,0.0024774080877228827,,-0.002610908443092027,0.04147698670261978,0.05047226200754919,
IL36G,,,,,,,,,,,,-0.008508337555059472,,,,,,,,
RTN4,0.033767446467709496,0.09490215889231364,0.00029334160184688886,0.048592608465048724,-0.05817594282192415,0.03429672543772591,0.040242309442851905,-0.14822229459252928,0.09027318126362405,-0.04535389494811513,0.08056551722002493,0.07766214380118908,-0.03724385722571127,-0.006210255491456556,-0.06972255061666442,0.108977153787239,-0.044618840857411295,0.003767062252695205,0.04868938303446945,0.04832436573322137
HEBP1,-0.041133662701012895,0.025247470985154116,-0.0068422646140727985,-0.012225581916212456,0.0017527053760624663,-0.0013575898542753065,0.0031667007459948602,0.039677729229815974,0.07635537388018393,0.02306780555433807,0.002964798127883571,-0.004068116529465519,0.00214664960169247,0.01056630242803164,0.045066359324572605,0.0576676533868995,-0.04366117904383052,0.07609057566830767,0.07027144564230241,-0.02903237175702888
WNT7B,0.1413567511964095,-0.03648767618441099,-0.029482416785538982,0.16314715064213853,0.002762376076796389,0.0025853588270010872,0.04143100901362175,-0.06460423142341733,0.00792647899194644,0.021127696004907288,,0.002086081190065732,-0.02820159462795027,-0.006183148219211082,-0.050277063922407224,0.07075127076807138,-0.023046381040155564,0.03896414003069954,-0.026092407688322106,-0.036495361698614365
PTMA,-0.013950029612972854,-0.046459454241022526,0.012150151032900637,0.06303426831460056,0.008586274473849253,-0.048063861931681835,-0.015225678301462233,-0.0647451757372869,0.029445944930850624,0.04569471054816393,-0.06868715117130335,0.01610235852200231,-0.019008706198211416,-0.025740989315137162,-0.08211341751777707,0.002559795212802826,-0.04484834557875424,-0.0817244963131253,0.004694618937915776,-0.042392756452387166
FASLG,-0.022933615207341874,,,,,,,,,,,,,,,,,-0.012987280896250817,,
CEACAM1,0.10858407167493489,,0.07594126363608762,,0.027593723056237786,0.09143955429554776,,0.05912833961538343,0.03999504762235232,,,,0.005734848980970474,0.028027270946565264,0.07796019918772656,0.03033143603376077,,-0.01806989388277364,,
PDAP1,0.010141604150153695,-0.02507234846099926,0.007402488732072292,-0.037417159796283905,0.04925786435592022,-0.03995928885593575,0.015559658885014923,0.12207310033330739,0.010182341886713136,0.0009316371382748767,-0.035192575519818824,-0.013857055732852234,-0.03441838570520903,-0.017384515365920734,-0.02393164875025952,-0.0276407954766853,0.1758079488919192,0.0005319141278429356,-0.0036235427993216007,0.01239973556316609
QDPR,0.06566740105469335,0.042245662581864546,-0.0051792338622718165,0.0376792916529948,-0.023486308759595828,0.08970084822181856,0.05613277114922153,-0.06649228888747345,0.027995026286472942,-0.010144518367662662,-0.007608830471803389,0.04938729465530579,-0.0003846477241509699,0.04463629440395129,-0.03243955659481523,-0.02801837358293841,-0.05930624370548744,0.10726429473322621,0.055856495253865476,0.09579073726382746
POMC,-0.0534882959904744,-0.046856931430724266,-0.015899337041125713,,-0.04770592373033919,0.03624542030929405,-0.00825093789501664,-0.006594008235500527,-0.003912269535297453,0.043670037763716876,0.07005880406785071,0.08898639754971818,0.003122091720106211,0.05075699249534148,0.04430648934085952,-0.02696765292706396,,-0.03776133593486102,-0.01744512501568337,-0.054642460807300744
CCL18,,0.0934047694812381,,,,,,,,,-0.031695834101388036,,-0.02161681325647448,0.03692170293160574,,-0.079573166792723,,,,
CCL17,,,,,0.028397981332970675,,,,-0.01082607726847895,0.005171873309677721,,-0.020904617323220877,-0.018684965070638618,-0.03413023458927294,-0.02839702914357693,,,-0.011771511406010265,,
VEGFD,,-0.006471846797324993,0.0196630852765237,,0.06148518195088214,-0.01706155286057715,,0.05212222788150863,-0.032736861108510304,0.015737618861778123,-0.021590534381464365,-0.022404125871048012,,0.010596501944177786,0.06621210228648772,,,,,
TNFSF13,,,,,-0.02508959465170847,,0.029466056115822058,,,,,,0.08437538662847698,-0.025762082277381648,-0.008652893678076043,-0.030945896474446403,,0.025986888894148137,0.056652059597365814,
WNT5A,-0.03553822794962884,-0.1110347463068605,-0.006700566036313507,0.02774751615709598,0.009681377112728996,0.09949158592068147,0.028757607270118616,0.12064302121354833,0.007350019427603372,-0.01616486622032436,-0.061738094707440544,0.015757705648344524,0.011047078745927232,-0.04621064074349511,-0.03938604098659572,0.05450567044413474,-0.0010577850394394893,-0.016738099890747784,-0.004884496633025982,-0.03744565867763171
CXCL8,,-0.02654151487555397,-0.030344161820257513,-0.02372014789178347,0.06249431915104393,-0.06902869686420242,-0.007291437646320374,0.08600038942749279,-0.01737114349899614,0.03576552407749584,-0.07392411577155666,-0.062268460553774954,-0.022864068856312245,-0.09785105753734663,-0.020351041216890634,0.007726515985825176,-0.09022125104522555,-0.052529199623821625,-0.007571598496012685,-0.08640194190179946
GRN,0.04055650538116275,0.06315001118007134,0.019073952298942428,0.02435706129593779,0.0026705289625922287,0.008418249369435674,-0.005723327495900431,0.09614412485850504,0.043059830010138654,0.017839175115609562,-0.032542189380793694,-0.0037227660344999196,-0.007566029048342517,-0.05058594541935942,0.0626183849459091,-0.0908485765397462,0.07688755484695804,-0.06350056686361252,0.013844841621417817,-0.058912463112605944
MIA,-0.03001812423271423,0.05853434190105721,0.04017417211784068,0.0002136549335273166,0.030620445098804266,0.002365686109255229,0.02667640013513919,-0.01828391968707303,-0.019113656670816558,0.05249739736624489,,-0.007837128300144007,0.13581905376277825,0.09230017631468262,0.024796334614871424,-0.049049825909610566,,0.03224224990629434,0.016102804493432127,
COL4A4,-0.008720252836258878,-0.03774758902579952,0.016099875824972982,-0.03960662247044575,-0.009091735817248666,0.1073337113995415,0.05303058898107792,-0.018425980054166124,0.05504485834617825,-0.020482897710479293,,0.015963645194388046,0.004250277347527687,-0.027288316466786068,-0.02796144826108964,-0.03404337717419351,,-0.034569228468807243,0.004301527178222047,
TAC1,-0.02293360273010547,0.041509366251048584,0.031502813216307844,0.1537536820572713,-0.05341236282642912,0.008117571906647076,0.04234396810682,-0.09955934692414174,0.07227560890029631,0.0010716448139879262,0.09257878976837722,0.07520296456841814,,,,0.022797274336339626,0.08099113859827066,-0.015474848720861148,-0.08162660191054481,0.05251669835002425
RARRES2,-0.024648100687981414,0.03675467490371408,-0.024735456858236964,-0.03927030492102589,0.06527231764884465,-0.0736295364422349,0.0070407238673977504,0.159067639805534,0.0937510678756584,0.02176365488796223,-0.05691115240823685,-0.08667215709754711,-0.07088859325714171,-0.019870908406963116,0.03324604543887987,-0.020016692195531965,0.03526527832918639,-0.03704662737426286,-0.056522446193552976,0.010372321613174496
FGF7,-0.06314220673631596,-0.008446801397463424,0.009332599558411248,0.02420120231802836,0.05851410594135734,0.017293371128958516,0.010368430106029643,0.030134798509539686,0.05936408351435493,-0.020305376200017086,0.08648794290023308,-0.03158638730219702,-0.01053044121442212,0.04192755297868316,0.013299508240910288,0.03256887080718033,-0.05676723798540984,0.08874113275442591,0.061393678414376,0.005822366463877801
EFNA2,,,,,,,,,,,,,,-0.0036862081922756445,,,,,,
HBEGF,-0.014562427508927079,-0.015476087815293832,0.00736952081391959,0.050331929915131676,0.00943996529465078,-0.03790711048550557,0.07522338382531342,0.034165083967737514,-0.035454861368253876,0.0056023863130448825,-0.007615330533748656,0.0065164351361340096,0.005262407904909893,-0.028960193480865804,0.03634142331538221,0.024471481055147425,-0.046085889769275995,-0.04173723873212495,-0.004051624792863731,-0.06431055080919328
CSF3,,-0.037747559140920525,,-0.027723130179899667,0.059178746776098794,-0.1135016513498198,,-0.03356236043617552,,,,,-0.06502778783799959,-0.048350029363298234,,0.0014038017755578463,-0.017206440066115682,-0.012393585540557691,0.01345722371446179,
PI3,,0.022238988412789384,,-0.025815707492565777,0.062255226597782175,-0.09418676532496408,,0.07676194576028494,,,,,-0.055077110256823776,-0.11643295331501435,0.08688335195641199,-0.037553225472280814,,-0.026927144014478446,-0.06763692329279525,
PCSK1N,-0.021188420325969175,-0.01332558056436273,-0.01787264755657616,0.08432063861408395,-0.030107629108578164,-0.0008048402630524174,0.02709636041216121,-0.013986586219875781,-0.08028434882673743,-0.012270492109803268,0.05288005389125196,0.06851661935638442,-0.016946328892480045,0.02077919887358839,0.006566312737887872,0.026455863333276833,0.14693850058598684,0.07935665580103266,0.021271104238350876,0.0026717242307166176
NTS,,,,,,0.016872013631997078,-0.025830086047142674,0.03403566025779978,-0.0069556375822076915,0.003400777471785961,0.05518634652784777,,0.037236641589806205,-0.011834857980479408,,0.0019199518246864747,,-0.018353210181152612,,
SFRP1,0.06699963321736035,0.017327138543946834,0.0012712094291074537,,-0.03173724476231469,-0.01852224180686619,0.005122583155487637,0.09993340317751018,0.0184993124028652,-0.050599929803224766,-0.005328721648807407,-0.030095213055024123,0.0034773972279661873,-0.019064668164231045,-0.0010098686714673812,0.0008474736418655809,-0.09910304231566236,-0.01792672807333389,0.013330566519751291,0.12585183384596382
CXCL13,,,0.022553485842565543,0.05965733676089168,,0.01678793754931037,,,,,,,0.010287385426773873,-0.02956703410394101,,-0.03681049876864761,,,-0.01700644616523341,
MICA,-0.053895398099471414,0.031218850132039844,0.017354253531930222,0.0313993946181876,0.04986669273733289,-0.019853504337851324,-0.04717896724577084,0.07194588154837359,0.02551240747253568,0.039725016829420826,-0.005070373297180193,-0.00020438102826080527,0.07271464325939474,0.09676856817195922,-1.6231513236814214e-05,0.006709989910864808,0.038802029742741995,-0.0017978474342151196,-0.010387650648099324,0.08908762022922358
TG,0.04446977111337368,-0.01130006716750781,0.020951030811434027,,-0.025975763971911123,-0.0029824994897671175,0.07557833973007223,-0.04050676629002698,-0.009838581388648373,0.01650247225095029,,-0.03140168492241636,-0.02482764706987837,0.06291996660522893,,-0.03251593567001222,,-0.024169855786083994,0.06292738271483209,
ADA,-0.04586289820110578,0.02362610216829518,-0.05323686626971352,-0.0067498908689091796,0.018831012567500093,-0.025137455774580347,0.04137423375072968,0.051341454212123515,-0.008052629904048468,0.028931669504617438,-0.0005527169215679822,0.03239912774348621,-0.0047782751309947405,-0.025570667794649143,-0.003804388039389844,-0.05879411858550984,0.056665670627046236,-0.03579547594445647,0.028409572037394734,0.022183127333805182
LAMC3,0.015394867648218806,-0.0014032774793293287,0.03300827615165857,0.14330855134674778,-0.05705367349351443,0.013650349360466725,0.025754234041079557,0.08940594202915227,-0.03504528595190944,0.03925481900463087,0.012260666235673812,0.010928983072051701,-0.005753695305151234,-0.01433235324597505,0.06019059694941736,-0.0002577332896180615,0.08209067031142225,-0.04828958035329589,0.04782997076019437,-0.049970689325721615
CCL7,,,,,0.04498466434575419,-0.0164854699456658,,,,,,,0.0034676180198660476,,,,,-0.012987276278128748,-0.014084564185524381,
NGF,,0.031469496003811125,,,-0.0243241134678759,0.027556580065158855,-0.014713309940911091,,,,-0.03648881019538445,,0.052022964337297965,-0.022169091823743606,,-0.04843928499459296,,0.006262895800975398,-0.046414783339428875,
TNFSF15,,0.06091142378325995,,,0.050278669503288194,0.01246481660662633,-0.03454605223578879,,,,,,0.03484289729974603,,,-0.024533974262504605,,-0.03431463245492608,-0.04532697113633215,
HMGB1,-0.0008619771858073108,0.08674238175334593,0.008314366257403026,0.023946247590557197,-0.0476056654807318,0.011412211867563244,-0.008982989227806895,0.11170164737323432,0.04029736134549924,0.0582275649737724,0.018245217552325263,-0.01988201671155946,-0.027372257638835645,-0.02500514944054789,-0.033881133667749724,0.018461297414318047,-0.013880641183079485,0.0548092289875719,0.02091677960267797,-0.030050742921557776
