,UKF248,UKF251,UKF259,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,-0.02271836300942909,
BMP1,0.024703680841070084,-0.016763228600617384,-0.036341104269738585,-0.057698556233510855,0.07976155875944835,0.016286182182309733
NDP,-0.04627956729431069,-0.03407386647518223,-0.00024749845597357283,-0.0007387873791992371,-0.025803291639729428,0.012523009652616816
TNFSF18,-0.014817256026334847,0.08219607868933307,,,-0.03832181677051736,-0.026348573899679987
RTN4,0.004606605333009348,-0.03226825671934398,-0.01262163283930846,-0.045206344983044926,0.022844277264893756,0.03935881838739107
HEBP1,-0.02407930255336306,0.005966520767416206,0.03626638583720702,-0.06920333554951803,0.029715446650421695,0.012034536397418185
WNT7B,0.0032748254110913227,-0.015480748068536105,-0.02069449473728184,-0.03037689870337849,0.014345674611523342,-0.03909095370121738
PTMA,0.018961321244663702,0.013537027365943411,0.02105044130375569,0.0005387306654441516,0.024273359210099706,-0.010596085122008991
FASLG,,,,,-0.01970362848759632,
CEACAM1,-0.017540543555220712,-0.011880543038302651,-0.02389620840105183,-0.014716193187386895,0.04952486040478391,
PDAP1,0.004207427183484343,-0.03981286866553409,0.04390328139571623,0.01673357117504809,-0.015488807476302612,-0.01318170763448455
QDPR,0.04202223624284492,-0.01565618662433587,0.023519896826363604,-0.09767962458423442,0.00885470575444353,0.05870209979905244
POMC,-0.004299631534231039,-0.021109829526366884,0.06759673760870358,-0.022319561223711003,0.00697479275934373,0.042708196852219646
CCL18,-0.021888941055721634,,,-0.023259978976229084,,
CCL17,,,-0.013850537947625871,-0.02124374874027034,-0.017859126119962952,
VEGFD,-0.021888948006485633,0.0025100332210917574,-0.015431028784689155,-0.014716193187386895,,
TNFSF13,-0.016518102577915365,,-0.009553791092079713,0.08298911068653934,-0.02909995537179016,0.04477297069566792
WNT5A,-0.021681464472836434,0.0366791994475988,0.03742162535250067,-0.01949757924191582,0.05199359682464505,-0.06460830531502573
CXCL8,0.08596595191107403,-0.01593323667823288,-0.0037973333084590256,-0.04949525156826036,-0.07911719869123648,-0.0938660249197824
GRN,0.058376681476933756,0.0016893901061748652,0.03472106627543096,-0.014939166235149421,-0.017130411777508705,0.027665562190451937
MIA,0.03607981137904416,-0.01513328003364602,-0.029164586264286516,-0.017273819378240605,0.06638136198854631,-0.032798724305975344
COL4A4,0.025013851451099234,0.027748335158183025,-0.004088339403472187,0.013286771540668957,-0.026642474503993718,-0.03203579029543677
TAC1,-0.022848148525691697,-0.03236393999246779,0.03814579570188989,,-0.023477637277070453,-0.007442876239170883
RARRES2,0.0641599330955551,0.011724217580405923,0.0290395203619352,-0.056960924610062705,-0.009932858707525341,0.014189601355508782
FGF7,,-0.019206260321002516,0.012626522167464177,0.010549391603009235,-0.058014559237766564,-0.015845057214293513
EFNA2,,,,-0.013986756771678805,,
HBEGF,0.03550891452830873,0.009598869361317468,-0.011957957099218236,-0.08361752611141349,-0.017521094832856472,-0.040112492524155975
CSF3,,,-0.016508633563097404,-0.023127916354906755,0.0710562456035475,-0.03369798598748286
PI3,-0.023028088866771698,,-0.0077528616956752255,-0.003015487087008302,-0.019535849032253205,-0.06084313541953621
PCSK1N,-5.3989549622340114e-05,-0.003720497748221877,0.013741765999518443,-0.09037880773231809,0.002211035011465781,0.04766041216227046
NTS,,,,0.07646964989954483,0.01804976863291139,
SFRP1,0.036756188194745305,-0.03643359401322617,0.035621328070066384,-0.0491739308606122,0.048821779301686116,-0.029102948905895907
CXCL13,,0.05207031320483319,,0.014050177493027867,,-0.027333644133961423
MICA,0.03354565191435242,0.03857841723754802,0.02249783499532814,-0.03198911505603153,0.02487429331535377,-0.02741708943380419
TG,-0.03446977190378994,-0.016155144789132263,-0.013041769679566557,0.01792799206871929,-0.03666925069321162,-0.030121817285567346
ADA,-0.008710406144855255,-0.03337437819487659,-0.01763742339356223,-0.04648938319230731,0.009010529075408382,-0.007456291255714684
LAMC3,0.07843840553230279,-0.028728172444661325,0.022078277281182303,-0.024653115892266892,0.027897439653210683,0.04303215207539053
