,UKF313,ZH1007inf,ZH1007nec,ZH916T1
IGFL3,,,,-0.01818616660960258
BMP1,0.02944489840606014,0.051599715555295786,0.02831121556739459,0.20428535689202526
NDP,0.009424170524975139,0.09082125314356208,0.050031419456608654,-0.08967121104430299
TNFSF18,,0.02246329317625949,,0.03588274103669928
RTN4,-0.0024935052277978847,-0.035160063012691804,-0.1574141034530432,-0.07413468059166042
HEBP1,0.010824467327559638,0.024523639411436163,0.00601429026013342,0.03412153586829011
WNT7B,0.045057132428722925,0.013396852342870219,-0.044100237059841715,0.05059654101782922
PTMA,0.024942173815704415,0.0007522183961820675,0.07832661084793466,0.1809232825459349
FASLG,,,,0.08659892826468084
CEACAM1,,,0.010394861439027346,0.05638756341836344
PDAP1,0.0319718359579289,0.06753934380119872,-0.02655019694811057,-0.04787831184762486
QDPR,0.0513221594942715,0.025587957322145985,0.09832978003469571,-0.07608676330976916
POMC,-0.024535742917996563,0.022674113232450905,-0.07825250527643002,-0.005844180456257248
CCL18,0.06635789048957498,,-0.0008364733294066923,
CCL17,,,,0.18475410590720823
VEGFD,0.07429695914583867,,0.0359141956957117,
TNFSF13,,,,0.1377238660589076
WNT5A,0.002831413871799454,0.00795862548058002,0.028948497718931203,-0.008135112515912587
CXCL8,0.0407313416449609,,-0.16385080353639833,0.0033042429876095672
GRN,-0.030263899475464894,0.06907871657039641,-0.041713479843489415,0.1486524749533032
MIA,-0.022481850847932777,0.124364482314699,-0.1417689740487136,-0.057868845608773034
COL4A4,,,,-0.0032497269184762465
TAC1,,,,-0.01879396957181332
RARRES2,0.0013323251811111416,0.008429832836735379,-0.0669311787739838,-0.048398403128685284
FGF7,0.02938699106013909,-0.02424066243851981,0.11421765288529571,-0.03246722290302963
HBEGF,0.040774563291568984,0.07961400471371187,0.061809661954617526,0.11418953201660344
CSF3,0.052656021328150455,,,-0.015051822071831207
PI3,,,-0.09514198386714443,-0.03270260888442348
PCSK1N,0.016444068808398677,0.04217035389067633,-0.09140925877325408,-0.1107516647159524
NTS,,,,0.05014096477769624
SFRP1,0.036397247749235445,-0.004243867186543676,0.054356832011776886,0.036170651642058134
CXCL13,0.019642489654535987,,,
MICA,0.007763230570593779,0.0512217220062836,0.08176955197671434,0.05536292245976083
TG,-0.013679386469329199,-0.03767235188614574,0.04822938049592712,-0.029353924060428596
ADA,0.07696268060054569,0.040887480513253555,0.1420777843875744,0.18368857259206672
LAMC3,0.025248177419269404,0.07380522273841561,0.09200382933397637,0.12346381800397033
CCL7,,,,-0.015772850487568567
NGF,0.04578041535887364,,,0.09553493373673416
TNFSF15,0.008278128453463497,-0.01200745113206565,,0.04164098264879852
HMGB1,0.019147305401709346,-0.03310938879355794,0.0824345992495866,-0.05915579370636376
ITGB3BP,0.011628981946310301,0.10982134357802946,0.048322301334361134,0.047622743800440626
AANAT,,,-0.017293920227372618,-0.016688333578069245
IL15,0.05724076570395473,0.08257920739142788,-0.01907617948374411,0.023597035979629852
UTS2,,0.10740788438475038,0.08383080429424102,
BSG,0.01495505283169405,0.09050322714239457,-0.1857099360153777,-0.07477631199143374
ADAMTS3,0.042724910232150824,0.12335173950254055,0.0363894546640852,0.00594965040918248
CD34,-0.025776223433809826,0.030717700318411388,0.11376638950090044,0.1728481063347616
CCL23,,0.17516148847235566,,
PLAT,-0.04170816583646531,0.06225257566888097,0.06225029473997932,0.12820893655765217
NTF3,-0.033782146907654804,,,
LTA,,,,-0.02245998200385096
CKLF,0.028972721789972396,0.08753170216385553,0.11337134453175103,-0.06213238915955789
APELA,-0.00332111894950236,,,
CD24,0.047875703081435135,1.5017030566346585e-05,-0.02263400828006917,-0.06302329022386731
HSP90AA1,-0.07556213775032469,-0.042443043803272115,-0.060281279178445564,-0.1181472195225738
BMP4,-0.009269318381940705,0.14032979416083,-0.043914162686284564,0.06419001751406372
SCGB3A1,0.014084178122347857,0.036247534357816615,0.036392645453877416,0.1889703068605609
IGFBP4,0.021190092419417942,-0.008584911228644644,0.09680310440080316,0.20327127165953737
RSPO4,,,,0.011720891629271061
LEFTY2,-0.017932426016435927,0.014629894971663698,0.02055140281096005,0.19843892090545837
PF4,,,,0.05101367550094571
ANGPTL2,-0.015991605816649775,-0.005962944269800909,0.031793226709681266,0.166636193378084
LRIG2,-0.00647711272094471,0.04153659587376696,-0.0877046613471179,0.046053200796694956
ICOSLG,-0.042588058519972445,-0.015334858303130092,0.022278274709890515,0.06365969803213184
NPPC,,-0.02895010443351989,0.029830302291459585,
LYZ,-0.0013863506683523218,0.031370065553135755,-0.12980960315001905,0.07246532306297271
EREG,0.0535128144805058,,,-0.008316179754513762
SPTAN1,-0.01338838859945409,0.07507897130454708,0.013266249034555788,-0.059345682430708493
LIPC,-0.010963640613425637,-0.030698622299758116,-0.0002541529908717237,-0.028397911733428666
COL8A1,-0.005104187207121689,0.08831980053010739,0.014921431394589535,-0.07788778273481564
GSTM2,0.08591501758294741,0.04776814459698859,0.04632493165867736,-0.014546137275932612
IL4,,,0.00823819087379857,
SPX,,0.03853854760117481,,-0.03019964849339879
MFGE8,-0.0038452244058147455,0.022743039793064787,0.11365454799144385,0.2093909068102992
TGFA,0.012386993178221605,-0.013693718899145288,-0.09955164475177329,-0.0009233046037668915
SLIT2,0.04228760069709405,0.11340764547732046,-0.011425460507839111,0.0561849768741576
PLTP,-0.027689785647635506,0.06244782107475188,-0.05854256654665733,0.012109057945089709
APOD,0.04712799900092187,-0.2131248508015096,-0.029897834235689827,-0.13978328381174984
B2M,0.005895156517030201,0.04660118641236275,0.0030474297512894464,0.17777525062252736
OMG,-0.013279892688555865,-0.09216928426214298,0.028642528295069667,-0.0383757242434999
CXCL3,0.10301413509604687,0.019008697003758214,-0.08995324276296982,0.03829561392691259
CXCL10,0.002983709530188688,0.07869592732365319,-0.030090186027330115,0.0056579867406375385
RSPO3,,,,-0.01600635901446345
NCAN,,-0.15686175589407372,0.13076885894672396,-0.0840754939345469
PRG4,,,,-0.024505716981304087
ZG16B,-0.00761892867756221,,,0.10556820015615706
TGM2,-0.003750935049186748,0.02982160352997841,-0.1408795238721956,0.060060512122460455
VEGFC,-0.01902577182792696,0.11765814684942442,0.07287114839482303,0.13189514969746807
WNT6,-0.02645238523228574,,-0.03352541426598834,0.04619415456353387
NRG4,,,,-0.016006360808394408
PMCH,,,,0.1198515314857146
COL9A1,,-0.016520636421684033,0.007461862025804389,-0.06116802888508588
GDF11,-0.030780920276196888,0.0374074551663625,0.03768877454113091,0.05962564371335236
RAET1E,,,,0.029964386576608288
IL24,-0.014917472533179802,,,
SORBS1,0.018673608790333206,0.038720605219514925,0.0714655135724658,-0.11641664422394256
DLL1,-0.04667904511197442,0.04494739988509404,0.04558635817175741,0.1815433161918036
TLN1,0.08718294174357599,0.023786285208694507,-0.005373862818897753,0.13484772984919108
COL2A1,,,,0.046637293541420384
SHH,,0.03830336581534197,-0.027145670081032535,0.01824980440734733
PON2,0.02301823954949773,0.08929060893061293,0.13933252204999336,-0.1139945846229074
ICAM5,-0.014121220643481234,,,-0.011092533830470444
