,MGH258,UKF304,ZH1019inf,ZH8812bulk,ZH916inf
IGFL3,,,,0.002733900731298257,
BMP1,-0.05733980316196716,-0.005335586553539261,0.05541100342700215,0.03147454238104892,-0.09003126518436197
NDP,-0.031504936393243546,0.04725848393709251,-0.026864458208794594,0.009568515275057528,-0.003946773540286533
TNFSF18,0.035617317617982015,,,-0.021770472178887886,
RTN4,0.06936171579984451,-0.10380433707339166,0.025467733312405233,-0.03038480007074162,0.040297003018182016
HEBP1,-0.022408942468485446,0.04371440356500942,0.011842024942088088,0.04971123882099505,-0.004611307893178903
WNT7B,-0.020577792814285643,,-0.03139835164796874,-0.0455238185114272,-0.04404522299260605
PTMA,0.1000996171003767,0.08957144167363833,-0.09415381302294988,-0.06601074443213205,0.03446091562532775
FASLG,-0.020577798631574957,,,,
CEACAM1,-0.028572453490398872,,-0.0033873541816454803,-0.014750725853685333,
PDAP1,-0.04797931799772909,0.04394880012221111,0.022649050713968687,0.06741828617828383,0.05275753116423079
QDPR,0.08862601612979198,0.07197813763565905,-0.058179615490969755,-0.039898759709891145,0.06898251818730596
POMC,0.04587006705952191,0.027644963841495222,-0.003376660047810255,0.011341795155923304,-0.06596051366804666
CCL18,,0.03783539712248368,-0.01996487114633298,,
CCL17,,,,-0.009271431105444039,
VEGFD,,0.0006881043687729365,,0.005376112794861782,
TNFSF13,,,,-0.012631780877943845,
WNT5A,-0.05719194512003534,-0.01839273140239977,0.04923391372724147,0.03795946849442952,-0.056916527983920585
CXCL8,,0.12127947167249852,0.11098315413400475,0.01384862737283096,-0.04354809116065735
GRN,-0.007010869936553642,0.04373835388134597,0.0937772376551703,-0.002260723356103975,0.03209424931994385
MIA,0.040905790882351835,,-0.06333211009513447,0.04485481430706524,
COL4A4,-0.023831598206771127,,-0.025241835218269254,0.01573579740752613,
TAC1,-0.020577787436041415,-0.04210123890344937,,,0.0733884305239364
RARRES2,-0.07900192975734464,0.08196674532607717,0.03072499170962865,-0.024873004631694385,0.12805873232092588
FGF7,-0.0018061472350919762,-0.0328071857780007,0.03897992996214423,-0.02425738822147128,-0.003286240625204069
HBEGF,0.017955005404826658,0.06793398761686202,-0.06044372631216437,0.04667707160041587,0.03450947516733505
PI3,,,,-0.023648202005685213,
PCSK1N,-0.0004293974648719762,-0.05127019520571183,-0.08051439036479648,-0.002974965858716188,-0.05485562979809349
NTS,,-0.017511540785266812,,,
SFRP1,0.0007260053979234021,0.08955957926093844,0.035142999924929,-0.06895911796445328,0.04528700777696062
MICA,0.008408191916803465,0.023498537130199743,0.03695329069435763,-0.05140945212894698,-0.04489594639409351
TG,-0.023831592836228717,,-0.032507477970304254,,
ADA,-0.027267221163872216,0.09344559858311668,-0.0025281919150422724,-0.005982726955495281,0.08918430198403132
LAMC3,-0.02677468084061276,-0.014123873214865378,0.05013535434964102,-0.004705576866358851,0.024525228843859454
NGF,,-0.03182334152603925,-0.029669059008765822,,
TNFSF15,,,0.11298229047607451,,
HMGB1,-0.02006628330610934,0.03100797340234358,-0.03946226607900828,0.0544992318929675,0.017939231948783812
ITGB3BP,-0.015208474090681146,0.0383949509782299,0.062065347496928075,-0.006700112614171048,0.1099217619676911
AANAT,,-0.041593086546711726,-0.020794250189176206,-0.03442784242887041,
RELN,-0.01975702228805288,-0.017531796223580847,,-0.04305413980183764,0.13606091049648297
IL15,-0.030165871351793844,-0.055812056399699835,-0.035151390858023095,0.0166523310606102,
BSG,-0.04673701425866711,-0.06103212258611307,0.06324537124383553,0.006927172858162049,0.05060027129487625
ADAMTS3,0.03201192286590561,-0.03246960548763257,-0.02489899765911803,-0.022958337161205353,
CD34,-0.07305828207011884,0.0756844600871433,0.08853879417689675,0.037141225746981886,0.10680242318364488
PLAT,0.00723039174614652,0.004601621480603107,0.06269648998754052,0.023400597118680262,0.02301951603949327
CKLF,0.018359189223572898,0.11774875869861297,0.03336486655592207,-0.05333126884842163,0.08931316706932652
CD24,0.05131139051436995,0.012881955489348985,0.039141629654373386,0.02438005058294923,-0.0005324049067379058
HSP90AA1,0.028838750019394614,-0.08947578585068652,-0.034610047119255416,-0.042649183542057593,-0.036256725504325134
BMP4,-0.024526168789149455,0.06024464728481507,0.14777863521713608,0.03620685598607998,
