,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.012064723351363115,,,,,,,0.08921236037011356,0.059896759193350135,,
BMP1,0.026583140977356107,0.1669814681025619,0.04190391659940823,0.03112675816486647,0.044258640728014845,-0.05009188040746932,-0.032921513711140445,-0.0419554806955622,0.007540688004799589,-0.04605736019255272,-0.003359419120257712,0.11138681494282682,0.06064371431085127,0.1832587346603824,0.03894103284818542,-0.04706005411086052,0.09384037624609955,-0.07393560480498994
NDP,0.07573207912264766,0.19646896034143127,0.011459988834460177,-0.06439886584578645,0.031788526343087244,0.07452527671645126,-0.05345684168439766,0.07669072443580591,-0.012915783981873612,0.0445973338654012,0.03012022818870875,0.12127541848645297,-0.05496773031118287,0.013279104652924572,0.08758087327279791,0.230782992886459,0.14267435038737572,0.0795616953679382
TNFSF18,0.01602121501811907,0.173159124276792,0.0350770642271782,0.0658572815571415,,,-0.01294157439483989,-0.001410949067612264,0.0001826698602220609,,,,0.003322508517862112,,0.021860489350984016,-0.017994167940101034,0.02422174713462622,
IL36G,,,,,,,,,,,,0.01769805674973237,,,,,,
RTN4,-0.06626415944973509,-0.09749921019245437,0.012119696490623211,0.02024720240778537,-0.03728967627768332,0.08643268689947878,0.0595572605336844,0.06450994613929742,-0.009802843888170714,-0.022962692595416,0.036155068189812664,-0.07682530201045432,-0.0017764095059468684,-0.021717231689328036,-0.07859559580245441,-0.07080654328119076,-0.19135663183943588,0.04630715252418463
HEBP1,0.04431298863378336,0.03404361944697724,0.03180929594012249,-0.03654037482215341,0.03796929721602048,0.01875774181943087,-0.004364148856183433,-0.03820988778492101,0.0022729278926623747,0.003418744556523328,0.04087349506164639,0.04646765231646334,0.05308990944669045,0.10615322917937069,0.04084115163073858,0.16620194957091272,0.025450533785640352,0.03569747205590072
WNT7B,-0.010055154146997236,-0.03182704152594764,-0.044526925369517086,0.020707291720818914,-0.057914190681068456,0.08211633257727893,0.014376104868630252,0.009950102758082842,-0.03740986605538553,-0.009135151167148527,,-0.036602927274911864,,-0.010985859214778007,0.05803930698674254,0.021361009672119975,0.11618671430475022,-0.030441054337630002
PTMA,-0.00043290954915334073,-0.1871939041336501,0.1302122453452738,0.027513785099395595,0.016143715592055765,-0.053440977982133056,-0.06473427958620563,0.04625055593871829,-0.0006987300519214595,0.010517328117302301,0.06975537840282028,0.07854077114245399,0.038968300090392746,-0.15596164777407287,-0.08442466198733327,-0.21572865796446092,-0.10474699011026779,0.10646790234562951
FASLG,0.07663315826052305,,,,,,,,,,,,,,,-0.03648784740736771,,
CEACAM1,-0.040785979814166824,,-0.012541134015329372,0.042433743946203244,-0.05002867320166369,-0.02040512049918733,,-0.00861380552556918,-0.022989095549084414,,,,-0.03840103033559233,0.11717924568586716,-0.00042543978633239997,0.011276918608741878,,
PDAP1,0.0625966279200404,-0.006375090859445676,0.06277793210637646,-0.006043944224425389,-0.004415776797358267,-0.06898224791714398,-0.011658842369648321,-0.07373601599273182,-0.011988652278539751,0.0703894041773257,-0.002481456829902615,0.020279433262131583,-0.014711570295181742,0.020118695248093926,0.027622654517328177,0.036960437508169186,-0.01303321161548486,0.042392992907770384
QDPR,-0.014958694030064602,0.08155627244841089,0.12983426123216502,0.03379847762382179,-0.011054337333001922,0.09251988561627061,-0.0423524697209974,0.03704816575335644,-0.00023582433275817427,0.01307351641195972,0.11250633556284717,0.06079770579788175,0.029116472134422408,-0.1517129903453502,-0.04858945293742753,0.11700400195679707,0.012131553619652508,0.14832344821487609
POMC,0.032723890022851705,0.029134644959102413,0.01404613559356675,-0.02034803468945032,0.004705502923335353,0.0037178693766562344,-0.02296744692582912,-0.013391873075617655,-0.01739320109573005,0.07798990303313774,0.020220128783843352,-0.011621649948416824,0.0044369534475776976,0.10013676025693113,0.04062653782938654,0.06030157670498664,0.049132427036146877,-0.014299189729946225
CCL18,,-0.05503475503243063,-0.07782287553218828,,,,,,,,0.11946777294296558,,,0.021103764265132743,,,,
CCL17,,,,,-0.00627852282663024,,,,0.047825731401004316,0.05794956080161515,,-0.022983279530131517,,,0.16822760894750519,0.0487747837681759,,
VEGFD,,0.010887458325523456,-0.017543486299190066,0.03412681376828527,0.040270217720287896,-0.01952246399327498,,-0.0077938102046776776,-0.03175657458390378,0.0276166973133863,0.049648363238418806,0.04709540537275836,0.14039616426107285,,0.029790984926166456,,,
TNFSF13,,,0.08440099965391167,,-0.034422183830017064,,-0.01255062739828217,,,,,,,,-0.04818481644300464,0.045266956601170215,0.12020869895149755,
WNT5A,0.03599721487347755,0.10228631530518864,-0.023184832825091244,0.0392253139921531,-0.02421721078310325,-0.02479246671145026,-0.024758101356449617,-0.024336173256520394,0.027176507017410628,-0.024635842967574532,-0.01926353083134051,0.05894422039184416,-0.023267287860736844,0.07091957510717675,0.039107295285525874,0.005695382416581131,-0.015728747852609616,-0.004187348394232503
CXCL8,,-0.20411699499580144,-0.09078378806200058,-0.02845575997707659,-0.03798387617909392,-0.028538219239983842,-0.017852453450961165,-0.030171375920805633,0.018250425079240774,-0.0008374251484884884,0.0791215504208569,-0.06302851021913614,0.06343113345647233,-0.04652577364181227,0.0036445127621942183,-0.007931129590684463,-0.06514234775916762,0.13179428001584906
GRN,-0.0420016410743752,0.04143659645780412,0.014663688640860813,-0.05610985332009697,-0.026382720274732298,-0.03243119621927107,0.021011953116819977,0.026214420468536247,0.03980989844474127,-0.0006105077569614417,0.0575743754009613,0.03007318198530974,0.032215966808564186,0.058792319335557404,0.10515151715647256,-0.07296525967964095,-0.07389038482972807,-0.015968932044807836
