,UKF243,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.022918502002526802,
BMP1,-0.04702622384599353,0.024711566441643913,0.11934747824034597,0.02681461249823222,-0.04927744177787288,0.020781892663921723,0.02839001531649202,-0.06308977285155641
NDP,-0.13062635027412758,-0.025637219859368707,0.12065866718229817,0.07971734070068057,0.011041563025730622,-0.05629829456768387,0.044719725679414596,-0.005763215824493131
TNFSF18,0.0325630808009166,,0.12922605383733182,,,,0.017558784209437944,-0.03337150305400679
IL36G,,0.00220416183080784,,,,,,
RTN4,0.14258110202262828,0.014911760575090858,0.040857876328396055,-0.015070321832977527,-0.013233166564115566,0.003208209807690787,-0.03648435079564838,0.09715988044493194
HEBP1,-0.008440423488639092,0.05733546061562093,0.08222179330951905,0.03952439601935673,0.042090879654774205,-0.0036270525146314065,0.030493222034020242,0.019085927944613702
WNT7B,0.13062327719138592,-0.01883469300503441,,-0.007374426281791593,0.04152020379519296,-0.030440101761365305,0.0003895544094095738,-0.03417264131307635
PTMA,0.11502069678206861,-0.022936764250636454,-0.10924900099737646,0.0101076828511856,0.02522344579614954,0.012480757811039637,-0.029452719027603935,-0.07527356522554328
FASLG,,,,,,,-0.017174637474721643,
CEACAM1,,,-0.029689499029322393,-0.031308724224240775,0.0014278547506041369,-0.020203538250739752,0.1521783790633839,
PDAP1,0.013344487844996552,0.03958325520601173,0.0052482236767389745,0.017531218258640433,0.012230045100091375,7.891852304039754e-05,0.022490586243739917,0.0720672138516536
QDPR,-0.02923270159751883,0.010054400241296418,0.0017123448369789913,0.022797850880408525,0.11280441122391224,0.015121663315341212,0.09144910513557462,0.008640772024798377
POMC,0.05234833986698223,0.06118327456685003,-0.015148227361661016,0.017749943842855425,0.07038146208459266,0.024623779728006685,-0.013429439748627297,-0.07989206689442206
CCL18,0.03481633141600526,,,0.03654152832801573,-0.033430502520539314,-0.03878330100907999,,
CCL17,,-0.015654433792532892,,-0.022212024452249977,-0.0411311736468269,,-0.015566879822098888,
VEGFD,0.0242827957205908,-0.016777341565507153,-0.04036222331979419,,-5.556791223329397e-05,,,
TNFSF13,,,,0.022008698067335256,0.039992453888009344,-0.022687219363226124,0.04041594759057016,-0.03630343522203596
WNT5A,0.0235823909281349,0.07387534589115641,0.08488211017027174,-0.08043464125930448,0.059686588231212825,0.0005680719621440439,-0.009431967185798532,-0.03501071652339972
CXCL8,0.04073093712600121,-0.050443046472010394,-0.022716972261591216,-0.06085693546999101,-0.08279122978232854,-0.07589651654232196,-0.021924350455534838,0.05273474588989243
GRN,-0.021119260513350422,0.029457032891222906,0.013979547636090885,0.061359255484264526,-0.038714936395631006,0.040095186510745305,-0.039423392620502734,0.0038959688654262724
MIA,-0.004798102974652692,0.00629177549182091,-0.03874060897650593,0.07579228926892378,0.04489139348171301,0.038154337723105176,-0.004282072243484676,-0.06650239752659258
COL4A4,0.04064496749188389,-0.0068102952846179,-0.03160441576236571,0.030338343107263126,-0.027266156827669776,0.024924540918521837,-0.0075734838873997455,-0.028105275952095353
TAC1,0.0026917462456448366,0.017555202836741578,,,,0.03999911491625372,-0.020464246433113988,0.07966382640084489
RARRES2,-0.0806693555360576,-0.023784829370077382,-0.054096823392214076,0.0012937729164262475,0.020734404029774056,-0.014994452315411789,0.008491750924755091,0.06814517519617709
FGF7,-0.06598674313943803,-0.0022682569913200935,0.0695797782938493,0.021549596074713774,-0.014003230970568296,-0.031522900031259724,0.06859094937325833,0.00868226828801585
EFNA2,,,,,-0.02708051806512432,,,
HBEGF,-0.0018714320462644523,0.024114179668221238,-0.0067223297238504865,0.005792371266022359,-0.01714872932671332,-0.017649656491995087,-0.005901338382078863,-0.0966198751613934
CSF3,-0.03277164310138878,,,-0.04705777350259951,-0.0726043649165424,-0.028964531858806677,-0.016389522978014416,-0.04267982193559327
PI3,0.05122486720802757,,,-0.0046876530293152386,-0.08898058946791948,0.014662285867019934,-0.03560898854600064,0.05753175510795142
PCSK1N,0.054448570330492274,0.05404437540835934,-0.022091772599094,-0.1376178387786806,-0.013713502468079966,0.09194074340723099,0.0550598936265435,0.0533015968091534
NTS,,,,-0.05181834086056745,0.021368732422061748,-0.014261665683945102,-0.006554767406788352,
SFRP1,-0.014115241823487707,0.022086702719991417,0.06775227376048785,-0.03887948108675683,0.009855074556498417,-0.04227744023609894,-0.023706660249129242,-0.053246514260158154
CXCL13,,,,-0.02333109329757144,-0.02811978997322601,0.05225897616262263,,-0.03461913317079779
MICA,-0.055569137459849885,-0.0019162660668843655,0.05855897343390824,0.0071301397632927465,0.006170498685336237,0.022605003203405444,0.0008081771350211493,-0.011213421685137295
TG,0.15422128802198573,0.035593370549250394,0.011191518166245275,0.044924230920392286,0.0816106930292485,-0.023838254805617586,0.02079600969353754,-0.024475752168343586
ADA,-0.007971728847581476,0.03356342859947452,-0.045104168631392785,-0.010027667869462895,-0.008845001272574815,-0.02773924711900479,0.07051098669244323,0.009962105514459217
LAMC3,0.029981220917243086,0.00890024437316262,0.03948515408121012,0.005879319243835039,-0.012845167059342463,-0.043732465736704605,-0.0437830597482092,-0.06683114889001314
CCL7,,,,0.11141192836281473,,,-0.017174631367625558,-0.02408959954969969
