,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,ZH1019T1,ZH8811Abulk,ZH916bulk
IGFL3,,,,,-0.022166779463374912,,,,,,
BMP1,0.02474248189953575,0.04043287348744012,-0.036188372592827756,0.04275204886428958,0.12673925076110895,0.016107903451930073,0.016251742131765258,0.030496522913578506,-0.0777090563775851,0.01797114944939917,-0.00711896743328207
NDP,0.0007213508633655417,0.011494528337318526,-0.01809521878615771,0.14379046772903087,0.05661624141152949,0.05168373895092099,-0.023034220529729116,-0.013129743546736423,0.10499586676361661,-0.007215805627895537,0.01954269924260621
TNFSF18,0.07404762568706073,0.018690689538196987,,,-0.021545728696997824,0.014262931927220302,,,-0.04448947866821517,,0.06476358538091634
RTN4,0.015627508699246177,-0.0007848035622013395,0.0009074571345453306,0.05160325233880672,-0.1551865043955746,0.014663022142720101,-0.08211866868986312,-0.01514976317842083,0.017533054903416393,-0.021195389026503402,-0.13236914375636097
HEBP1,0.036530518461804204,0.06775356300300707,-0.03428823256606989,-0.003522655062682309,0.05671962760113158,0.00840045903138726,-0.030543537071424605,0.05591152741707719,-0.011585083539889152,0.02513409719985958,0.011994111530449662
WNT7B,-0.06502651589342746,-0.01722763696686439,0.059384847363281555,0.01633324211030203,-0.08626891175472057,-0.031436967760906924,-0.011246854524369656,,,-0.03250133841472376,0.003093887354783056
PTMA,0.06329892310738536,-0.031934939539465926,-0.019792399434557798,-0.017035826790178964,-0.06557381189482621,0.05342994749496566,0.008879224253335748,0.05549802184041713,-0.0432031576795161,-0.076333540496828,-0.05484664455256944
CEACAM1,-0.027966664133494103,-0.013221175199477332,0.05895138196766871,0.10329281475612004,-0.02490794309063717,0.07662849542580323,,,-0.042626051849572036,-0.01821210294045599,
PDAP1,0.05301869446498141,-0.01820077883600166,-0.04329491908581004,0.05784879762779563,0.13012449615607105,0.02650851078430956,-0.015075634518976595,0.07152841217488612,-0.026522040320197345,-0.010066676385597375,-0.013121690477037366
QDPR,0.003070310512918211,0.060577439837590466,-0.041039825975855905,0.00627776416185896,-0.126252685871839,0.009132528273958688,-0.050657246028343865,0.0023638347949317346,-0.06454982746495644,0.03437810590785375,-0.02962909692539004
POMC,0.00834710671065235,0.0051306469671989485,-0.01797580064062761,0.003860210976922727,0.042554060501311795,-0.02040869568883004,0.058149512500981014,-0.02265021570540365,-0.06402122043292435,0.005524442218092095,-0.04309576006577491
CCL18,-0.014054965770409053,,,,,,,0.05427461512828743,,0.07000526183089098,
CCL17,,,-0.028293328635039517,,,-0.02193670431634606,-0.013920453093406804,,,0.05385741531102062,
VEGFD,0.01453424078899074,-0.018936680917251696,0.004816752511432763,0.037164117542940404,0.028077126314311297,3.440193185985799e-05,0.017726905994854637,-0.024001519361098306,-0.022103137189034627,,
TNFSF13,-0.026336482986678417,,-0.01951610486905732,,,,,,,-0.024792701337458048,-0.034536447960232336
WNT5A,0.049987390275036646,-0.025368779949839198,0.024007800723575286,-0.0197227932306235,0.09552306366900801,0.031064538213303867,-0.00687762747564785,0.012173643726191341,0.02202674696857288,0.026450630210232317,-0.04281683450255327
CXCL8,-0.007983323529035318,-0.01773118559804074,-0.0020027374524043966,0.0022191757613722832,0.002685354147181547,0.020317925167515922,0.04963337165331916,0.05450438140486487,-0.03385248171657418,0.051860138241667304,0.0048394288717733686
GRN,0.039658081695906976,-0.04667707157909717,-0.028004426436138333,-0.04157587919602849,0.10741323551140661,-0.05885005146276938,0.028253384441256472,0.051330352921174334,0.02143134799879351,0.06053204566550444,-0.036643894254891174
MIA,-0.052902302584892286,-0.016840959712239822,-0.017861440954289515,-0.03454402548640877,0.17190147186370472,0.03275585488444413,-0.011612658156034177,,-0.09355872112722484,0.04130657237860972,0.10329812054126233
COL4A4,0.023717709360319774,0.01779830223208748,0.03017093458811082,0.04869913575787904,-0.021843715828245545,-0.02290259799875386,-0.019508342178070247,,-0.04537535185863253,-0.008227940336555006,0.012882715332930355
TAC1,-0.01038852879987828,0.10782120972695126,0.03834109250225137,0.03660625801191185,-0.06636754532778459,0.05964493417888373,-0.01808935004932975,-0.022857874740676402,,,-0.09513654797832853
RARRES2,0.07790734102875561,-0.01797212149676024,0.0742270828916063,-0.01607080079585427,0.09627289066055898,0.021481382314840983,-0.0027261017914565608,-0.03291312268518853,-0.061123436980710245,0.00735056199569726,-0.010405354663349615
FGF7,,-0.02137354595762841,-0.05015255014140512,0.002210317565150549,0.02203553437894777,0.0028099116065040675,0.038467425814776454,0.12041962342053297,-0.02280542679534756,0.009331614849225966,0.04276696974920317
