,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.002427774008999578,,,,,,,,,,0.05184496903533857,
BMP1,-0.0065466705276924116,-0.02420920213357314,-0.025771248513205138,0.014854037543171241,-0.035488816040509165,-0.018810863226248063,0.16043725739311468,0.03582956623895269,0.04167850958624369,0.05328613403489838,0.06920839568844034,0.05190534608647893,0.009208725484458303,0.0623194429612384,0.0036333656167365385,-0.008568057995862638,0.046590573353277154,0.028701628465511705
NDP,0.021961049346630658,0.029128800276465885,-0.04248797681294481,0.009427304279159991,0.028672950197756567,-0.0118505036056808,0.025195065352168672,-0.023409803738041433,-0.024831683133110922,0.11266520291634122,0.025414326006337352,0.030501775004641893,0.07884664896998916,-0.05524109482131883,0.021515239136970236,0.08117161235674737,0.09798960804230589,0.02360754525004634
TNFSF18,0.04378235510759381,-0.023606103986969693,-0.021872724702313186,-0.03295977572105233,,,-0.005358843804477389,-0.017103082243987936,,,,-0.01180343394291044,,,,,0.02911101739427781,0.05463820524097534
IL36G,,,,,,,,,,,-0.0163101877025318,,,,,,,
RTN4,0.007035703082167306,0.0014200425215109825,-0.014407542246055576,-0.03487863811666747,-0.01415992795450364,-0.005382383134882083,-0.15631443914878104,-0.013200920988056102,0.006629885721708513,-0.00804368041683472,-0.014377170994053664,0.056584726271604095,-0.11969830284684611,0.029723249726076702,-0.02022981993876253,-0.06271170977645478,-0.018526709462034597,-0.12435557466046178
HEBP1,-0.01610443009916003,0.11570231858316099,-0.04970166891984031,0.03485241016303081,-0.00817096369402771,-0.04580196338861218,0.032136168114909824,0.021617918862956727,-0.00403093904240278,-0.01626692435080441,0.015575731421262378,0.07267692097750666,-0.05550385494352001,0.029996193708802545,0.02844488851390005,0.01004706327840688,0.07533025377922822,0.0012042438025396402
WNT7B,-0.02312017557404534,-0.05509690911500162,-0.05912692859440238,-0.020473590965856023,0.04038586719291367,-0.07997116092713215,-0.023365489700308575,0.09047538163036695,-0.004702123940891042,0.060291191375455085,-0.017926775893939154,0.010097697552550515,-0.0741389861188506,-0.05758207176855368,0.02138377159589137,-0.020366669584270233,0.04047358660620479,0.017199165818443315
PTMA,0.06247117842068927,-0.05476639660839201,0.011910953340152118,0.034860997589085084,0.021527796985058287,0.056472582545543756,-0.09861557484048965,0.011756197806935023,-0.023670919871897938,0.14462062075089746,0.017320274070543387,0.028557030730670025,-0.04773113864622316,-0.03509285104757153,0.01735609189585554,-0.0328900764516776,-0.040789908010268876,-0.024889272982379942
FASLG,-0.023120182110059746,,,,,,,,,,,,,,,,-0.031000556591268057,
CEACAM1,0.039211162527023995,,-0.02542936416822349,-0.01571224966271659,0.032002786411832934,-0.023654900379089766,-0.019052086433127457,0.01391907634934472,,,,,-0.034125374787116074,-0.012672579931168155,0.031347477469450394,-0.013517654809821691,0.06224196743168873,
