,UKF313
DCN,-0.009740723113321845
COL7A1,-0.006856368794007159
CALR,-0.05534923677672448
PIGA,-0.007187025416811335
CD200,0.005180979492101669
LPL,0.05891264963832407
SEMA5A,-0.004253532939881296
SEMA7A,0.022968487020602453
SEMA4G,-0.0007273239616365008
SEMA3B,-0.053687956711510124
JAG2,0.0836477414104294
GDF15,0.007432769375880288
SEMA4F,0.08535378750985544
ARF1,0.06239185722806652
DSC3,0.04216430884455229
EBI3,-0.010268397534456207
TIMP1,-0.08262429640838734
SEMA3C,0.0014983128694799333
GAS6,-0.0846875284406042
SERPINE1,-0.05488070644868214
LGALS3BP,0.001383683175920301
LAMB1,-0.05021294019400144
SPTBN2,0.050203357141713645
COL1A2,-0.0138603803517887
WNT11,-0.01908400980110079
LGALS1,-0.03328036908648591
BCAN,-0.007616333624094347
ANOS1,0.058208571221816545
EDA,0.08734174170171015
TGFB1,-0.004379148912599581
TNFSF4,0.07516369774864472
NTN1,0.05786500668648669
CXCL12,0.0646500704771165
GNRH1,0.0030685051684785445
IGF1,-0.0009795100444983985
TNFSF10,0.0011644643927265063
GDF5,0.03907299047749049
RGMA,0.08658994281894175
WNT16,0.012201709491916313
CX3CL1,0.10369781218281277
FGF1,0.09302742865101425
ALOX5AP,-0.06513556835085732
IL1RN,0.023663391833480336
PCSK9,0.1045710202747601
NPW,0.014679008357508409
CXCL9,0.13514808776261764
ANGPTL4,-0.09522749411728257
CCL11,-0.008760399507055032
UCN2,0.010147157263364808
OBP2A,0.06450001455246558
COLQ,0.10148334031763943
TNFSF12,-0.08288631746800908
DKK2,-0.0051481656280141916
FYN,0.04427116297809392
ACE,0.05352186129800674
IL18,0.02198566086494356
PPBP,-0.024612090602271267
SERPING1,-0.05788462141094345
INHA,-0.0019837222797914216
SEMA3G,-0.03629942136590448
COL6A1,-0.03728719946987363
FGF17,-0.027959729073690424
ICAM3,-0.0026868241636312956
LAMA4,0.01804642711320225
INHBE,0.04845565146751075
DLL4,-0.009216662278860269
SEMA3A,0.05014928417169087
C5,0.02984616855994449
COMP,0.03283053500244318
EDN2,0.07759176829037565
C1QA,-0.022491046502223135
COL9A3,0.025561340770207282
DLK1,0.123531108745207
HGF,0.008717387911272856
GIP,0.04528007121526029
P4HB,-0.023003191976147797
GREM1,0.04551094409094723
EGF,0.08545404358970861
VEGFB,-0.06820420982478148
FARP2,0.04891689423468807
LAMA2,-0.0072670729100052876
NRG1,0.02164670265037804
SPINK1,-0.005180766973155846
EFEMP2,-0.11450213467325987
SELPLG,-0.012585317011602051
HLA-E,-0.03119105683334949
PTN,0.08496362735194361
CD274,0.010395596631728399
CD14,0.0004812826135655921
SLIT1,-0.030388904291994014
BST1,0.025524074535742746
AGTRAP,-0.012071178453755218
LAMC1,0.02973197020364449
COL6A3,0.04168390478360598
FN1,-0.02908197384954054
MIF,-0.09111797915217765
JAG1,0.04848074259228741
NID2,0.09516772080769972
EFNB1,0.03324099266829256
COL4A2,-0.0005051519993299862
SPP1,-0.05486455079903143
PODXL2,0.05859107684336727
ADAM10,0.031326803306980545
CFH,-0.0034874154363995265
COL4A5,0.05577976149194345
LTBP3,-0.03841789823054753
GNB3,0.0007620215456998013
COL6A2,-0.06059448024465093
GDF9,-0.03579871718251834
NCAM1,0.14159927642297093
APOC2,0.05765923325652722
BST2,-0.01800957670756632
COL5A1,0.00761487062404126
CALM3,0.011962420822512854
THBS2,0.009396298772529463
SERPINE2,-0.008658723363255502
EFNB2,-0.04592959215219554
MMP9,0.05615409571167659
C4B,-0.012468769814795186
NTNG2,0.06267691705576312
LAMA1,0.017686605235767816
UCN,-0.02192516669788717
ARTN,-0.03526193135421454
PDGFD,0.02092946879934808
EDN1,0.0051901976523332834
ARPC5,0.026635762690868883
GSTO1,0.006967668280242332
SYK,0.021440477421654384
ST6GAL1,0.036820268092560345
WNT3,0.013842952556531032
HSP90B1,0.06777205185054408
ZP3,0.0866318578329909
MELTF,-0.018235987980577174
NLGN1,-0.036049848291906134
SLIT3,-0.02780102491997334
CCL8,0.017650445807432358
S100A4,-0.025936451873655356
TNFSF13B,0.004828790725624342
HSPG2,-0.0443419109862709
FAM3C,0.006614951219360602
FLT3LG,0.0012530478694443338
A2M,0.04022588125240604
VCL,0.014543966269775629
FGF2,-0.006662005474306037
AGRP,-0.02531498870033647
RNASE2,-0.026699421411961216
ADM2,-0.03604985224582239
GAL,0.0350870595152705
PDGFC,0.019007103544690034
COL8A2,-0.02341486695804641
SPON2,0.1041766114628532
SEMA3D,-0.031254682675639446
TIMP2,-0.0074995293381145255
EFNA1,0.05217745268818761
S100A12,-0.030679999745785825
TFPI,0.0048722164033553825
GPC3,0.048741570360143927
NMU,-0.005036147289016863
LAMB3,-0.00862321344196305
LGALS9,-0.017222125574677765
VIM,-0.003130535863598371
PLAU,-0.026144883500022028
TGFB3,0.06322954390582208
APLN,0.0005819017745114274
PYY,-0.024253405541464712
CTF1,0.010328798876978986
COL3A1,0.011781992898772499
S100A10,-0.005953899973356554
FGF13,0.0557306590064667
SEMA4A,0.01620422285775562
EFNA4,0.05225994382664634
HSPA8,0.07553502880656321
ULBP1,-0.005617625802691187
SEMA3E,0.006575063857845137
ADAM9,0.04089887567609547
ASIP,0.063170417085339
IBSP,-0.007986743686820712
MMP12,-0.013636389778369977
FAT4,-0.0040090202566870035
MDK,0.01211838597936699
HSPA1A,-0.0359802420592226
SEMA3F,-0.01982115003982005
ARF6,0.010030174831077734
IL6,-0.028764122335484654
CALM1,0.021100359258298784
NMB,-0.024353392672526956
CCL26,0.024509842983548406
FBLN1,0.006180206417835503
SAA1,0.07961662600248272
MICB,0.02917339445899025
MMP13,0.07249595296587058
F13A1,0.0015874576275135542
COL5A2,-0.010603211608566024
EFNA5,0.0608494067633442
AREG,0.08485885452978281
EDIL3,-0.020005324978686616
CD86,0.10592445915349355
HRAS,0.013437700304300844
COL4A1,0.024105992042368324
CCL3,0.030277531702628313
BGN,-0.04878916439217539
RETN,0.042091078379922035
S100A9,-0.02183179230765264
FADD,0.031826843526763626
ACTR2,0.08292506406894101
BMP2,0.06806525804518002
CD55,0.08182100511914621
CD6,-0.04033212001939793
IL16,-0.030421615317771943
LAMA5,-0.017795392054350233
RGMB,0.0882910890118216
S100A8,-0.019208068096426657
MFAP5,-0.007622404890763936
CXCL16,0.07089172064913635
AGRN,0.023477286182025724
FST,0.022529115956588738
MEGF10,0.06656488899664117
C1QB,0.009755229750026764
HLA-B,-0.027532556698056713
PDGFA,0.04654633504305294
LAMA3,0.0025217983890625495
INHBA,-0.05725640289592938
IL7,-0.01934947144934293
FABP5,0.046524442164154585
CCL4,0.052161708357125074
FBN1,0.046428768874476306
TCTN1,0.0454034245005643
BMP7,-0.04199427165735315
NLGN2,-0.02248995932058695
NPNT,0.10250197312189259
KITLG,0.04401387877866321
F12,0.032168341882359716
S100B,0.06835944985363905
CD99,-0.05163886123530683
PDGFB,0.06352545753651208
CLEC2D,0.1222452483476392
F8,0.08328355713493912
C3,-0.010977042253339215
DLK2,-0.00983855140589034
TSLP,0.024032694332201527
OSM,0.04440305593836628
PRND,0.056686605002223125
SLPI,0.01684661299811818
AFDN,0.018230352062251015
ULBP2,0.006296957691286411
ANGPTL1,-0.014360094224486948
LTBP1,-0.03492634233460662
NTN4,0.06330630471062017
APP,-0.03377664745348509
RIMS2,0.10955222348582447
GPI,0.01679705459440704
IL1B,0.023917562094918732
HAS2,-0.002398031813553084
IL11,-0.02314572136926008
SEMA4B,-0.01953345322617356
FGF12,-0.005808255850743337
CP,-0.0170933081771376
NLGN3,0.014724329219604164
GZMB,0.00933348863606444
TNFSF11,-0.03918395648813964
AGT,0.05443148041206706
PTHLH,-0.01366629266191476
COL1A1,-0.008765297268836916
LAMB2,-0.07032447795436464
DSC2,0.04323583438683016
WNT5B,-0.02924463177470259
CXCL5,0.03689200687897011
S100A1,0.04326253815138782
NPTX1,0.11605194600533017
TGS1,0.004524371238031377
IL34,0.06960999885369117
XCL2,0.00873750542204941
TF,-0.03494753176514838
IL33,-0.047503676280009115
RBP4,0.08737458683109219
CCL19,-0.03554598695031752
CCL20,-0.035035662401368205
NAMPT,-0.07538943629768757
