,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.01425973704543674,,,,,,,,,,,0.0036454479511656207,,-0.024811544272558786,
BMP1,-0.058283733898682404,0.00685791968202765,-0.0332820745661238,0.0464052393565853,-0.031018108452900716,-0.013671058193068866,-0.007067119100966018,0.043458893577690026,0.05822633762250878,-0.004172521180647041,0.03667972481111103,0.023387137186940358,-0.0351868531373643,0.1639450224888943,0.03149611549405674,0.11295878944564779,-0.010281727659592026,0.02112970592249635,0.042297166449709635,-0.03830227188767959,-0.002781694996210609,0.03628805433124937
NDP,0.03190208888779296,0.030045784606503305,0.017593789705186876,-0.026641917477227585,-0.014878304648044635,0.05793629480441494,0.02902171327879466,0.0015824588027086093,0.02029217690518398,0.026119450747298305,-0.046848045264393214,0.028117324568731505,-0.02754797444424301,0.029758802863218973,0.017852087272454555,0.009551405094087778,0.04983928473336153,0.09941882409875372,0.04096207740936983,0.09076139488056154,0.07196394696538902,0.013634467516693631
TNFSF18,-0.021274495327980245,-0.051062324438484984,-0.021702603717688736,,,,-0.015383945207605656,0.04440690377304267,-0.006539121794575267,,,,0.0014697594310877364,,-0.04576616006377764,,,,-0.021367652388094818,,0.023602757466994303,0.024743641186233453
IL36G,,,,,,,,,,,,-0.01713623424850339,,,,,,,,,,
RTN4,-0.024777990301165436,0.007188807569502515,-0.03366510923545448,0.08410058092487366,-0.024126642387411433,0.002822262549295272,-0.02166890483393802,-0.05818664939968082,0.029736229238296247,-0.005643662017603183,-0.027374428192956192,0.05026262303116018,0.03129310445826978,-0.03312976059646858,-0.03716139238949264,-0.06397294737917952,-0.01656974831885997,-0.05172074079506089,-0.05948393395727991,0.09212865879473336,-0.08644698308495721,0.0005450178318810062
HEBP1,0.04140348644808614,0.02899624201732004,-0.006504481320211301,-0.0003448834553746468,0.039607936607656914,0.029422430769617376,-0.0065309768190525115,0.03923406970139509,-0.0011421596873564077,0.0020360187566625847,0.06767764601139417,-0.03517852153724929,0.05352027156992292,-0.012235913232083959,-0.01857971417020016,-0.024339492279938417,0.00334924041380008,-0.01866829957113366,0.048670381949089424,-0.027207617745893316,0.06269037535612162,-0.04434637117779976
WNT7B,-0.024526308620648907,0.0003393339539739999,-0.019936820602965758,-0.0069418341003838575,0.03435367453970414,-0.008595868431444014,-0.01898817311517507,0.006571612170984148,0.05291871900739925,-0.016141484651693783,0.04727085964619482,0.01746324234675108,-0.029394544344465694,-0.021709305232903934,,0.06029106063457999,-0.059449125063553813,0.10097842643659372,-0.02162966268604246,0.018519662748860598,-0.013970465971602323,-0.020190303551141223
PTMA,-0.023166101664341184,-0.011827327359176066,0.03161120930670427,0.02036141425765058,0.010391562496016322,-0.028653043151430888,0.07987744004416406,-0.09337787194010622,-0.06224986427322057,-0.008376689521263034,0.0820333616823014,-0.025259767187146703,0.0586485343908372,-0.12471115391675601,0.1315075325473581,-0.11292557241887399,-0.014909184024918828,-0.017323294298747557,-0.06437650511211475,-0.050143126289172016,-0.06059704567208274,-0.02735580319728864
FASLG,,,,,,,,,,,,,,,,,,,,,-0.019276096446485345,
CEACAM1,,0.021423700961595713,0.028283104034279655,,-0.0023668494391417966,-0.01926856061178975,,0.0462019455869611,-0.035942744458443976,,,,,-0.041011799539608755,0.021068979272326455,-0.028158562705595063,-0.0333122769149409,0.06698384737000902,0.03435215898286676,-0.026076864288656677,-0.0017871346158217128,
PDAP1,-0.0024512744744671746,-0.015507038178518104,0.015495525784318447,-0.0037213602551309627,-0.01625973787705287,-0.005584141359502298,0.040328138507072245,0.004568022565312408,-0.07179366823763499,-0.0067415861587648,0.05235195202936836,0.006902099484451611,0.014993472432564024,-0.01860208766278483,-0.03233202155176228,-0.025351664349879382,-0.009785614729775925,0.009177532041337375,0.0034043299821279074,-0.0025163808498988734,0.07835510425499274,-0.03656229390789389
QDPR,0.058628329871159665,-0.0677245537161935,0.010902006466726646,0.12208308479960302,0.012489897423001835,-0.06060688009175126,-0.03970168411378067,-0.12150057824218072,0.012833453862612655,0.011887505679521345,0.03694318969590457,0.00980038813462987,-0.009729856600884426,0.029675198871997956,0.019675958969897833,-0.13008827596359132,0.016228669477690916,0.07723878179794727,0.026106267669439638,0.04498149362643605,0.054442508735630286,0.029932148900998788
POMC,0.04623176747849043,-0.06440400371563089,0.05409823103498239,,-0.013245127991842827,-0.03877290042858135,0.042349131350248065,0.04523961964946662,-0.03153198186977255,0.00799982740210166,-0.03041878787539951,0.06827626199836995,0.061364421090236286,0.006339765271272808,-0.01607915630596026,0.070052671358523,0.05511268195139135,0.0001970563979767343,0.08673913006448677,0.05146061167517051,0.09056908200520201,-0.007138266932348511
CCL18,-0.028530847513745454,-0.0350712028484889,,,,,,,,,0.00033656367604645754,,,-0.02903289309386506,,-0.019964883929448833,0.03630252670424441,0.03295303522775696,,-0.01725044465804673,,
CCL17,,,,,-0.009162366846496779,,,,0.02370798566063365,-0.011958980456608535,,-0.015654436483533214,,,,,-0.023633448111625602,-0.008814360865145792,-0.027317461022358065,,0.0862755911165094,
VEGFD,0.04121141768559595,-0.04923856972160653,0.08385364528174431,,0.1206038871333098,0.020976210869314445,,0.004016314594612042,0.14596656124658133,-0.010325800933010793,-0.020552162721061983,-0.016777344449535544,,0.020901664970403137,0.05846751294322602,,,0.059841795127199865,-0.028811489862851775,,,
TNFSF13,,0.001027445993640405,,,0.0543133766955637,,0.03385834506853819,,,,,,,,,,0.01338511295996891,0.008545108112673453,0.0072959227894963,-0.02928257085860541,-0.01873935581177776,-0.017962213523668807
