,UKF243,UKF255,UKF260,UKF269,UKF296,UKF304,UKF313,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.02345100244627815,,,,,,,,,-0.01684270271818661,,0.012916265651424638,
BMP1,0.07029810125501819,-0.036931239325909006,0.04383160152482999,0.09962738922374391,0.01866872344170152,-0.023185991826596322,0.038724832444267034,0.0718737577020029,0.037679330776248,0.03672474031117559,0.020001136993554065,0.023408353094431265,0.014239765471334374,0.028072938000432236,0.07661581754791803,0.12206983094123358
NDP,0.061676844168850276,0.006656112560123387,-0.004952420727538823,0.03971721425315268,0.0010094450774285168,0.09880107679489393,-0.062194548344813354,0.011738176091904013,-0.05089599877188929,0.07771677940966151,0.03338338107842711,0.05119062541179854,-0.02429129899969735,-0.04681421060340387,0.06126245481470709,0.11437475203837048
TNFSF18,-0.029214552105826592,,,0.17701553405945736,,,,-0.02373641024706677,0.0540145913166782,,,,-0.017369582022104438,,-0.0117911849242803,-0.028131094122170647
RTN4,-0.02248115689527738,-0.013001415783259246,0.008461166406140941,-0.14186278474091613,0.019521808167981217,-0.0096718406187895,-0.03509242008105859,-0.041082656409438305,-0.03197072875344722,-0.06395129760351931,0.04379682145967287,0.02003721020865186,0.004015349178093504,0.015973685383416984,-0.02855359549731175,-0.14260475044735585
HEBP1,0.045622587810942,-0.014392950598703432,-0.013613476434456822,0.005731292963789018,-0.0018236513119895535,0.045697112825856055,0.05511510007120806,0.0064172722241356665,-0.017965791674446223,0.04561267326944997,0.03131808830888125,-0.02005152277707932,-0.010063076253648096,0.033491702619159375,0.05048208889109665,0.02762399170154127
WNT7B,0.050078473481370345,0.06695069334207737,0.0072611054746609905,-0.06478807483442359,0.005887393456148396,,-0.02849393188193294,0.031271061558113,,-0.046595160823242714,0.01190029741401809,-0.008616994284406421,-0.009025246073748884,0.01796106911005409,0.11168120395911184,0.0241617143099385
PTMA,-0.0711820047812351,0.00817007639413281,-0.02988913883855011,-0.01874788786601133,-0.04678533395834862,-0.010098436103052692,0.012389919590819292,0.026919053071643943,0.028652074707406584,-0.16222235431334883,-0.05436215089147496,0.015326100038078416,0.04772150288525778,0.018806172136618303,-0.0325014674561556,0.01811430310368951
FASLG,,,,,,,,,,,,,,,-0.03508955011883571,
CEACAM1,,,0.0099844738263465,0.1168110587057001,,,,,0.08927723176214644,-0.04178728655720083,-0.023177934842611447,-0.02225083868367313,0.1571205793276753,0.09307184770462433,-0.048821955273537734,
