,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF275,UKF296,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881inf,ZH916inf
IGFL3,,,,,,,,,,,,,,-0.03342451488204668,,
BMP1,0.0024889543569836577,0.02580221316699988,0.04052312201400606,0.02164326975990251,-0.025413606947701832,-0.06823766142694489,-0.012399512899301605,-0.04271397415106183,0.033606674752642764,-0.06870667522353785,0.05207380025895598,-0.00639954040974451,-0.07589013055811959,0.022097014620516824,-0.0034287524736713567,-0.044911875911769386
NDP,0.013727187728696364,0.029496874461549905,-0.05329527249033941,0.03158127160486316,-0.05800409713860569,0.03881709622965484,-0.01231346525205146,-0.010420402592290826,0.027978936708197063,0.07345616219750348,0.02856230747981838,0.017936961761013646,0.009590802756874637,0.023818325270005578,0.053109631659692964,-0.018414569817997748
TNFSF18,0.15862373028566218,-0.02731101791635047,-0.02690150889893335,0.040742332189880354,,,-0.010647509681371023,,,0.22832800282705404,,,,-0.03447011222052063,-0.029541087557545993,
IL36G,,,,,,,,,0.02095311515960053,,,,,,,
RTN4,0.04517533597242753,0.060341543724797705,-0.07195308055202647,-0.018065810053149063,0.05816501657847726,0.027805246254186518,-0.0014168800869888804,0.014015991278973341,-0.03173491603070208,-0.06139697978212259,-0.03309291746572331,-0.019031267541271015,0.06087715525493875,0.04422866456174488,0.07208198102230587,-0.07628967121281395
HEBP1,-0.07888683507759446,0.06098307688179011,-0.018336017889002153,0.035489124767832794,0.0202192477588493,-0.03210334203068167,0.04304258855630837,-0.04281533775983865,-0.006877386214711859,-0.09068416171379534,0.017024462324806998,0.05371286604854793,-0.01751678492172274,0.0037550353343247314,0.04169247934808642,-0.02663104069254707
WNT7B,-0.028368904171472625,0.049040747304475725,-0.039811282358328585,0.005159239064559005,-0.04053804453328536,-0.04972172829279644,0.016780705060842494,-0.016442654725541097,-0.01167548702210472,,0.006226596405396556,0.0005451502126372752,-0.03611580744690407,-0.04761495311776544,-0.029541056925657314,0.06372021960024911
PTMA,0.022687936963079098,-0.06839513608045106,0.023435709164130437,0.017254941729866184,-0.016932014681371035,-0.03342894231065494,-0.011323103317789466,-0.0020190618292228913,0.09899224306308704,-0.06536845182111607,-0.12731708592521776,-0.04160297319449399,0.010402819123361702,0.057043713286561666,0.04943076192848269,0.022314661745823593
FASLG,-0.012319925294378956,,,,,,,,,,,,,,,
CEACAM1,0.07146156777072284,,-0.017122073159567975,-0.025088315950735435,0.03375839853226346,-0.016785832214066564,-0.016745996129576765,,,-0.028269148706383133,-0.01747438460520039,0.05088241567234662,0.07394103722665125,0.06223950905105182,,
