,MGH258,UKF243,UKF248,UKF255,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.01991315269469261,,,,,,,,,,0.010465847509626407,
BMP1,-0.012588427645869734,-0.06311141240853778,0.05780412474753363,0.08642667489354117,0.0014681801749947656,0.08579656337125015,0.007101850117632014,-0.008710643365774567,0.045700580799147135,0.060255057666783934,-0.09234756527831532,0.020832229855995317,-0.04852362895843568,-0.014048397252697785,0.03210876379576141,0.0419319832535448,0.028761603954591007
NDP,0.027580214848340726,0.06124154828004995,0.013096469737008494,0.03545156071760007,-0.04773474953461719,0.021007400637486365,-0.043569309878098525,0.011959163705930332,0.010861347235269152,0.0016603715042660839,0.025508879053698547,0.143999709663649,0.003112698877924944,0.03652734269312069,0.010165942696670439,0.04575075639721818,0.0031434535018719932
TNFSF18,-0.029639466828210368,0.10162835960223339,-0.024830504610871256,,,0.023863389925255947,-0.01710308139284738,,,,0.11349153563917869,,,,,-0.02650798969999014,-0.020067015564339544
IL36G,,,,,,,,,,0.00601629953402302,,,,,,,
RTN4,-0.0418853427848833,0.03840860726320053,0.012471027566237082,0.019373838529140538,-0.04882789431269306,-0.06823790319694274,-0.07608701165748513,-0.03632014897827344,0.05113707234834857,-0.046265847181551016,0.029005229868217568,-0.11710636321069025,-0.032385989863560706,-0.06319314787913562,0.055930582425551156,-0.0811970960094932,0.05067078814270198
HEBP1,-0.07032449304397265,-0.07414312921944503,0.0774310581088427,-0.003649658462067781,-0.008282863096420779,0.032759808646298086,-0.0072694074693015025,0.012532722309889206,-0.008039684100415341,0.005137549548357314,-0.048550876617328174,-0.082212803330733,0.0309035760028276,-0.020762914290089224,-0.02901980987916725,0.05134918913766955,-0.04238087925866864
WNT7B,-0.007728383072661441,0.09144998689594559,0.004811076777305185,0.01611926282946007,0.00873579710115616,-0.02915198421255116,0.0009641099502933866,0.07630261761807147,,-0.025287686145411627,,0.0003209212189168888,-0.020891762864931645,-0.046352657480354505,-0.022338912311980718,-0.033541829406660076,0.013134260918633508
PTMA,0.030808301691565104,-0.015292648594594555,0.05452278401901005,0.04912906323226724,0.028101147831811286,-0.11194908735169952,0.015407556739292633,0.048097570807420435,-0.0914087391131323,0.0710346644910737,0.023553972304869553,-0.1226801610259257,0.020013728912670822,-0.04280738570679533,0.035475609797300814,0.013805637276809817,0.0292927787476717
FASLG,-0.026111449323374974,,,,,,,,,,,,,,,-0.013629405519298508,
CEACAM1,0.030872376687534606,,0.005840898820610764,,0.034091271902702225,-0.02827319530243211,0.014222007781258445,,,,-0.03267722256172595,-0.03196078106939278,0.09021035263702541,-0.02912965028740206,-0.014826660991910582,0.1343584207292648,
PDAP1,-0.011371875968372447,-0.028570601544424763,-0.015689076147913414,0.06763084141531966,-0.0062967406514237425,0.03341393876927885,-0.022355532064588214,-0.03572104313958268,-0.033919059792355065,0.003872222669415485,-0.10041722992072916,0.01829222744869647,-0.04420884371557597,-0.02840218285106122,-0.01516338881664885,-0.051707491140137264,0.007262989637685693
QDPR,-0.027436856662981582,0.05762342710318007,-0.03089707427073226,0.08052427890292344,-0.03105192045798555,-0.1004179421889736,-0.09145212216950675,-0.0031546137880013292,-0.10657091503993893,0.04745821933828955,0.08762031147408558,-0.10698794849771269,0.050711271279552536,0.05466624560337503,-0.02463942871568472,0.01198897891100495,0.04423448440573591
POMC,0.04188459158452524,0.041715305919829165,-0.017141805425991016,,-0.04256029752837266,0.056527493442069775,-0.019845063168442145,-0.027411189848142704,0.03422479377394751,-0.02798175426809205,0.04850223144775485,-0.00365795320852927,0.024774759861361195,0.01869746502581469,-0.024254469669081048,-0.013510950600798368,0.014942377809155747
CCL18,,-0.03603812736992201,-0.019721818518551773,,,,,,0.006626091281822721,,,-0.041561530669939124,0.03654379369757357,0.011400809645813772,0.02017837942416567,,
CCL17,,,,,,,-0.02133087236454753,0.014714510808058877,,-0.0210178317439995,,,-0.021346249579778615,-0.042050478932819414,,-0.012353525253610038,
