,UKF248,UKF255,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,-0.020521698840437294,,-8.363218326114469e-05,
BMP1,-0.0028320171116516715,-0.019114134812613027,0.003388715517114596,-0.010527905421927993,0.07945632287899511,0.04351879314473547,0.08772000263477726,0.004213488632050753,-0.04224968513125726,0.01620156452051369,0.01283255613692978,-0.0069677125818116414,-0.01051978878711371,0.002180884952959427,0.036364111297452435,0.03660656082907584
NDP,-0.010927418636134183,-0.031279630245767825,0.021812218609475416,0.002315000625331293,0.010958878402102204,-0.06976445009778771,0.020053437532485285,-0.04669580737204481,-0.02809214045521192,-0.05753825957615827,0.031008599046223124,-0.035810261877391,-0.037524830829083596,-0.03897052899601957,0.031407153070753493,-0.03926786472171026
TNFSF18,-0.026280927448883513,,,,-0.01461240073366643,-0.01325936928265575,,,,,,,-0.021163665784886522,,0.0036237491844086783,-0.029523502021230837
RTN4,0.012637476073117023,-0.07736292070354767,0.03729692023247504,-0.00400360660532317,-0.04225192733488112,-0.09222434034261516,0.015034616156240044,0.07675159204428672,0.10877076128082719,0.0033719897877143384,0.013428854226698794,0.021675530447844794,-0.030457550005482285,-0.011647079121390173,0.04205020238523955,-0.07562697440834212
HEBP1,0.027424528720917208,0.01616576348477141,0.05891309365364813,0.015232491833586702,0.021875542703693206,-0.007031795674414687,-0.0022207339401538614,-0.025211124186890112,-0.007556354263114081,0.010351573592089101,-0.008656770680735119,-0.03807651390537612,0.0421405721062884,0.005854797419230806,0.05815759659234943,0.06301043545227739
WNT7B,-0.020670270565480427,-0.039463881237831504,-0.011536584805080973,0.004586278087657289,0.033187890565377326,-0.007729924225166841,-0.014006902420621732,,-0.042143240170986515,-0.0344772274977473,0.027219559977974532,-0.007794745032724572,-0.04425493725221039,-0.029049611247114138,-0.0026040232931101182,0.056292685767371585
PTMA,0.00044435330480794546,-0.011907775155784991,-0.013629010867732286,0.0652077829903678,0.024708816449589558,0.04561478210922557,-0.025242817324943198,-0.07079048801000577,0.09652165018957344,-0.006308188696438766,-0.031018125849834273,-0.02577636193206514,-0.025611774834209528,-0.02227993497113764,0.007515305113247947,0.03251288003891243
FASLG,,,,,,,,,,,,,,,0.02515109871200642,
CEACAM1,0.03547075356568715,,-0.006541032520427874,-6.810994130163453e-05,,-0.02085382904853965,,,-0.0034653199881162903,-0.030919729853738632,0.028586432893149903,0.03217906085936546,-0.030409978216268292,0.03416516300168999,-0.021927097065375156,
PDAP1,-0.01998571613164997,0.018602517633460148,0.048484253441439806,0.013039158530338218,0.026102647545164764,-0.022724580260796032,-0.02159534609184391,-0.0326532943602233,-0.08661277904303326,0.07738064655059236,-0.052490319841226166,-0.02701614334766027,0.0158789515170839,-0.042901603341331085,0.022742446281372616,0.011589666165645203
QDPR,-0.04213589928815953,-0.007323256673876846,0.009957843638711085,-0.07873432367280964,-0.0666022732430749,-0.03393491476274689,0.00560031395144236,-0.04751964850548112,0.018923792501728917,-0.054523116621339913,-0.006016758403102297,0.021906755315480194,0.017729483476770364,0.002291513782975955,-0.00988243016334033,0.007630372276098838
POMC,-0.004364085550851838,,-0.014579179715948597,0.07152091854432589,0.029212065982521452,-0.015385123589369613,-0.0024917202550098503,-0.026152081640861365,0.08540845673765132,0.05228421299939422,-0.03808452800538315,0.01988738841969244,0.03339926537053787,-0.04555681167251463,-0.02719103413973904,-0.004288030280972837
CCL18,0.03800477435670895,,,,,,,-0.030423367200272475,-0.018202345549030153,-0.021922596835425395,-0.0157346412968204,0.0501339016393808,,0.0228560124215859,,
CCL17,,,0.054353106492087674,,,-0.01653701501537699,0.04773028441796967,,,,0.09152340640744046,-0.051222479996252034,-0.0270566744847911,,-0.0324759155859598,
VEGFD,-0.0390847787390093,,-0.01792013080640511,0.003163900734225108,,-0.01761879077891013,-0.012716619453827935,-0.019203541361345552,0.06293026414864063,,,0.012900034830419698,0.008040613871589457,,,
