,ZH916T1,ZH916bulk
IGFL3,-0.009240938443401677,
BMP1,-0.010646265213585283,0.1228697012452469
NDP,-0.04652148409809161,-0.0037872645338703323
TNFSF18,-0.011940844316369546,0.07436381252470067
RTN4,0.042848355586151084,-0.0016061083073253173
HEBP1,0.006527335464557367,-0.05144110304156178
WNT7B,0.02840416922189153,-0.04540008988348559
PTMA,0.049789087537376535,0.03850184168943956
FASLG,-0.0024911548249377993,
CEACAM1,-0.030756412483574008,
PDAP1,0.02946201299668249,0.022759974890750188
QDPR,0.012432849530793051,-0.08577803608625104
POMC,-0.021912745108099013,0.08814861973911198
CCL17,-0.02003605902210064,
TNFSF13,0.06962986142489365,0.001255240474721202
WNT5A,0.029966000203226706,0.04318356610190633
CXCL8,0.04138413758431188,-0.0399486354236884
GRN,-0.0167852340661025,0.045259760394279404
MIA,0.014387652878528508,0.12244651402009915
COL4A4,0.0006009447912384322,-0.03509069223832425
TAC1,-0.026339436936784987,0.013072866602697525
RARRES2,0.03526889783805865,-0.028584947210631564
FGF7,0.05270797075796643,-0.0437106361320555
HBEGF,0.10880147330537233,0.11308302269771434
CSF3,-0.021094879223349447,0.018439406550488754
PI3,-0.02751067829245808,0.09377075988433521
PCSK1N,-0.06006055004797861,-0.00447363176678916
NTS,-0.017689834852040825,
SFRP1,0.05498754696213519,0.009645884325071295
CXCL13,,-0.02994015397189503
MICA,0.011685920591990565,0.023136989090084045
TG,-0.021201269069348286,-0.03299420461549968
ADA,0.060081890267698494,0.01686477554614605
LAMC3,-0.046740458428972745,0.07101919938598729
CCL7,-0.022105388600486414,-0.06250301532174495
NGF,-0.0014624071548185063,0.055810509735792053
TNFSF15,0.10155743731569507,0.10844619406280273
HMGB1,0.014899592148849995,0.05936754705614842
ITGB3BP,0.04346082903224639,0.052627400352506105
AANAT,0.06711608505211906,0.043927244994556865
RELN,,0.0031175671171132196
IL15,0.049439104960151206,0.0501921292598165
BSG,0.018316736513154814,0.14283926885096693
ADAMTS3,0.045693970866504424,0.05704820682126339
CD34,0.026943096878671104,-0.013556523916050429
PLAT,-0.00444042117050262,0.1429503229970933
LTA,-0.003912747902581523,
CKLF,-0.011210532829121133,-0.059521322788131104
CD24,0.00594903625411257,0.06611896269514651
HSP90AA1,0.011421262245736056,-0.018840886556263876
BMP4,-0.05691596476000298,-0.02009094439096228
SCGB3A1,0.06941861491449282,-0.045290344728152104
IGFBP4,-0.011765230693512856,0.08788255766426299
RSPO4,-0.03149813712582541,0.04356764180435107
LEFTY2,-0.025901986782927894,0.12530013611547958
PF4,0.020992392090212406,-0.022262672899634326
ANGPTL2,0.10310316615757388,0.17191019639609814
LRIG2,0.07902572461458522,0.08745961175464051
ICOSLG,0.01547809839432224,0.08905475463612914
WIF1,,0.010133009211437663
NPPC,,-0.014879499152559091
LYZ,-0.049799765257250085,-0.01056091275762798
EREG,0.026554987859566698,-0.025630931441185063
SPTAN1,-0.050082380117842815,-0.06636219227124576
LIPC,0.014878612429018554,0.025163588343816757
COL8A1,-0.0581238098370547,0.008954369850521561
GSTM2,0.06636193049388579,0.04101429997597974
SPX,-0.0814152275548421,-0.07299405640196469
MFGE8,-0.0030416001522723768,0.11909292622786596
TGFA,0.05752085738162655,0.04618005049286035
SLIT2,0.049769927892074885,0.04897239203489949
PLTP,-0.060919832302715284,0.07364213775740862
APOD,-0.14764739431526774,-0.11878923385496437
B2M,-0.04495098507889923,0.12719441728015937
OMG,-0.009933043097824362,-0.03364733504782683
CXCL3,0.11526943426116493,0.04169690590166779
CXCL10,-0.027995111245239217,-0.051566015136247804
RSPO3,-0.022432646931668004,-0.015762593119323175
