,UKF248,UKF259,UKF269,UKF275,UKF296,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,-0.01468823742345291,,,,,,,-0.02254613611647342,
BMP1,0.030263791475628188,-0.047990159746934186,0.05756564330668482,0.0016429958130716247,-0.0011175745329430088,0.004923840772976823,0.007745243972408773,0.004990071329396802,0.016926509519976464,0.00733165742845594,0.05248273461251768
NDP,-0.013726469510070963,0.037580980248790606,0.021917520636292404,0.016435864966234292,-0.018780595225833665,0.028341632092852856,-0.011485826051759573,-0.012235298727223655,-0.009604616966234287,0.05336672408388499,0.019111426548205048
TNFSF18,-0.03583388025318553,,-0.004580512937275079,-0.016401180488053044,,0.02946087330003947,,,,-0.015789440800237434,0.02289005816296252
RTN4,0.06916439096890702,-0.019797302981514022,-0.040714537889879596,0.024623692694227078,0.010172476340730789,0.05741066501137946,-0.02386155592934268,-0.1146173772299197,-0.013080132302274013,0.008072907033698552,-0.002401247227612722
HEBP1,0.03843094199817863,-0.003446034268848137,0.012370948017798618,0.033443699438697835,-0.0018932046591646156,0.11335815821564355,-0.061709473705151494,0.02626259209553745,0.04463811164804685,-0.014093712925019606,0.03640180316372067
WNT7B,-0.019979293915084802,0.014540217274970126,0.045789577944451314,0.03424610940069989,0.014359443939305029,,-0.033623436414887936,0.08113445575839875,-0.02553789297504998,-0.03796500605375993,-0.02905447989280871
PTMA,-0.042409469301695785,0.011646620254403639,-0.04190470764821525,-0.01454605606921404,0.030165096975072563,-0.03514965821044107,-0.10823955119971526,-0.06938420145299401,-0.018630013899266825,0.016685980084228787,0.02611632485198465
FASLG,,,,,,,,,,0.08699597040364798,
CEACAM1,-0.0228072827286862,0.07567591503520908,-0.028702812277678437,-0.025795149588261325,,-0.033632030186094286,-0.030154036335161265,-0.019300582386906382,0.0278192813161016,0.05230264901908334,
PDAP1,0.044645210009437136,0.000954252854273852,0.017689054500961875,0.03684534813742097,-0.009078310468713682,0.019280913414823204,0.03919434364299649,-0.009527380044863986,0.037433097401062425,-0.01616743583702145,0.0120333908096588
QDPR,-0.01290781164057012,0.009664613783846128,-0.08838591124396045,-0.014499125343578891,0.027738965738930813,0.03588780967973623,-0.09633089218047762,0.01918962512368824,0.061745292768187944,-0.06369159807161025,-0.03615065634614058
POMC,-0.02732667010135068,0.04550483670451977,-0.015814595348213927,-0.01903063286353489,-0.027059101084265427,0.06615458713356448,-0.01001624252176399,-0.037288545276995495,0.007866584705252212,-0.019980655012495175,0.042927128645890586
CCL18,-0.028461333921479412,,,,,,-0.021379707541544956,0.015106831262560993,-0.025261081535977985,,
CCL17,,0.011241296932837517,,-0.020455465280360356,0.03714327641004679,,,-0.013692829029063571,-0.025822633982977426,-0.01772373688433589,
VEGFD,-0.004146477919888397,0.035536615332066375,-0.008934288699723457,0.09173580454325064,-0.02595399052403308,-0.04572200803147665,,,0.09353144332234781,,
TNFSF13,-0.021477842716215396,0.13824594379320762,,,,,,0.006821096481150592,-0.02806832029172849,-0.0288793499128162,0.135475565364313
WNT5A,-0.0044901620577777164,0.015249069498330428,0.029851170816483384,0.023217796795102174,0.031041313999304834,-0.039611146164167436,0.009708417103751933,-0.018032345119136605,0.0594781199463617,0.027560032291122975,0.0923914422210364
CXCL8,0.035214356702745836,0.05898764895097243,-0.04892767713089538,0.012914325708716737,-0.012090690493695398,-0.03824850810584963,-0.03764234121717063,0.032070074895683275,-0.030962796949493165,0.054380478035718494,0.06009880800517643
GRN,0.02342953016153015,-0.04049955499267434,0.07629417399632786,0.015513020316636086,-0.058397347973345226,0.05000122651984963,0.05040875096872479,0.0015574144515282152,-0.022830312986910357,-0.0026502118173585146,0.05902046364017522
MIA,0.009318582890310949,-0.0018988416552725537,0.04024952747086955,-0.02533605169874608,0.031835793323216934,0.11390620258482985,0.13035038359062567,0.08635934520321575,0.049963827207692046,0.027936297444450055,0.06258686123997916
COL4A4,-0.03418183079801846,-0.014005542320921148,-0.014474167743935224,-0.008414514949752596,-0.013914707649298938,-0.03580123274845358,-0.02703063049207749,-0.012701436599351345,0.07214931657254005,-0.01682645106933937,-0.009468140825434807
TAC1,0.02603137921538404,-0.0011311416081431194,-0.005695849431803275,0.027008952954871233,-0.04754053718702231,,,,,-0.02329965435988175,0.048149709841121324
RARRES2,0.02527571631840956,0.0622717987955465,-0.007950177331648524,0.0005278696297775701,0.026039621904741468,0.05254093685930769,0.0136116189441684,0.06427937078024104,0.0005575822460835404,0.014410270022838872,-0.01948736632187515
FGF7,,-0.007579950845303996,0.01845982057229745,0.048260110296703976,-0.02303941115047317,0.0380162084413694,0.004641979449306404,-0.021555195880392387,0.030107456529810415,-0.003075309815600292,-0.037212894542806345
EFNA2,,,,,,,,,-0.01700146735586916,,
HBEGF,-0.00021888357492925116,0.026198829296784167,0.031137148025177305,-0.007228223580320185,0.0068477047450220705,-0.013316845804494163,0.017643251142315665,-0.050757152162334174,0.02939616312584736,-0.013894555444363877,0.03616872358177657
CSF3,,-0.022606975360161027,-0.015313390879949311,,,,,0.10881698698031601,-0.015258335119446905,-0.018660360730075883,0.06242542324726808
PI3,0.04779014135734492,0.04395498099583423,-0.017243080245705505,,,,,0.02272575441759,-0.03370690820846721,-0.029401663851309632,0.09141387761071332
PCSK1N,0.048244517600258816,-0.03405706567919249,-0.01705729877309784,0.026323851119390226,-0.06099591850135508,-0.012668574982455286,-0.00028729609597010646,-0.08124830488631735,-0.028162455887048205,0.016193284822610784,0.03813675482240597
NTS,,,-0.01882199946014631,-0.012865297706355134,-0.00906313800388185,,,-0.031943944753834254,-0.020713061716471023,-0.027633449691734504,
SFRP1,0.08660771456829161,-0.016549415131107352,-0.011585686653207234,0.03425494334419316,-0.018519855521462427,-0.06830131382055585,-0.0203959415142103,-0.02994177849806734,-0.004328571498771114,0.005217701903210243,0.02653026794694136
CXCL13,,,,,,,,0.08251088537399055,-0.04368161624642052,,-0.031469132115028706
MICA,0.002291665284487948,-0.01865871995232309,0.004703886176258337,0.020334443407271866,0.021232769422237147,-0.0027966064411913075,0.05176640392430724,0.022538684985265237,0.028988438144892093,0.049184524323596594,0.06547732354521857
TG,0.04057136952221305,-0.017859440920532398,-0.01848189273402074,0.03300591736794789,0.007770289439149328,-0.005008895396750976,0.1574312281447063,-0.01819434637616673,-0.025510399781714245,-0.02454096621283266,-0.03467914644160166
ADA,-0.0253099513351454,0.0004643567723736746,0.05961104626238447,-0.015308894344067596,-0.01916157416208993,0.0020016469754579216,0.036815439130526054,0.06532563993736323,0.06229701415015129,0.031060471839734472,-0.008830739154686245
LAMC3,-0.044848816132010125,0.004307834266572303,0.09814348077112878,-0.022125657478553568,0.010152266372354233,-0.00981925835343004,0.03485406255079085,0.025245953028360763,-0.012923864088285292,0.02933974864801676,0.12085149764994733
CCL7,-0.01810381272394589,0.07481291907971369,,,,,,-0.020522394508960054,,-0.019554249208831826,0.026553219052427832
NGF,-0.02036486560671309,0.039834105004710865,,,,-0.059773202332428076,0.06016767503479226,0.031213024935401488,0.031631297880747915,0.018341967605130495,0.015897928327321675
TNFSF15,,-0.014378530198794646,,,,0.023267198777326515,-0.03208662492977734,0.06786515827422095,,0.013954788427185368,-0.01786090653065873
HMGB1,-0.02783594775453156,-0.042093462034784354,0.029637774073183222,-0.011210794069525751,0.00011986004401884279,0.03321204009213586,-0.04085130830985103,-0.044019390489339894,-0.013413397533222174,-0.07136277086881354,0.026787683348533202
ITGB3BP,-0.006043607913162926,0.09390996672487562,0.06547398794065486,0.019067873680891963,0.02845474272201999,0.01993255563908428,-0.009536829537453112,0.034473741473273145,0.006335574894394451,0.03179186501860078,0.0022591820434539256
AANAT,0.0007126671763918815,-0.01308299333440596,-0.013813092983481856,-0.018532991206467623,0.01170812663016561,,-0.022267861602100043,0.02988226546295449,-0.02287937028779051,-0.02068921111772907,0.018677105222774028
RELN,0.003116694996543241,0.06660680431476944,0.008767095768051167,-0.02659982356320237,-0.04983963032945561,0.017485933313142864,,,,,0.10961013283067256
IL15,0.049517574256059356,0.07181735172314786,-0.036030175278397754,0.0005093766096655567,-0.005591481094156796,-0.05222650174953919,0.07627783303975887,-0.004458940837227697,-0.010905165329379544,-0.028359503521255453,-0.021318834357200063
UTS2,,,-0.027111605526593842,,,,,-0.015331664641957737,,,
BSG,0.027559012454625796,-0.01770189724650677,0.06579929849758248,-0.014542017147113007,-0.01109228443535455,0.0687964598244729,0.07760350898502996,0.09644812092069094,-0.04058373527314614,0.002643359611561653,0.12974368139597559
ADAMTS3,0.009789397476681881,0.02256920679077718,0.012066017288424711,-0.02804651118773894,0.030380568611893408,,0.025445813819750137,-0.008434699876417064,-0.048597688786566534,0.0172972125232763,-0.006459805293086276
CD34,-0.062137655152860106,-0.021046469007734867,0.0634562937318541,0.034918058551179576,-0.023763465985600484,0.01875733412810766,0.047480636523193606,-0.007021650782461527,-0.005791760213840791,0.014314658241506302,-0.019419506565542557
CCL23,,,0.03230639505209189,,,,,,,,
PLAT,-0.013344522391971713,0.0189845582026226,0.03181873419262088,-0.04758600492215241,0.028201898111406835,0.04889643772656429,0.0745338858418886,-0.07618791830589344,0.027059723726096937,-0.0009072244101049279,0.15309511672715354
NTF3,,,,,0.03237068395829743,,,-0.026016264005347244,0.06459067283772908,,
LTA,,0.05352295165290749,,-0.01784920197157385,,,,,,-0.013214261565902155,
CKLF,-0.025134223891400544,-0.02237249896997604,0.030640633950902607,0.016342998744265896,-0.020001022709109636,0.023206111887753504,0.03533274127010648,0.002862059013003755,0.07277902227066603,0.057848812431412745,-0.02489547969606019
CD24,-0.027291007464304972,0.042520510177888424,0.020229224952019797,0.04883148155763259,-0.022935409129260526,0.04879422383600662,0.07080676667545582,-0.0738355482220845,0.03361142546615745,0.020736325177273883,0.006014490204705005
HSP90AA1,0.017449708694681577,-0.054280755104136914,-0.027231883263875153,-0.00498538057128164,-0.015482231836530158,-0.013226468245424155,-0.08595482396408945,-0.02936006732497111,-0.06865530846793755,-0.07633539679836032,0.01506548435581396
BMP4,-0.01913043694472807,0.02649167903041088,-0.012580094918796641,-0.018115920232653196,-0.03474478988866857,-0.05468200207293074,0.02893073936409934,0.037680039286263026,0.0013421187462295968,0.06982302156311193,0.04713064082618504
SCGB3A1,-0.018103810913588803,,,,0.022719682845403842,-0.03027592070434805,,0.03904061939210026,0.030469056334501875,0.04144166182376894,-0.0033239628042678352
IGFBP4,0.0033092086872100615,-0.04479048782887975,0.05175050481703743,-0.011658544069953123,-0.02116198670115509,-0.0659986295164926,0.012695283760271722,-0.00981071817421557,-0.08034022253516754,0.023961702097809952,0.09007414204776279
RSPO4,,-0.025331778137286917,,-0.020759708524697842,-0.02489804325953187,0.019861252134163943,,,,0.034466136034793905,0.021543192705360197
LEFTY2,-0.013070508606354602,0.037914538514357235,0.09125283985678159,0.018217321782358877,-0.006371723641060625,,0.021985781649347932,0.10839063645798978,-0.019548632853985826,-0.029928511941003908,0.03536651302150028
PF4,0.017048695314316253,-0.011265768588081749,,,,,,,-0.015583021898073335,-0.012059313902024093,-0.023399578885596458
ANGPTL2,-0.005816508721464615,0.04193428143535987,-0.014490888381296939,0.04939860838177382,-0.007195126226876677,-0.06536360436848673,0.021737466283228767,-0.028673124583636283,0.01868806428743372,0.024975383278797864,0.1327850500103959
LRIG2,-0.07260709628799325,0.0058707691035928605,-0.03890138005540932,0.04522676162494131,-0.02202225130948565,0.024688676542017788,0.00941571824768595,-0.013768213601403134,0.0022882011228021523,0.015535956604014767,0.05918170074578027
ICOSLG,-0.017224749542532034,0.022122580252875373,0.007338401374401516,-0.05029563984438027,-0.04725183659863661,-0.02779295228175022,0.060546995475059685,0.013099890321250628,0.03231461026121053,0.07265898268621632,0.020640778387024925
WIF1,-0.03379119781498944,,-0.004180577806926383,0.05398078269630474,-0.007319523335812764,,,,,,0.004173406559743477
NPPC,-0.04377341324801356,-0.017475985291036698,0.07693553278248996,-0.013097409961863074,-0.016779282198070733,0.08739569639914835,-0.026663446097390662,-0.0306362341236724,0.03925959985614968,,0.02963177505608544
LYZ,-0.05508417927959889,0.017778327933603604,0.03250530071894429,0.011961040694022908,-0.04022070599059269,-0.09593200712857596,0.03234582324715905,-0.016059357400521734,0.008097810828648046,0.08415817779830494,-0.018873357777636657
EREG,,,,,,,,0.08211815650340486,0.03735533418518429,0.061665754434336736,-0.02693984701985967
SPTAN1,0.026488019651735046,-0.023284035162590155,0.025640622949336556,0.03096826168570634,-0.003555586338791034,0.033504842987753906,0.13287490973733845,0.002913564137825263,0.039696727376048166,0.021758437210842634,-0.029327987282285667
LIPC,-0.022991408601033107,0.036182393072642115,-0.0137344680315116,0.004182567325778853,,0.08779067535397428,0.014542648098329973,,,0.06285988003291347,0.018841371871729035
COL8A1,0.019247945533480165,-0.026332623178109044,-0.012026593936594188,-0.022500048143885124,0.0006995163363424044,0.05361306654668036,0.015314460375476381,0.050897634235403784,0.002218501718786356,0.053932471173814604,-0.0002791428634733759
GSTM2,0.04301419288343865,0.02240963861372425,0.015256065218176061,-0.023935854979224604,0.018132673699278262,0.06101602511186746,0.06631529577452822,-0.011336841377793875,0.020746783345563107,0.059086519423238,0.004497507618684763
SPX,-0.037184971027274236,-0.03317440522056254,0.026825638769168606,0.06526632751959367,0.014874738093457367,,-0.014701729810631428,-0.020691623495812137,0.022688329435030342,0.010825774897315213,-0.09972197778916587
MFGE8,-0.012849952861094057,0.07276684856756689,0.03403305845138143,-0.04416891573301425,0.03361024882689495,-0.0615920358888846,0.024787734631500004,0.03570202906902204,0.018224943365751853,0.01866736042477359,0.05653742187968369
TGFA,-0.033228641958245125,0.017532753766791174,0.025504593649993117,-0.015077645090287514,-0.021904975181617627,0.004310591937754817,-0.04718071356097481,-0.011341048362243577,-0.001666786048239578,-0.020915081431806763,0.027147604347008122
SLIT2,0.059656116326086354,-0.03834283600729788,-0.008014202673358672,-0.05342235667900633,-0.005299061620865247,-0.03735494168406893,-0.03015399949220941,0.04642137519543385,0.031010155863022842,0.03798312329537541,0.0750034432018679
PLTP,0.0286785182945095,-0.07910332156226044,0.018887797074584194,0.00720006698116775,0.02495944774606013,-0.022156959325891797,0.017057539856517267,0.00527257453191039,-0.02572301572252784,0.02227606348873276,0.00026769170326882693
APOD,-0.022276878771518245,-0.03345115584137074,8.83643667963935e-05,0.04032143561715796,0.042678564691935025,-0.03941286242301986,-0.11779722673388862,-0.02731122364531031,0.036073085259646843,-0.017115717622972267,-0.026300666301115494
B2M,0.024964576385717478,0.023686533952460394,0.05436731291184211,0.061951836923519195,0.006915779755027177,-0.028617778937646134,-0.002446364059581317,0.04549236246292456,0.008310084655665488,0.04065952104174976,0.06386027311767883
OMG,-0.026758909991102163,-0.004111440306268018,0.038283280175317444,0.02127901854179854,0.012744390114690689,-0.022112931071483703,-0.06659430851722035,-0.010511765211560544,0.1016490302024311,-0.010931843973243217,0.0379198533355161
