,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,-0.028966439755306647,,,,,,,-0.016560981528353773
BMP1,0.03509711603303937,-0.007577981139377672,0.006214221742104429,0.09893682368405542,0.03592101830561678,-0.007407568191770314,0.14557881146951565,0.10198506792232336,0.09457368039843396,-0.01011460879064253,0.12272502972355735,-0.047895753581770215,0.04336431937466684,-0.009115130345532341,0.06799704863992434
NDP,0.04993727873950964,0.02214638158233409,-0.0026037407125714465,0.05514273169848519,-0.021729929883422726,-0.06566368183485337,0.01032362513301046,-0.0076274388042591275,-0.020464282233490123,0.0006106387480125741,-0.060920819416848994,-0.06558904490237648,0.05951137661155906,0.01633526996374784,-0.0003625832190039004
TNFSF18,0.10768992001067486,0.025013659146683295,0.010116331174166111,,,,0.010598360024735052,0.029252375198954024,0.01735836164963889,,-0.04352269688758497,,,,0.09383635986547575
IL36G,,,,,,,,,,-0.013752909475102222,,,,,
RTN4,-0.0429240975856763,-0.013669630522977112,-0.028594253407577163,0.10470296334134983,-0.010165432267831434,-0.059029186091082694,-0.10544342898743748,-0.1938477154466995,-0.04659687139422176,0.046565020317139945,0.037013566073739644,0.09577390120087556,-0.029320492061697605,0.001498418634743679,-0.04194021046113028
HEBP1,0.10840311512138631,0.028367048765572698,0.10081941818049187,0.024583469687842713,-0.05819227500486225,0.027637225236777092,0.04706889878759123,0.08255212900859858,0.010500219013805547,0.037975898174089535,0.048400766358788025,0.08950819706867326,0.021250369258455654,-0.03550938311470877,0.06008418208557518
WNT7B,-0.08756433235009564,0.037685724230305896,0.0034035630639898504,0.025983331108841413,-0.024950398708535736,0.007854778170325337,0.012986699557418477,-0.04452788264189047,0.001007887541458067,-0.015116032417672247,,-0.019124505974491127,-0.03963382117075854,0.01773584753480671,0.005174485956165154
PTMA,-0.01529891277562046,0.03950476562551393,0.04349521942627525,-0.017872544744726666,-0.007654449171003704,0.05165911389363264,0.09674540953594375,-0.07901579861026958,-0.061627065865876164,0.026827991002974495,-0.08236040375714504,-0.03592188432342524,0.04492210826427027,-0.006429998886979194,-0.01155027227980948
FASLG,,,,,,,,,,,,,,,0.006325974379001594
CEACAM1,,-0.001048885914086898,-0.026977307333731024,,-0.028810557338923272,-0.01931662689283935,,0.11342053456271527,0.023908008113705408,,-0.030603842339149787,0.0047671011708687785,-0.01920074115526342,-0.02073676997227773,0.030795536079718352
PDAP1,0.0945786236361686,-0.021698253070208458,0.027932835639851744,0.04937364795856431,-0.0424209966166212,0.016101158948428763,0.0421171922419882,0.10627445038084499,0.0709401438003024,0.07545281863736768,0.08864176903729985,0.016634772808728375,0.03485364472180998,-0.00967896572564833,-0.02646780351185283
QDPR,0.046556842298537154,-0.060905716104152095,0.0019735241290282017,0.017145333419271033,-0.009950985710363049,-0.0545601910046107,-0.023388851730139184,-0.165689615687051,-0.029838804128641837,-0.02667092395379958,0.030831316768027167,-0.0738609830044555,-0.06035920705196117,0.006463054242449506,-0.017214433521530438
POMC,0.016168491543318925,0.005756707994301619,0.0959972361111828,,0.0067369164267161025,-0.03897698816741831,-0.03855045187227584,0.01979680153299638,-0.0039097830531594074,-0.005521338211372333,0.03531210052033568,0.013907818698062686,-0.004817692190513054,0.07822766885545089,0.0725028881802223
CCL18,0.05199949347772046,-0.032996381499261256,,,,,,,,,,0.015693323937165347,0.014662894104391167,-0.028192266413663004,
CCL17,,,,,-0.016698955374754902,,,,-0.0007902231285507575,-0.012563673250473497,,-0.013311994053385427,0.24568010884476146,,0.13692275031272463
VEGFD,-0.034719668295214334,0.010581301842469006,-0.019999012150679382,,-0.018604480348451163,0.006162871154558537,,0.07287368324714864,-0.014908804124018765,-0.013464877761414982,-0.04160525301274267,,0.0685876719536933,,
TNFSF13,,-0.011033244365505738,,,-0.011518565683848878,,-0.014170977288833899,,,,,0.04147639969764271,0.08218441326928128,0.03934385239493914,0.0791129426118744
WNT5A,0.051330094261754694,-0.007977128758370568,0.034350584834537776,0.0606184554529406,-0.019253040080271802,0.022080667281779685,0.11672997035347683,0.13128538300616746,0.03526013131726716,-0.01968103673734876,0.05094377016063755,0.021662481782096225,-0.013143929256013227,0.060424777581052976,0.0654912465838199
CXCL8,-0.04333011273624074,-0.0021402403778600634,0.01798321729610216,-0.03492615857610827,-0.0030874469674733386,0.030598946622869643,-0.020157296075745332,0.019597244334097395,-0.003590422452197554,-0.022136712514987188,0.04977351585521098,-0.002285775960449948,0.017502294679187055,0.00928070116152569,0.03376618899437838
GRN,0.005466942752769467,0.014473896461601254,-0.008299849149873254,0.04245948129822889,0.08334045769662775,-0.02829650987907566,0.0470762418361094,0.18873753479389466,0.0086651985448382,-0.027111289320345747,0.08615202914213521,0.030691916114010977,-9.862749091870397e-05,-0.03856809610630895,0.04466320281675768
MIA,-0.01825612406551533,-0.053738619599252614,-0.03436334055765608,0.01889968838703969,-0.0162544034559004,0.011567211076945272,0.11838508600546493,0.1060427453790786,0.05392312414350278,0.054020852999450905,0.04816083058179619,-0.07869548516985071,-0.007578139993394344,-0.023722416127298005,0.10926601211364975
COL4A4,-0.0009644711564904656,0.04107345230089539,-0.020997655459720183,0.06961485157845747,-0.024026057828701423,0.08990340549510722,0.06770647944373745,-0.013841638277978812,-0.0037506343754623874,-0.017888228277887525,-0.032577732492458815,-0.021749831803175926,0.02341278017495347,0.023781583460346038,0.01832456825338378
TAC1,-0.08613198622228113,0.020733265329039956,-0.0036124329609939832,0.03760321723847447,-0.02721519013458292,-0.09694506865173474,-0.025459368683911632,-0.10385711540531488,-0.0832269317021441,-0.031701684197160046,,,,0.048543027568157544,0.01961896189633548
RARRES2,-0.013451501777677621,-0.040835355987173076,0.05426274773445675,-0.02381979375795921,-0.015686192262254078,0.0771726158454786,0.031555761293930756,0.18130392188890454,-0.03211667113403717,0.049692336495065915,-0.10151107521270683,0.060591922006333974,0.04690894753564269,-0.006167164529463148,0.03815306790890968
FGF7,0.058580255043483895,,0.0016468862505249937,0.0087752585202108,0.018862786587357013,-0.0030434763300622096,0.058053006597534124,-0.004917020091572844,0.03358907417804277,0.05402606744167138,-0.022556753985530816,0.07627184825887061,-0.0076167016327869045,0.03849565419917087,0.07079181255672677
EFNA2,,,,,,,,,,,,,-0.01824901949539568,,
HBEGF,0.034832082929297965,0.03496696664726743,0.013966258859007303,0.05575811590805302,-0.008635257365781725,0.05423378147612928,0.0874707114529909,0.06253044322723646,0.10529058550280902,0.01343013269237621,0.02855546388064483,0.006606114270832867,0.006408810681001066,0.0028049925462085984,9.384070401033365e-05
CSF3,-0.016963664507977743,,,-0.03735463879601129,-0.019903698774068092,-0.06072628759237963,,-0.017812537342068873,,,,0.014193581253751055,0.03966005815812998,-0.029728992370373145,-0.00836752500100135
PI3,-0.0006127651044360744,-0.03471358452254918,,0.002480496359629411,0.08723561003339267,0.03829097026009888,,-0.03400480471098834,,,,0.06217335778977147,0.022993291297274406,-0.054702199127762086,-0.00918414732656155
PCSK1N,-0.036320266170673424,0.004901729736560151,0.004729654193158817,-0.0009557413693936275,0.04163356710382502,0.023228543585225275,-0.04291548268923955,-0.015262509450290345,0.07989117376969912,0.025260961094601044,0.005776534538272227,0.029117670180165263,0.008154098007127695,-0.03505198803491934,0.0007543493964555958
NTS,,,,,,0.0566813523636365,-0.016459751346587684,-0.03711856621858548,0.017837795369250075,,,0.05807950276095572,-0.022232967258718688,0.06427911644393071,-0.037869883488678646
SFRP1,-0.033745433099960524,-0.05717972060337706,-0.019306460766998823,,-0.014570484039056301,-0.04180942425025125,0.07032637682365143,0.038255662439087935,0.050151340483391184,-0.014893436784472669,-0.015322148348268805,0.09785058670357887,0.09500169229015062,0.00024702533012833667,-0.036989883337550496
CXCL13,,,-0.030876000821328076,-0.027123887671069737,,-0.021723967123593205,,,,,,-0.029901467985100454,0.10138461488714504,0.02555826688478735,
MICA,-0.00021280035515092304,-0.0052986931849173975,-0.011534418137554339,0.11320836419927699,0.020380773913320892,0.006537485192933666,-0.034936362122480795,0.0760094539700468,0.030208669249425567,-0.018493386880024713,0.05484008608907298,-0.04018564833334864,0.013029591599067709,-0.014522007696234832,0.10025620710846767
TG,-0.03428709527986151,-0.01014232574032427,0.027777330178375654,,-0.0157238607417587,0.005127675662620963,-0.0189988920629183,-0.014090610361456826,-0.0318007847932216,-0.01887240999342884,-0.02155466454713423,-0.017688311907691295,-0.011395917308083049,0.03544879071633106,0.05027239115230709
