,UKF248,UKF255,UKF259,UKF260,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH916T1
IGFL3,,,,,,,,-0.002068775804641485
BMP1,-0.006719817422390196,0.07479423856906461,-0.036675647930934134,-0.010217657879808145,0.10753121653269535,0.04127368445728531,-0.019775577200918798,0.01981008436827146
NDP,0.014555646895111806,-0.003085288930572669,-0.0006746064729026987,0.030311201629316064,0.14147390225508416,0.05750740122900745,0.02431928269269706,0.01708508914018273
TNFSF18,-0.02446913640399736,,,,,0.05203501605243893,,-0.01001594566290488
RTN4,-0.0430504116892414,0.011362180387151331,0.0151584814043566,-0.03279182005434029,-0.04998529598054773,-0.01095299527144628,0.004705718789689115,-0.024503618290528634
HEBP1,0.006012587495779303,0.04026937217247695,0.004889833715306838,0.0005220702783810056,-0.08837449084588257,0.02379060333188308,0.011559349713358175,-0.03586813727497963
WNT7B,-0.01601551176070503,-0.01681414744323403,0.04625112332646629,0.026623706835878634,-0.06890884063057755,,0.02966304492740164,-0.0022514436680379306
PTMA,0.05895139129396892,0.02587862961772082,0.006390977900142848,-0.001652834720293767,-0.014255911391923339,-0.013133349100416497,-0.04188488910841549,-0.028429875102563555
FASLG,,,,,,,,0.005220379686585689
CEACAM1,0.005783882067934024,,-0.03272354600660586,-0.015610028122902818,-0.051890085011000925,-0.026438752563173316,0.000849926371003606,-0.0364823679363362
PDAP1,0.0066089005156705445,0.018876943958174623,0.04249612345021374,-0.023888125919035566,0.0868487897239619,0.03304035750042902,-0.03288852331296052,-0.02652482933879886
QDPR,-0.07731618207613057,0.0646301799026012,0.011554809128308053,0.019867192430909255,-0.03655794031585304,0.04247955489132411,0.08371796550189421,0.06527886445655329
POMC,-0.01589128685813213,,0.016969192688975388,-0.0071439251603766405,-0.0013555899602952861,-0.02567758422593556,0.0836598116656334,-0.04173330050555549
CCL18,-0.01943479905172945,,,,-0.044493035089967416,,-0.03140106314059127,
CCL17,,,0.04238016591123451,,,,-0.028494023868615673,-0.023766194370972472
VEGFD,-0.01943480522318842,,-0.007473339789276346,0.03397470040121737,-0.025523603607794477,-0.050930326409002524,-0.019738680073055,
TNFSF13,-0.014666127680659318,,0.008587213552299255,,,,0.023688985939238804,0.006679352529699164
WNT5A,-0.009303195776766585,-0.03985964874762239,0.06335976156133326,0.006364111104044854,-0.04735141515467653,-0.06392946076972297,0.030051561766815383,0.04391742518963174
CXCL8,0.0006485772175145212,-0.032049139842878625,-0.043607863696823235,-0.011162601123931876,-0.11585514702782634,-0.023625963333798426,-0.06393031811973504,-0.013093554585917024
GRN,0.015594656778601496,0.018465654433151246,0.06731309122192439,-0.02564477351477719,-0.04504934616256149,0.07110191860743593,-0.0634324269911773,-0.0028345387851841804
MIA,-0.017653463600717192,-0.004126662760490937,-0.015463338973697071,-0.04531731659877141,-0.07329177073552967,-0.08034784204655603,0.023641951237550647,0.02501432811690342
COL4A4,0.007991627663136507,-0.032563309786783935,-0.011165119286555465,0.042382470074121555,,-0.05095155927125382,0.0102938450315733,0.035997711637300873
TAC1,-0.051680115125889436,-0.014987762547968063,0.008265421450553222,-0.00996483854450407,,,,-0.031243079149003886
RARRES2,-0.023338119300802866,-0.01664247323008235,0.03621578468849434,-0.06925482618460095,0.052448205904660795,-0.0484366746334947,-0.07989232275986906,-0.06413069984355564
FGF7,,-0.021725639332894252,0.07150410076853686,-0.028595781495628667,-0.0504094291108049,0.044357417665340765,0.0163681006551892,0.0037910237009891163
EFNA2,,,,,,,-0.01876029443622887,
HBEGF,0.0216120502967319,0.021130025867464874,-0.003151112772950054,0.0420549781686925,-0.05961921357706482,0.02138599447159894,-0.027117718596431844,-0.01210346637882798
CSF3,,-0.030964988465232577,-0.02260697684091326,-0.0016607031795422375,,,-0.061021450512061204,0.00863899710223873
PI3,-0.02044622800763997,-0.019103500479984787,-0.0012289575467769437,0.008503138259302634,-0.054145763845138146,,-0.0583201429249449,-0.005367645944520096
PCSK1N,-0.029070084841528822,-0.013411750371534505,-0.034564413608931206,-0.001553555452071391,-0.11213630962495265,-0.05847200520206478,-0.01977581401141598,0.028841623632328537
NTS,,,,-0.017485606520900487,,,0.012492194047099607,-0.037054371817868456
SFRP1,-0.011138327080801022,,-0.016549416215090637,-0.01703801028186788,0.03721176009668213,-0.035824032841032055,-0.038728067888037836,-0.03619332209191851
