,MGH258,UKF248,UKF251,UKF255,UKF260,UKF266,UKF269,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,-0.01569721489565299,,,,,,,-0.01999597328829399
BMP1,0.03006452748764766,0.03222235901724177,0.009167363050967915,0.084301332530436,0.0838224918153347,0.05747415377251205,0.07239057728875914,0.024303009027049755,0.03695540734986081,0.0563671666160766,0.02117488039381825,-0.057984707549796566,0.07038391378998503,0.12813519030062592
NDP,0.0703215788205475,0.05544871195351618,-0.013369229374085708,-0.029806450408578412,-0.019425882042979587,0.003755896667608257,0.04319163772440664,0.07672403274375125,0.11276285435345504,-0.05228618385012209,0.07179021510770527,0.1563781752034711,-0.055804082840530705,-0.055960444550266726
TNFSF18,-0.018128370192356587,0.0032453487331177283,0.03086825644982209,,,-0.015830096886166205,0.009679209081107427,,,-0.0466338726115327,,,,0.06601179421050303
IL36G,,,,,,,,-0.018234106231229053,,,,,,
RTN4,0.01165951691608688,-0.0022812789342531695,0.014605517245115628,0.01888674883949262,-0.03710673821372916,-0.10406601973675887,-0.04368834833505481,0.03711203786661486,-0.0010389218597149925,-0.11875251372465803,-0.1182100510270907,-0.1464643117977303,-0.08928554498369597,-0.048407581734784356
HEBP1,-0.06449468225057804,0.02480310390170478,0.00888610956641174,-0.046137227419521976,-0.03481340285408203,0.05350038763432441,0.03132148136776408,0.036465114648225216,0.10408644065247533,-0.025635680339036876,0.017757215677258534,0.06915076259014569,0.03198978640147937,0.005048864726350205
WNT7B,-0.015970526343122484,-0.038790387738720726,0.07039954704421207,-0.02366242231333466,0.048662792794449676,-0.003941423677912138,0.004460409609706835,0.049303934090032,0.026955554066878863,,0.06914520878165796,0.04263293999508692,-0.012977121220516964,0.08166519927952774
PTMA,0.009114895141217634,0.03070597651367001,0.02853862917582638,0.10780845267641145,0.03291943358211039,0.12765279499251375,-0.004080214628749501,-0.007603965144380317,-0.0684189087590463,-0.018762043890877586,-0.10624289527517038,-0.03130044207132855,-0.007014630397955656,0.12548732599640897
FASLG,-0.015970530857949368,,,,,,,,,,,,,0.14558740868538034
CEACAM1,-0.02217522186535331,0.030150853759111088,-0.011880541850801266,,-0.019883957950635148,,-0.030674491393562268,,0.06397312856355916,-0.0032451488508152323,0.004897380099710538,-0.0170727110814893,0.0588160210516264,0.00997984297229044
PDAP1,0.032299087557594634,0.006017943462802318,-0.018420506770656188,-0.0025302459150960345,-0.011541034145951786,0.07110902465223251,0.05007680524078327,0.021288399881937176,-0.09502636556808841,0.13900121066585897,-0.07838869573032861,-0.010282126038655626,0.025850573693535897,-0.023512307975075742
QDPR,-0.11366156540515511,-0.008670556947191035,-0.10456480076938934,0.08094468182747822,0.0397363634184017,-0.022850017489200767,-0.02363073237507632,0.040817095364140195,0.08579394855806154,0.07062860630383043,0.06332687560542048,0.03775813655805602,-0.005187225340963551,-0.05971593081800354
POMC,-0.0023008682421966956,0.08266587673346676,-0.02110982741636638,,0.04094013945731891,-0.022548281788725547,-0.03954111999226445,-0.0032852605100247476,0.05738266675053253,-0.010486996716241523,0.06307106738551137,0.025578801375270407,0.09014660162445248,0.060258556219783384
CCL18,,-0.025033668616951006,,,,,,,0.029990021031661544,,0.015662033243985,0.08590178993624588,-0.02302123920563809,
CCL17,,,,,,,,-0.016657373708328125,,,0.04325686394641718,-0.02799021177009203,,0.1133876195932555
VEGFD,,0.01579954634330323,0.021020373231149154,,0.01879125366461006,,0.003989004365245861,-0.017852223337660667,0.06857577111864463,-0.04457936221135881,,0.06339849391727853,,
TNFSF13,,-0.018891215662908863,,,,-0.015351891635085475,,,,,0.010935202143798433,0.042894061354456114,0.03756683558898971,0.03991371440325525
WNT5A,-0.04438573687118054,-0.05863456573457998,0.01600943314730231,0.07340599958244645,0.15374071644498655,0.06601449914334633,0.04465756327014169,0.011361885938607891,0.014082556616582163,-0.04977476978745563,-0.02009474465458159,-0.024673699998545004,0.0011214941763644038,0.06479272607569285
CXCL8,,-0.01895999221100566,-0.01593323508565074,-0.10347432996156519,-0.06351202855164627,-0.02183707014018087,0.07511089393234471,-0.02130200432104499,-0.04581646751451932,0.0013456049175259715,-0.06752145993478158,-0.10355443061823359,0.010030185546112921,0.00027656786181834295
GRN,-0.11163477914822288,0.057837865002930616,0.0024424282155429728,0.05573292248002387,0.007288112997435328,0.014326118217032289,0.052175337430144485,0.04561577514853659,0.06603280996368514,-0.012006016190467537,0.0004590592181186125,-0.03727992887083707,0.11686938000693586,0.1417915906102047
MIA,-0.020904047400378708,0.011672179970864189,-0.015133278521022317,-0.025815238116066227,0.005767885707273924,0.10611513605236235,0.12386143198697308,-0.024449437984766915,0.11703549265984309,-0.011172798454037769,0.22915352382618212,0.22397046607317758,0.19556902985624322,-0.037250317472400256
COL4A4,-0.01849582073232481,-0.018370793459381828,0.0408699623986533,-0.03795099387636442,0.03308507914206714,-0.014606646637827214,0.08614238956491994,0.06081818311786325,,-0.034906518567770085,0.1339711325366743,-0.0017429430687860696,-0.05514937763113985,0.0005920029840391399
TAC1,-0.015970522169040654,0.031769966754194176,-0.04044133099368539,0.06806324669022937,0.010874660693027453,-0.07125548577225364,-0.03719037576826109,-0.00734923035188084,,,,,-0.03618761124251033,-0.02066426210681248
RARRES2,0.1064889006338291,-0.02132063199328099,0.028301079977635427,-0.09301383460708468,-0.11787463227329506,-0.026735915485509177,0.06626306007399241,-0.032531228115611995,0.11985543676169146,-0.0145823328777191,-0.03992550130085254,-0.008784319715202864,0.027332920184884237,0.014481009649793684
FGF7,0.05532026451686719,,-0.019206258401270337,-0.03337662981915447,0.01319803754262562,-0.04186510566645452,0.10260232889253391,0.003339876602997498,0.06410770498201095,0.107212109224252,-0.009618979196392007,0.05988828595757626,0.0024074403597724257,-0.0201720760143841
EFNA2,,,,,,,,,,,,0.03196570319229464,,
HBEGF,-0.004010671444632846,-0.016401657016367865,-0.011656897711811318,-0.026040177904027257,0.007404011939172854,0.10182322728817612,-0.016978313473270026,0.037588286057125414,-0.13960924630160412,0.053022782979274326,0.09053044771545496,0.0016196454745041246,0.014795461218385984,0.045787764725923816
CSF3,,,,-0.026564253098736522,-0.08540891952106446,,-0.016365311949538806,,,,-0.026550831580316847,-0.047392659050607626,0.01800797822281804,-0.016549712677193375
