,MGH258,UKF243,UKF251,UKF259,UKF260,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH916T1
IGFL3,,,,,,,,,,,,-0.021123089835947573
BMP1,-6.954674303161687e-05,0.046216570871512444,-0.022142731841885584,0.003871834165808824,-0.015157730350854751,-0.04431339833408343,0.0354252019040457,0.01687991927921078,0.010621801115152821,0.06765321848751107,-0.006725246763533501,-0.005366504205584199
NDP,0.009457319077821677,0.055360065992169034,-0.007391624786502807,-0.008597539573486317,0.06467796374982378,-0.03107054489026421,0.03364469936784198,0.009048545333310537,0.0764130491673352,0.04371492209627048,0.032129701706274195,0.06665482130922996
TNFSF18,-0.022885148128002318,-0.021000983493867562,-0.029177834788855442,,,,,-0.029717811002374427,0.009437192009243972,,,-0.03563087613242177
IL36G,,,,,,,0.05226253884923265,,,,,
RTN4,-0.05467321103788581,-0.04346688565868905,-0.04306459710829687,0.0005699329979225993,0.060369925668446206,0.009468774492205696,-0.011903945390821723,-0.033938188184107466,-0.004399356712913942,-0.04392803593801365,0.015320214125383947,-0.03694422478018885
HEBP1,-0.007279502489208883,0.03307987054103526,-0.049265701919284276,0.0024440737454585974,0.004137144174499437,-0.00410021960637111,0.0015287302372636153,0.015031736199282171,-0.03236477807866334,-0.07996236053188364,0.014365043332743401,0.04129202006577196
WNT7B,0.048927794089818885,0.05022612675289728,-0.023455857919259037,-0.02371915963647612,-0.015973151864769993,-0.04075825854574345,-0.02070169302728554,0.0848417049089435,,-0.033623431295706614,-0.03178787378092971,0.0022489259832303306
PTMA,0.00989012620532553,-0.06038512688696783,-0.01008762031976631,-0.02583076864282159,-0.08484274812590432,0.03753955468692325,0.014720938669650052,0.015124926584456275,0.009201750333500815,-0.00863780645183387,-0.04459386353824234,-0.07435078193876686
FASLG,-0.02016110441748939,,,,,,,,,,,0.027517127692023025
CEACAM1,-0.027993869927363635,,-0.018000960178174426,-0.006532791177179805,-0.011688705113391816,,,,-0.045952541993365875,-0.030154031744197455,-0.015399744922756203,-0.02548965691331841
PDAP1,0.038715826163532696,-0.008671829994542773,0.05062564593537927,0.03501679617939656,-0.016352760935904053,0.06125614838054624,0.04319539659548102,0.029969643127429557,0.0755083884532436,0.01158954451382057,-0.0007568450563494975,0.05962817521337899
QDPR,-0.005794751281972794,0.023318964419486412,-0.04111468046756257,0.017728905318887045,0.042609906877102775,0.03247115503240993,-0.015750329464190384,-0.08966083534433646,0.0171582462164849,-0.12060394528873576,0.01231105467166134,0.03094041310714837
POMC,0.0021760194030782313,-0.03965336162096938,0.020074039539805105,0.020143766273852157,0.09411786998202301,-0.00822683981595581,-0.005583535135383319,-0.02234490050464493,0.09671756469594785,-0.03424471864052512,0.013128533354950575,0.0787526591871735
CCL18,,-0.028164045654901333,,,,0.06028797173861671,,,,-0.021379704286476134,-0.03760515733600123,
CCL17,,,,0.056027036720583845,,,0.09892486824672372,,,,-0.004157601759540805,-0.016605066362700722
VEGFD,,-0.03173264753192124,-0.02578276393400484,0.10084657263960069,-0.01118309125953405,-0.016151551688455695,0.05406487680336254,,-0.06247147384388804,,0.11854848922765795,
TNFSF13,,,,-0.010950153599949473,,,,,,,-0.02416379192344523,-0.01187025447103543
WNT5A,-0.026298477342021447,-0.06057511713308525,0.08274368311549878,0.012116072768493977,-0.05005774823811904,0.029523008001243828,0.039902918398133716,0.11257832761216705,-0.01223918297859108,0.0197366656038779,-0.015170504041845508,0.028852610822935273
CXCL8,,-0.05594436440288112,0.0028312254808680543,0.025549051388672115,0.0038370061100253634,0.07027152186239644,-0.02859908881306858,,-0.0720869985190252,0.02031011782117469,-0.0855169477322148,-0.01837359763202468
GRN,-0.004168566754144013,0.0385204936236586,0.0046791591693872096,0.01482350000232264,-0.06188834659250996,0.029973830655422133,-0.002417985174838808,0.06130651634926185,-0.029368294756526938,0.07422958348599046,0.0008655995800703,-0.08154821888368467
MIA,-0.008149879124959108,-0.030759067850757375,-0.022929387181424944,-0.014152351107315338,-0.008664913064297406,-0.0048371599993238205,0.08252887749759753,0.06319592637876355,0.03757515635091176,0.06927661852186941,0.018476499163753272,0.11077500950514013
COL4A4,0.01676985286371941,0.0929456704255253,-0.030280720428184686,-0.030106082396447794,0.0057845304446676885,,0.0030720884368378586,,0.06587875610292962,0.07746000194154384,0.09677289882437333,-0.029881654897465786
TAC1,-0.020161093448662026,-0.024975984307130713,-0.02359377424713177,0.07227107402814933,0.10994494553700346,,-0.034592234284311796,,,,,-0.02182904820798588
RARRES2,0.09256702308313952,-0.06905282935729067,0.0466931920837543,0.045379827275675515,-0.08390463967019358,0.013835008505971415,0.01848865168613609,-0.011341760057788794,-0.09159241999202718,0.025582394867835402,0.004199986206603003,0.058831456222384663
FGF7,0.017213116742443742,0.03406908161841226,-0.007007781332700664,-0.017276316860758707,0.030032424868018413,0.05353740921928267,0.009110733056434749,-0.02202523475302752,0.018025747966060067,0.08361616435795449,0.007886504976405355,0.059752615020432366
EFNA2,,,,,,,,,,,-0.014636426950761791,
HBEGF,0.021069775314289257,-0.005603627748716903,-0.05920502049893971,-0.049706622376579954,-0.04538132866611625,0.03918947841860253,-0.027451883840966244,0.04878827856064359,0.033377299453090654,-0.017760050708275053,-0.013668151699911101,-0.049901109452664016
CSF3,,-0.031944422462593894,,-0.01892150157973011,-0.007061251181373584,-0.024264899906111113,,,,,-0.0561739515788467,-0.01748257324609086
PI3,,-0.0378429319906317,,-0.03265279914751743,-0.034305217879009337,,,,,,-0.04503838167613151,0.010233580875105576
PCSK1N,0.03548035009747935,0.021417391223382595,-0.06058122338619869,0.040379399069266034,-0.010417092302938963,0.08254320281679395,0.003765150201134659,-0.01472552745524255,0.025603404679119257,-0.029571496852979384,0.009533521864315391,0.08670737611355016
NTS,,,,,-0.037461990737591974,,,,,,0.028602710399323713,0.13773938648748882
SFRP1,0.020807153582460134,0.038478192129144995,0.046730205567374394,0.06794803251070393,-0.01275797047485763,-0.028551948699518447,-0.0005796357743650845,-0.01316291378017772,0.0035371137684746174,0.01220493034642351,0.007507501535183586,-0.02528770512610755
CXCL13,,,0.0020729757686775607,,-0.012643311667309478,0.05602476232640784,,,,,-0.03760515324350712,
MICA,0.033069216644890716,0.048487143780317196,0.02148510635936291,-0.004351761516157312,0.0031913406642617103,0.09037890180891095,0.020899658221865257,0.06536913263276972,-0.06086421156652576,0.025040988493278724,0.0748667839428496,0.043204644924386214
TG,0.016697351760186666,-0.0014485432439377969,0.06846540285056975,-0.014947927982726095,-0.02705916578841563,-0.0017539310178656788,0.025644314995728775,0.11762454151876825,-0.03963897933726231,-0.015240752375723306,-0.021961698662491824,-0.009704817542516252
ADA,-0.03634140747755143,-0.007026345242024166,-0.011121757996302236,0.0030628971849692927,-0.009111159011960687,0.05894082475478917,-0.00823039119671609,0.02914495713293288,-0.03481785500441182,0.018742058322809594,0.03494396147774743,-0.0016655790509013894
LAMC3,-0.04589787075878632,-0.007892063091446485,0.050617080935792036,-0.019167098226090754,0.013996462415241495,-0.043048317881621105,-0.002663747875991075,0.04431753428059062,0.015355055625489219,0.09143597684778189,-0.02156698983954615,-0.040374066776262534
CCL7,,,,-0.010807328048768366,-0.016762696972794647,,,,,,,-0.018320042094080488
NGF,,0.044550130314696235,,-0.012496896847978145,-0.01789243433472022,0.06745941685361818,,,-0.09302268158059926,0.03725616261414622,-0.014439688748431342,-0.006493655747964355
TNFSF15,,0.081115506090087,,-0.012034488361947425,-0.01241104395574259,0.08299340723264775,,0.007344560623135762,0.013245576186664408,-0.032086620044576165,,-0.03886394219134462
HMGB1,-0.06170412104025125,0.04911283906887433,0.07664567476397206,0.04073622875013755,0.051217412224313835,0.010469931362894702,0.00031847243138446416,-0.009584516752062785,-0.09685761251212703,0.012545872711368287,0.023022870494800212,0.05382294732837211
ITGB3BP,0.05262386578858919,-0.01778863283224712,-0.02317001720072753,0.022147776979173046,0.02419013881586599,-0.012165601645983192,0.05498095124227993,0.06836536723239443,0.07913463446139349,0.016583710553891493,0.009473023483447003,0.05920033368260917
AANAT,,0.0034441082963323107,,0.015271025032068335,0.020636444932579257,,-0.00873172975446896,,,-0.02226785821180942,0.021077708991148143,0.0866456691288746
RELN,-0.019356948547300117,0.004184519458359087,-0.051783532250513555,-0.01900701644549084,-0.020910982701147857,,-0.025552057410749146,,-0.05019288030815994,,,
IL15,-0.01675965853591932,0.040991169474668646,0.082985091363914,0.009446624080116586,0.006092940142899971,-0.0363344587038213,-0.021406056566457745,0.0071886286525621595,0.11133028710862342,-0.037642433867694156,-0.0357098730974934,-0.026225775096972548
UTS2,,,,,,,,0.15008099722961463,,,,
BSG,0.014577018814218305,0.015876781383811787,0.0169266505320136,-0.006120325135619139,-0.07668431706067702,0.033973653113033575,-0.007520932323648994,0.1215778149652102,-0.02293790944611963,-0.013809078968394948,-0.018774742287967935,0.03840287258275351
ADAMTS3,0.028630361281545055,0.05223920318841652,-0.00895676876036162,0.00164204851421554,0.022890288490409364,0.048749476503617335,-0.02580959387110849,0.11948086506299882,,0.02562112714576812,0.08045719553761155,-0.018105469293178248
CD34,0.022764264310784064,0.039214245195955955,0.015001877911591617,0.010517217884228835,0.05827664370660403,-0.01755006530244148,-0.02667497110231513,0.0982988112398591,0.07316519948333272,0.07966970403802831,0.01339473448880813,-0.03345201259821245
CCL23,,,,,,,,-0.0331249497058562,,,,
PLAT,0.005402706388661101,0.07583271677300962,0.013020544502008907,0.025746997831209595,-0.012890554696909126,-0.0002861819131790564,0.07828785546531343,0.02294923531339357,-0.009008075634109781,0.03899065741374341,0.03311673664381239,-0.03898226654035632
NTF3,,,,,,-0.03291445434872447,,,,,-0.023740494857239426,
LTA,,,0.10646109687134658,0.06925719531840793,,,-0.02140605920883136,,,,,0.006437311625853744
CKLF,0.019002102703169755,-0.0024303365978435676,-0.0007830305191767106,-0.0012481916414633812,0.007134652914159347,0.01012328105450757,0.056640962962149405,0.08631855908021466,0.05967299576715239,0.12081925379533356,0.08535415116815052,0.1003170688931001
APELA,,,,,,0.02399996882178604,,,,,,
CD24,-0.014358772159895143,-0.06321332020946954,0.036200264733793036,-0.009387380123330116,-0.02294632497500804,-0.019179886715342178,-0.02329502591932509,0.05455386186674537,0.027836670544092803,0.07408392188353934,0.03709220202628063,-0.03163011779740909
HSP90AA1,-0.058954129804765276,-0.060757199979724626,0.018984097320191285,-0.006801185334595665,0.06969669665929702,0.05235268450886702,0.033395105658762275,-0.10574033467198676,0.012694080656517578,-0.14458794410823503,-0.05777207591819175,-0.06120313147754342
BMP4,-0.02402952127057363,-0.039830952310508046,-0.002127561670520328,0.007793293866715614,-0.021702598186447316,0.04646199973225719,4.9114852888899504e-05,0.05462802257634991,0.11407191913127361,0.04007054584389994,0.01795756924981197,-0.0027345474445485502
SCGB3A1,,,,,-0.013317683043109945,0.040530883888370055,-0.014936865032628787,-0.003785078617595245,-0.036010174541191,,-0.028017882430178494,-0.03841223026969026
IGFBP4,0.004021109740300339,0.08938982407551428,-0.03651925114652561,-0.03498792083289388,-0.02310204147395032,-0.019939017295853602,0.014888846890162403,-0.00058982429720948,0.086420159177906,0.026153622142400516,-0.003682640650867983,-0.0925735046056581
