,UKF243,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,-0.025961628805682074,,,,,,,,
BMP1,-0.018196622986987467,0.009100387751801112,-0.0587102215052061,-0.003806229185642568,-0.1731712734683942,-0.03366661650160359,0.021976339711385382,-0.08942595054589902,-0.1191773028776283,-0.028052153700398867,-0.06950297500840455,-0.006227709069332953,0.059024849127058555
NDP,-0.04156419922303438,0.007431686122614655,0.007647703548699638,0.012666075418737172,-0.02799291060414547,0.07269500255267157,0.03199807846496911,-0.05727104273461797,-0.02793586860019038,0.04563620285253639,-0.052829947426419395,0.08867279991914062,-0.0619915040876025
TNFSF18,-0.01958113029387978,0.09399280551180807,,-0.0006727150953347033,-0.0385522393869835,-0.01700442357749539,,,,,-0.03112842751527793,-0.02763098781626125,
IL36G,,,,,,,,,-0.017926777662131365,,,,
RTN4,0.14978427981093567,-0.009830805634493284,0.12052033399386725,0.10974006741818698,0.22540063078822453,0.08353816623616764,0.020278365789716563,0.19674898566780377,0.1589247360490449,-0.0038231231624776736,0.143171002030839,0.11932414831986128,-0.012863016429531877
HEBP1,-0.05081102772261668,-0.02975131342995739,-0.06910467782786203,0.009813470716532631,-0.12213987984004492,0.0166851673958327,-0.0017031342993961344,-0.11303025162772866,0.04362572028764877,0.05007393249657099,-0.06097952400886232,0.00942206121280404,-0.006588855326029858
WNT7B,0.24143968392898915,0.02629153807083051,0.019898943163402134,0.04620796794308159,0.10289468946941437,-0.013930919164388569,0.02270207271943813,,0.10353563387642933,-0.005848257403138826,0.09786850306754041,0.013267497377702952,0.07826886593897253
PTMA,0.00927300948050747,0.062130031660879395,-0.09640219971368282,-0.029596200857783906,-0.00905556416530032,0.05976625483768259,-0.07422414889434559,-0.28292985584015634,-0.1755708132757731,-0.05376694857772078,-0.07211408852356811,-0.06865733950055573,-0.11565029691422837
CEACAM1,,0.05329001711669782,0.05755087507789377,,-0.05073255126189855,0.014771585955686027,,,,-0.014826660991910582,,,
PDAP1,-0.023511399388432823,0.03677196906607051,-0.07496595258887581,-0.028604576912208825,-0.14756206700835864,0.05406193637832468,-0.0052115901432741064,0.024811946771371777,-0.05656259896350641,-0.034995444309604835,-0.06540931500861237,-0.022436027620520167,0.0071804856931989725
QDPR,0.08583535011945644,0.06426497445710322,0.07942359326246785,0.008370307824667597,0.10768197202548957,0.05338999525865148,-0.019435290876879292,-0.2220957727158969,-0.019177597064797238,0.030469645399943956,-0.016304133911453744,0.10270669030174304,0.011067130001570401
POMC,0.21386848256157864,-0.004622514227067612,0.04380869177678366,0.08350730536889799,-0.020670602859789302,0.009213150946213099,0.0483911953196935,-0.07187833433857765,0.03810422059410099,0.006275015322070401,,-0.02535586516276704,-0.0588303406002167
CCL18,-0.02625990576738652,-0.03317334379855733,,,,,,-0.046758543005339576,,0.05413185262975204,,,
CCL17,,,,,,-0.00783554724311684,-0.03538318123734099,,-0.01637662033540227,,,,
VEGFD,-0.029587238429750425,-0.012649550887871132,-0.018113430284529764,,-0.04349269229456494,-0.010083809113438601,-0.025953991341457382,0.03205042851393144,0.05812774038670995,,,,
TNFSF13,,-0.02503367770611219,,-0.0016121729361824194,,,,,,0.028038558522456066,,-0.03005857346866092,
WNT5A,-0.03342039426130182,0.017656871336397924,-0.010890751970911456,-0.03974014646910022,-0.16383898704074415,0.001772373042524361,-0.014188099937386811,0.03728779546373467,-0.07874274154706011,-0.03537534742766319,0.02432409968308812,-0.05356218496418059,-0.03829107165418014
CXCL8,-0.025859766076701943,-0.03389635377742141,-0.06924659555871465,0.0066457212195364,-0.07433011192942739,-0.03959477429410438,-0.024169485254226505,-0.07848150967421764,-0.03958905619989378,-0.04140594945441306,0.05255983087591382,-0.07596467445946882,-0.008512553801175169
GRN,-0.08147480909346277,-0.06055157989415103,-0.07387109405199004,-0.08826445125968367,-0.19045539978882373,-0.013458333471751682,-0.05606213773760482,-0.14512352957555233,0.018434298662809195,0.047333509328659804,-0.0709980027670691,-0.013209363033580472,-0.035237177925964445
MIA,-0.004392894908945927,0.0017544193483916347,0.0006770800817418065,-0.013171492294764053,-0.07416178876905014,-0.02682400663905293,0.009584003260711542,,-0.02403735248434178,-0.050797224587747374,,-0.010152621058003053,
COL4A4,-0.029784719072909503,-0.021827730354389615,-0.03350137904060297,-0.026550953825609406,-0.02558325818176259,0.06635784716555718,0.021012297441685604,,-0.0233171236739168,0.021308146166599807,,-0.0030480822462468555,
TAC1,0.3279950213164225,0.03683736241268619,0.16253644757102576,0.09142940625475161,0.16917018004031445,0.0970506951825534,0.043302661861205176,0.17767235500061207,0.10597777192834829,0.11375592267716983,0.04165091057476854,0.09742689140071703,0.049990108461174694
RARRES2,0.0028119966084444426,0.08499762347788037,-0.11859530247272622,-0.0688515932294842,-0.19117898916547024,0.07497392874573197,0.009572618230461323,-0.07811259343140835,-0.07770534803723242,0.009745446344557002,-0.03528709722118727,-0.029518273932038302,0.1277875411147938
FGF7,0.015652297016259385,,0.18210932524117937,0.09845814238658687,0.03495316164694216,0.025363463549204587,0.04070445620169763,-0.009354242672670671,-0.029005027399345528,-0.03482138960387943,0.1597517485929048,0.007679689531891359,-0.048841962083405056
HBEGF,-0.026101363691343017,-0.007230602885724546,-0.044762179305375675,-0.0029008113177386653,-0.07774091582365239,-0.061407451639867654,-0.021082979359442318,-0.10917120510930567,-0.05129971608701959,0.01406744236774458,-0.11032358671123256,-0.1115831761722461,0.09909627043593983
CSF3,0.04699920994876629,,0.009567430421075695,,-0.027066594739731727,,,,,0.04941682933917681,-0.0279773514231275,-0.035338103830507124,
PI3,-0.03528441333365984,-0.005163825780190117,-0.05556470550280834,,-0.030477342917320585,,,,,-0.03266306828107885,,-0.0262263333223406,
PCSK1N,0.17174738228727487,0.018746562063481288,0.009908815144232063,0.07988653763110123,0.10688055848015612,-0.0938299148604822,0.0020615410646051355,0.2660327310243639,0.17370915510620516,-0.03506963981138747,0.1899435800014003,0.057093492964316185,-0.007015951667028794
NTS,,,-0.05443022939606871,0.10465124731305832,-0.033268100812751916,-0.014562370299085688,0.023864945929627488,-0.040354068115899804,,0.02118845357669475,,,
SFRP1,0.12836044804692942,0.048809933613349794,0.03218910812072611,0.0024963380234003215,-0.0275371652254808,0.0010237503014489935,0.02174353343155587,-0.08806979396370396,-0.0074824418818074155,-0.009631754592957897,-0.04475316058293033,0.027495067257607177,0.024829520745781677
CXCL13,,,0.09044912957875871,,,,,,,0.04390410170390062,,-0.02866400249649495,
MICA,-0.08464543997202853,-0.029068929743594797,0.00464263985223718,0.04636692533533466,-0.08715238693761342,-0.031848324611494665,-0.04116793094694122,0.056730358150694944,-0.09338042627452409,-0.006044297150937838,0.048421535004906625,-0.038225941642776415,0.020762490477020498
TG,-0.023743156295649076,0.05829561718043267,-0.014452057263026905,0.004851234725708501,0.01616903111731551,-0.021366082983917782,0.08468631133213883,,-0.024599994533030994,-0.0174940507081097,,0.11787179514757756,
ADA,0.05125162508420036,0.0018437720354312448,0.015615691007155668,0.03417500897281543,-0.1401016616948016,-0.014966893480343023,-0.03460107648089958,-0.10949967696160645,-0.04287891210278234,-0.057227945982282494,-0.07532793746324232,-0.03637522358847527,0.07374625070586265
LAMC3,0.029880808556733387,-0.003272220167203403,-0.008908829304481223,-0.008299311385297483,-0.08747817542110536,-0.01528529490643713,-0.04710086185316365,-0.045243047605365454,0.10316428400453646,-0.04758803815526072,0.05903367384204582,0.059942898331284244,-0.007141744435892729
CCL7,,-0.004716758685573145,-0.027150806154653956,,,,,,,,,-0.0416324735257131,
NGF,-0.017159809747690966,-0.026698442534345543,0.0893228919317771,0.054366344248893014,,,,0.014373054385129596,,-0.025770483031442023,,0.009806331388865436,
TNFSF15,-0.021228826260602005,,0.015648573272562506,-0.035000225059886335,,,,,,-0.013199638299676601,,-0.012781460229885184,
