,UKF243,UKF251,UKF259,UKF260,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH881T1
BMP1,0.0987238736948671,0.009608611675284045,0.026065603407804557,-0.022722872341879807,0.025953513252622813,-0.01940367968885633,0.0058293907761421265,-0.004992172827920805,0.10298762134098433,-0.054963223325885664,-0.04325240010020178
NDP,0.0316711062795739,-0.010529998149601191,0.008574718357866398,-0.056449149656239844,0.03354914819990183,-0.013522254345218528,0.02790951337322787,0.09459043818447956,0.04911088788207322,0.01472682059131663,0.02494424739966276
TNFSF18,0.032188720210831065,-0.010241684711505963,,,,,,0.03603905707524219,,,
IL36G,,,,,,,-0.016140242559348036,,,,
RTN4,-0.02918764728004274,-0.004956709570250758,-0.02135013244640292,-0.05054633870997714,-0.09002525833428458,0.06350296066211063,0.015211798982620489,0.11473078595966603,-0.0033229057967723886,0.014837739363540388,-0.0038105908914027728
HEBP1,-0.016396072949562385,0.013145513787052074,-0.0538066132827993,-0.04054158785122783,-0.02499752232454398,-0.018703846469196473,0.003527468813672208,-0.04200228518900943,0.02562589031356121,0.013119329870693341,0.05875674908458385
WNT7B,-0.025324164623566115,-0.014775009868283015,-0.02547667881014616,-0.01950603528095917,-0.011246854524369656,,-0.01773998659686406,,0.11131500698881044,-0.027733930478753173,0.08450876096791682
PTMA,-0.055647172391807165,-0.008574383851150238,-0.03020257430162904,0.00037659964790154706,0.023100976862447258,-0.11849438610234106,0.036349547870275736,-0.04870250724557826,-0.03894052329709943,-0.022713624870465524,0.0199605155235887
CEACAM1,,-0.011338931416902887,-0.008634381204937813,0.024585612976021628,,,,-0.03682990936658896,0.08289820293484026,-0.02179891800990183,0.03739383512967445
PDAP1,0.04255158544215333,0.025617945855390345,-0.007028390444910537,0.01919801751721822,0.025350287407199582,0.08438644869892913,-0.016858025668197864,-0.06610561155852865,-0.039321308211730376,-0.02103480737903026,-0.01659916928169762
QDPR,0.029473963310653484,0.018065656844673445,0.06943309975907468,-0.006961158157752481,0.01124828374694603,-0.06550713217574763,-0.04289065282704384,-0.09833189978926633,-0.07418392704681802,0.05929092589689305,0.042280094210049815
POMC,-0.04068022890599593,0.012874925456312839,0.0390316608406883,-0.022983897740478813,0.006594142969582858,0.06511442161510153,0.11541632952519479,-0.0963494055855043,-0.029942951360528876,-0.009509760408562244,-0.02335946722443175
CCL18,0.09395143343327017,,,,,-0.06700874992211672,,,-0.021922622055537293,-0.0186712596660714,-0.049175137506299406
CCL17,,,-0.009296878320191935,,-0.013920453093406804,,-0.014744569799295329,,,-0.01546527723073563,
VEGFD,-0.03255439923936228,-0.016240744332090783,0.020283208100740732,-0.01659531164169084,-0.010210820689976901,0.05110315372780963,-0.015802212142430584,0.029487380801603336,,,
TNFSF13,,,-0.01567362934097698,,,,,,,-0.029675544085503592,0.14937713160611824
WNT5A,0.05326172121944545,-0.021755959092401765,0.06184222178967128,-0.007579490192492005,-0.032181195124450446,-0.04397268379060827,0.03515577158228857,0.01990443638739364,0.07832213210714202,-0.0062560067341995915,0.03617539288570661
CXCL8,-0.057009607159067645,0.06918833772499798,-0.0038543722561347193,-0.044564874982557234,0.1075012433036742,-0.04982248698266851,-0.010117198053202334,0.00017678648674564985,-0.03859822769727057,-0.09528777463246266,-0.055783281052561993
GRN,-0.005248858555639225,0.029713957892992894,0.018665442665820615,0.015219042264491675,-0.03389037414057109,-0.09031545565067321,-0.03326732853743461,0.046569987234269375,0.10662803506286646,-0.08141252311870403,0.0173738695166322
MIA,-0.028667231691895886,-0.014443382247855019,-0.04119169767152085,0.08137604497622941,-0.011612658156034177,,-0.021641853705887747,0.11564362406450003,-0.04570674917365606,0.09072680230777361,-0.009004590371422016
COL4A4,0.10686519106309625,-0.024289467029542985,0.044861295703934816,0.0027930039778653287,-0.019508342178070247,,0.09280042818572078,0.009907024559148006,-0.027717044073179826,0.05648883188750618,-0.028778227815675884
