,UKF248,UKF251,UKF259,ZH1019T1,ZH8811Bbulk,ZH881T1
BMP1,0.061016639831812824,0.0458936352061067,0.03150335291730246,0.09612333838989202,0.022542159192790807,0.007371854271464979
NDP,0.049939746896617176,0.012061152550305718,0.0609994886421374,-0.14130779322504844,0.09620041610853496,0.004536782824650175
TNFSF18,0.014762337380278517,-0.0277342187591086,,-0.048999360023906986,,
RTN4,0.031154334002299593,0.0004415828647202572,0.009201488173831849,0.06738848370891512,-0.04263294002489437,0.13396307957805592
HEBP1,0.05433174095656929,-0.01599035225688047,-0.033159458289284426,0.08628552185316263,0.03710570595400853,-0.002917079160950915
WNT7B,0.045137880151409265,-0.01722763696686439,-0.033950702664777656,,-0.039753265875124164,-0.02655852882217861
PTMA,-0.04153494076783551,0.049561266080228566,-0.03110961516537934,-0.0607891290792732,-0.06877336253484226,-0.05664023361629108
CEACAM1,-0.016693684632871533,-0.013221175199477332,0.008609668792560624,0.020325254072529036,-0.02364305206903428,-0.017627281838567453
PDAP1,0.02655150933933256,0.04043098491023856,0.0396756270845467,0.006387376557324561,-0.07182795115356079,0.057665407650021185
QDPR,0.011970734161296822,0.01887879462788969,-0.021599096415128114,-0.030657574030447346,0.07872587865797359,0.03609251036427442
POMC,-0.03956589729396622,0.04625950325046918,-0.000846216633441546,-0.004813792123651344,0.03559243499108697,-0.028835917468885492
CCL18,0.012461772947121249,,,,0.03780752822330279,0.02149470797942409
CCL17,,,-0.02272273382736522,,-0.03413022995907537,
VEGFD,0.04489493718286208,0.015833625423055143,-0.025315634748829762,-0.025685335769933745,0.07860575522220876,
TNFSF13,-0.01572060719219095,,0.07701532127035578,,0.06601083197818064,-0.019794256079592835
WNT5A,0.08645741404520102,0.06901253127098099,-0.002331457214375326,-0.030638474961570555,-0.015466446157676127,-0.033092501254465424
CXCL8,0.07705274075027724,0.05414535672848812,-0.05135679953735016,0.07596636977563365,-0.06171992660573391,-0.026822434421835063
GRN,0.003376430071708522,-0.007704862414718171,0.013092493225361436,0.08175713304054627,0.04183447854216189,-0.12186604938809793
MIA,0.058854379816825765,0.05884229367107076,-0.019825756132901308,-0.06410815064407825,0.0914534744925996,-0.10582806823939067
COL4A4,-0.0250192322471887,0.006497813541160124,0.014126727126049283,-0.036677139913539464,0.1558263680915802,0.005754345107785689
TAC1,0.11072789472993219,-0.032726529593611386,-0.05108667806161977,,,0.05483840536074714
