,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019inf,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.013231770726911044,,,,,,,,0.03690137693309578,,-0.02093907370864374,,
BMP1,0.015644989828987647,-0.021564175136316636,-0.055207105610966735,0.01644477888070145,0.06886433722649131,-0.11126591327312896,-0.000510356164032118,-0.02909417478452708,0.00659170650395285,0.05735300597679882,0.0037276283526189447,-0.03790914167275621,0.0485579889656431,0.007173330732272686,-0.023567514897861096,0.13331028418943053,0.10153462835217009,0.05782135079478281
NDP,0.01795182485528363,-0.04336482726526366,-0.012638359896019167,0.011251295565736636,-0.031132774486436126,0.01841942890414018,-0.00945097271908229,-0.003524942507658028,0.033819335291601235,-0.05525995615486398,0.019862994706609467,0.06344241945177968,0.03043986196496507,-0.03056271564945728,0.046546654971553136,0.017669345770423447,0.05966103026009209,0.00020767687969405193
TNFSF18,0.062089075031095106,0.012553095458058808,,,-0.0012010579785129523,-0.01964878230082041,-0.013506324708277803,,,,,-0.026700409127013675,,-0.03889658797482498,-0.0014010266893963994,-0.02366444097513375,-0.03881759710131006,
IL36G,,,,,,,,,,,0.0778858666725373,,,,,,,
RTN4,-0.016932072471360984,0.04447096017944768,0.011975439108148567,-0.0368015563145512,-0.01314568534501373,0.07783977979224252,0.01660795560071099,0.012412430872119646,0.008017072522768927,-0.035688492492677505,0.05472010045895442,0.057312576868951366,-0.048796045139972294,0.09977425619781415,-0.07611988278091551,-0.013912110157998751,0.0627418171688814,-0.01041200546896206
HEBP1,-0.010366690742163665,0.026138540498642074,0.0741546832426342,0.011522736897610256,-0.03273186031105683,-0.04511929197725644,0.024593618912950838,-0.000524997473481606,0.004266250518655043,-0.008019799059534625,-0.01719040042082505,0.07541160521030962,-0.019779478845283725,0.01699997083991277,0.10053637571782237,0.009620199768964211,0.0508310865539192,0.004238803025735285
WNT7B,0.024562001768264667,-0.018628560723132515,0.0046657755036873605,0.06604233434751276,0.024325514551211378,0.14140737422888036,-0.0063188444716859105,-0.020707852258092026,,0.03916220479923373,-0.015758315238811018,0.02043930588243452,0.06508977521036628,0.06067742124565133,-0.001391552421402096,0.05704445996283893,0.019639287696574845,-0.0456325122866476
PTMA,-0.028707791985428416,0.006233868526394918,-0.014637080029686207,0.022581375972880395,0.02260627718380349,0.05282177075841466,-0.08066366381144685,0.027567044342611365,0.034825733341820285,0.11159184136302468,0.00583765781137827,-0.04441134945861448,-0.058837253132961724,-0.0022406763808941778,0.05400134501753005,0.14690321462353545,0.01080780308122609,0.013530274673326011
FASLG,,,,,,,,,,,,,,,,-0.018160451484038498,,
CEACAM1,-0.017332503492795102,0.030647334635041303,-0.0024967641558388846,0.008246218807319973,,-0.025856678396918756,-0.021242231099855034,,,,,,-0.0009630690371383488,-0.0558903360610754,,0.04142594315901327,,
PDAP1,0.08280224816793057,0.0039011106283096055,-0.036406481877375246,-0.07215421021939458,-0.009803807581006217,-0.08182015695717075,0.02209987542953404,0.03625399438238368,0.034247718988499064,0.0734119620484439,-0.012572148692450161,0.017843663276986308,0.015125225363625764,-0.03130280040465163,0.08457400151581837,-0.07622930643302075,-0.04174293262762967,-0.03475014229977389
QDPR,0.01649335976003081,-0.005704418439779068,-0.0005014149010283299,0.03421868705128742,-0.03637748514613686,0.10190813892014834,0.020654730161589443,0.02132031602204618,0.012816945641539257,0.06723196226696518,0.007195739001287584,-0.04963779815670695,-0.07614309564434181,0.03996613152876057,0.05122991628129868,-0.06478115130194696,0.07778489806275293,0.14379258405404596
POMC,-0.02464506675832435,-0.025402244093497957,0.08640828252331695,0.040447030411213336,0.06867181345532558,-0.00748071628165627,0.019239184951720945,-0.012731831015084535,-0.002363320560468286,-0.03524601221800715,0.037372664165335155,0.0552909423432014,0.05615889647674811,-0.025206303438360958,,-0.008716392947649707,0.05330056163403913,-0.04977260055775757
CCL18,-0.021629326714277378,,,,,,,,0.07500981232688282,0.08338572051378494,,,-0.01907059079836068,,,,,
CCL17,,,-0.015228933061595151,,,,0.04885254295152517,-0.025630516105579683,,,-0.013097505890958297,,,-0.004908944143492276,,-0.016460409495290762,,
VEGFD,0.00926844864332632,-0.004336037299246779,-0.01696671315743807,-0.033973344594516196,,-0.022166765307568868,0.0922925277657801,-0.01880029352418085,0.022118103358444097,-0.03402499501433992,-0.01403700273680069,,,0.01676782264034709,,,,
TNFSF13,-0.016322189202674527,,-0.01050457719230214,,-0.026866855668606,,,,,,,,,-0.03322174545228466,,-0.010742678776228032,-0.018323568032727045,
