,UKF243,UKF251,UKF259,UKF269,UKF275,UKF296,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,-0.013977900186898946,,,,-0.015471709170135134,
BMP1,-0.015782700179338242,0.0036548153271024446,-0.06366909771920777,0.042342377445689444,0.05815614758188784,0.05020476668474017,-0.0006065094713933267,-0.01480075271233186,0.007662003063261646
NDP,0.07500184031677214,-0.020172549249160943,-0.006485784724210436,-0.04572037332326491,0.020314629960748197,-0.055320387652879256,0.043030678621350155,0.09424337132683913,-0.025595658977624655
TNFSF18,-0.021274495327980245,-0.024921959522596175,,-0.020756762149482244,0.034944269344812595,,,-0.026098007312347786,-0.030906823697527595
RTN4,-0.02755407820283499,-0.05173748708017725,0.006554787670140009,-0.028054152460997638,0.014827055328346496,0.05958968011696592,0.00384672906794536,0.010814405538541157,-0.029949733604772676
HEBP1,0.004949775862743402,-0.05093764360089483,0.022842265589958072,0.006360906330559744,0.0034076886472116596,-0.03147083089908506,0.053232833655867076,0.0018801110055585062,0.04946625317602072
WNT7B,-0.02606786091625086,0.025685059431439845,0.05151178365043719,-0.00904444103914425,0.0008060125739590924,-0.011083477957710586,-0.03269647243008619,0.032005905926921624,-0.0036152400697916703
PTMA,-0.016687664259965696,0.05098948689118259,0.014857185966078275,0.003211229790952751,-0.02605935731836414,0.002196332498216322,-0.01752394571542714,-0.10501547089744714,-0.033314586032885424
FASLG,,,,,,,,-0.01341860808500835,
CEACAM1,,-0.011880543527273912,0.009728012896475876,-0.012630466455982939,-0.0185814278399185,,0.16545898278761756,-0.018670022315496897,
PDAP1,-0.06832723967763665,-0.006503588781105744,0.032604920905629095,0.00239879138914896,0.031299606480652845,0.02463275925072327,-0.053955872745355876,-0.00291812854820989,0.03245332165575997
QDPR,-0.015056950040653468,-0.016670980555371515,-0.00921989566314284,-0.03737570865839063,0.03857106938302322,0.005212176831464448,0.03615514078992696,0.014884780575490104,-0.03334168540656494
POMC,0.019872438158105802,-0.021109830395190803,0.026987880919650355,0.021073434941205855,-0.01370863658269601,-0.029810158004531347,-0.015487738150504304,-0.020520532259654375,0.09102212176566707
CCL18,-0.028530847513745454,,,,,,0.04937606082665386,,
CCL17,,,0.006332024595085484,,-0.014735008639451493,-0.013718238702902195,-0.022865917017416776,0.0558137392028483,
VEGFD,0.04461715839677708,0.021660027844677104,-0.023937331343969262,-0.023416732297623873,-0.015698905401157773,-0.010062493989077093,-0.01583991866732936,,
TNFSF13,,,-0.014820286200819295,,,,-0.0078062380818910366,-0.019817715131560575,0.02446149804030988
WNT5A,-0.0362196255011982,-0.02360539498042296,-0.024412732871795798,0.01775251848079788,-0.0028948652645925405,-0.024203575723170927,-0.014262672603823833,0.015071141755418994,0.03215032960320954
CXCL8,-0.02251047000403929,-0.015933237334002134,-0.01108029745667395,-0.0010830503640770193,-0.017940149263870126,-0.009370631934413098,-0.0843973052068025,0.0012516736885902246,0.020838578269700925
GRN,-0.03183141262436755,0.012650253238706994,0.02841561171162803,0.04914826384984498,0.07761918935420076,0.01611166095797286,0.008483653607522797,-0.06722499329146069,-0.05274525619946686
MIA,0.01067382895197783,-0.015133280656491206,0.08006687646268777,0.03169328456174986,-0.02896185439419171,-0.011443967771072998,0.11160601357185075,0.057094644212907414,0.01403516772334735
COL4A4,0.003994290632035874,-0.025449670669018872,-0.051783198220019214,-0.013774183122211394,-0.015383804901179165,-0.019224955746836747,0.006195933861006948,-0.03571732469095579,0.017003038210097545
TAC1,-0.040528984198743345,0.0025019887660513653,-0.0059733536112340085,-0.045623787261749336,0.025637459985414054,-9.077971668486973e-05,,-0.015988791789355493,-0.06414820924869882
RARRES2,0.011854375097552387,0.06538458712545026,-0.01279839803518716,0.013444387423513027,0.005347433888215413,-0.00936759642501373,-0.07095902183615276,0.0594998009211156,0.06101454906715655
FGF7,0.0022029911223888448,-0.019206261111480636,-0.02327490505984488,4.625691548323701e-05,0.05478226926230285,0.0013978866000932243,-0.04244137328880474,0.1148150346178627,0.09028716684381247
EFNA2,,,,,,,0.09530656910853076,,
HBEGF,-0.08785021996719787,0.08848584092800789,0.036616894643935124,-0.002652395922160939,-0.014652825715254576,-0.0019144737649657297,-0.016546294410226207,-0.07062480137841606,0.06034007884095206
CSF3,-0.03236045905345001,,0.008392806344125406,-0.014572820623196427,,,-0.07114386080044713,-0.012805195211014418,0.02790255526205209
PI3,-0.03833578937228631,,0.01806822731824884,-0.016409188362132364,,,-0.09018841055565724,-0.013208629978033338,0.07777301347120352
PCSK1N,-0.03220728936019053,-0.017699399860095714,-0.015495224909696495,-0.006957806584057153,0.019116062178027107,-0.005986020539957237,0.048866414137258896,0.04756781489398777,-0.02399735826159138
NTS,,,,-0.0179117495303901,-0.01757420884683956,0.03311454643917256,0.027259072146092956,-0.018962747975503232,
SFRP1,-0.04996498768656386,0.005728297081154995,0.012077986570426615,-0.0344779592008547,-0.013389187853565758,-0.013718238841056125,0.017701710591836412,-0.018522101753572377,-0.006842261531355403
CXCL13,,0.016007379593884992,,,,,0.016763914344248298,,-0.032062309082677355
MICA,0.08113167094096452,0.013781786668525031,-0.012252186348589302,0.026279568579469663,0.03038471621534009,-0.016506372482659452,0.005240474421174958,0.03703399135349289,0.008830838518899705
TG,-0.025796450976130366,-0.016155145454034656,-0.02023100121757729,0.02756676673176626,-0.014844963580046078,-0.009927829776177078,-0.022589433939013935,0.11189900920647196,-0.035332830529605105
ADA,-0.038148736728005755,0.028646599350210595,-0.03769596043998157,-0.0028955389555164013,0.024447653592508528,-0.016123593953113576,0.05684990328551398,-0.05618835375911185,0.05404522073736065
LAMC3,-0.0030258272022421493,-0.028728173627035787,-0.012872383978657604,0.0914905101883781,0.016582950179715325,-0.04130031356833529,0.049706748164283485,-0.0787511632592555,0.003569215951657867
CCL7,,,-0.014626981556644846,,,,,-0.013418603313511482,0.02966291927309222
NGF,-0.018643780355232363,,0.011947622852238828,,,,-0.014852421030605424,0.028198821254000108,0.0023962498358446865
TNFSF15,0.07500858213539531,,0.038239825980230964,,,,,0.012800466367607075,0.0044292039401914
HMGB1,0.03196667910190615,0.03880557497037757,-0.009888837801971993,0.01131737172312241,0.021432620221596203,-0.02610730049676361,-0.001427711357342162,0.008048265422297094,0.05759650374018894
ITGB3BP,-0.028606569613050116,0.04271172839444905,0.0018664554136103779,0.019841705950973988,-0.0016660872029239727,-0.011087591170448649,-0.018472222591002837,0.026940712349067038,0.00834828141260414
AANAT,0.16550642825547604,,-0.014820287782560232,-0.013145078570637292,-0.013350162501772634,0.013608410298046943,0.05894308692062136,0.01535489401031709,-0.02413554610333163
RELN,-0.0321459093311815,-0.03791082545198886,0.009484201801757632,0.005397028883899013,0.012378036087752549,0.04964644897202791,,,-0.03752049348926688
IL15,-0.014795370540194197,-0.004398538358166325,-0.01795081405432725,-0.009158442901808376,0.015277497675317593,-0.024596838520652187,0.029833568357367925,0.0312527521628108,0.08589305439766834
UTS2,,,,0.02550440327430103,,,,,
BSG,0.03880742007950191,0.03364464468770053,0.03401026627788572,0.04264699236986347,-0.009427611587276168,-0.054008376225751935,0.011481337208913839,0.022517865315367834,0.015043373971029936
ADAMTS3,0.057430759801036506,-0.01562371361680725,-0.010600066750881104,0.03662204539004877,0.024331391789507835,-0.010122409402528024,0.08212130058894067,0.013828926657706693,0.031623085743110256
CD34,-0.07354361993003802,0.0002940780867312155,-0.011207848090353804,-0.0003972457331414717,0.006092048454670611,-0.007962936249175158,0.053263854033480496,-0.05462892404198552,-0.021171616291906344
CCL23,,,,0.010062118549840432,,,,,
PLAT,0.06908531750270011,0.015903009726229336,0.008916324012855047,0.05847211329728698,0.030025544000680682,0.014827496818002247,0.057950608211038715,-0.010511962524147099,0.015591907743299674
NTF3,,,,,,0.0893944961212292,0.07286896236406853,,
LTA,,-0.01188054474643048,-0.003473647657294108,,-0.012857597793728696,,,-0.01910761717901389,
