,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.03626864153238617,,,,,,,,,,,0.000887720300358368,,,-0.00405849854550248,,
BMP1,0.05112024199413805,-0.014993417849257515,-0.04857155084109946,-0.01354059240280653,-0.187515921922967,-0.022634938446130296,0.010311873618589842,0.029549146237809652,0.04872142070639554,-0.06761742892578443,0.020324356221093926,0.017141707488108514,0.06931128451079344,0.039649669108011466,-0.02535867267804292,-0.010699532609263773,0.03585873356695127,0.01989412204239816,0.12850393835323015,-0.041064162438302985,0.11817791253101848
NDP,0.011938736216745781,-0.012201779059969449,0.0717032852342968,0.03615219214056585,0.007279521037339631,0.007711529971906536,0.026109099367550865,0.02363769915085533,0.07793064567389991,-0.011071294962518676,-0.0017505322554264107,-0.08670001019503679,0.0034083585150524115,-0.012674583827236723,0.019499463925964647,-0.0018764314543324708,-0.020700917857522087,-0.01862634750439335,-0.0526705892419443,0.05673629197763782,0.12739139312804953
TNFSF18,-0.008280225229648988,-0.013665170474702134,,-0.0019742459062927816,-0.05385784386113785,-0.02375156298155607,,,,,-0.03128372548656141,,,,,-0.050979435994940946,,0.048734569739851415,0.02686633387372413,-0.009693537418402566,
IL36G,,,,,,,,,,-0.027987497231775196,,,,,,,,,,,
RTN4,0.027061634124765758,-0.012873851973177718,0.10169741214101137,0.08053097885313287,0.15292210540548082,0.0095855792674277,0.0010571237386212905,0.07224663881023086,-0.07985322618759202,0.06241194054747383,-0.006674010423609458,-0.053317058733002,0.06310360115867601,-0.061890663316503614,0.0027319886721858854,0.004843676971125195,-0.038978004101548856,0.042999039463912134,-0.05736898594712928,0.09912350753978497,0.028756569189109366
HEBP1,0.03577146563129029,0.06082974244213369,-0.05177692062638339,0.03370545779923125,-0.09231219144720992,0.027469668077675508,0.033316564347897815,0.033051902547340826,-0.0016838382593493387,0.04953208847377679,0.08060770420436564,0.09328310960794364,0.009890895032877592,0.030805566625848928,0.0399621038568748,-0.01711693575626494,-0.0015037998593938498,0.028018806546598947,0.035763583331611976,0.0582234868413727,0.09120286339547937
WNT7B,0.030407031502001247,-0.020997613912366223,0.11961227592136411,0.009240422159821286,-0.0021902817658439903,-0.016198486354003845,0.046405223005608155,,0.03464594181697466,0.028177931772975135,0.009157683521348946,-0.015219577710332118,0.04894476943932072,-0.0020316146122478546,0.012969942557519385,0.007435385908852923,0.004252938744238866,0.004171882622755782,-0.06706776050952885,-0.02062283763313659,-0.008658393417078197
PTMA,0.04020694410185545,-0.013497383368466299,-0.06930235707834521,-0.04039901548265881,0.16822834781243082,0.05635618551922512,-0.0001296241935045204,0.026474558379759375,0.0859100740159323,-0.07374134190497694,0.06006418890649474,0.10881140657269302,-0.06699461506221169,-0.039376086353105966,-0.0591394639701761,0.06262399652525702,0.02000896180820288,0.013993729464361587,0.16062662995336038,0.007545562121053327,0.020059023271678657
FASLG,,,,,,,,,,,,,,,,,,,-0.02725235091303817,,
