,UKF243,UKF248,UKF251,UKF259,UKF269,UKF275,UKF296,UKF313
IGFL3,,,,,-0.015533293776251102,,,
BMP1,0.036188095765364366,-0.006509948075176165,-0.0017335218445520353,-0.05998585038619256,0.0942270178265116,0.03787727389304421,-0.004288941165116066,0.04601388904273523
NDP,-0.10090578530474667,0.04532773917449047,0.03736386487193648,-0.03492372529496495,0.01075755124396737,0.009775472000727793,-0.035495739500559044,0.06358267549399318
TNFSF18,-0.01898584984573766,-0.024102608175771503,-0.02357061967738762,,-0.02306647493547508,0.1418051458943207,,
RTN4,0.026732645264947685,0.027333343161062965,0.03658941994405814,-0.01579231161417898,-0.12571851677828155,-0.06677726580662122,-0.07923259090779218,0.03220880950970915
HEBP1,0.11678844077053573,0.008287365859893507,0.010680008028279018,0.005491803024437063,0.056381956761155254,0.014246625429875093,0.014605665474382796,0.022838895510395432
WNT7B,-0.044313184589845483,0.0074411579236030615,-0.020649633048164487,0.05072977533348303,-0.04047915364913432,0.018182009411016026,-0.012031756121495546,0.04577963238967021
PTMA,0.1022755372558606,-0.0460338973280772,0.035729839002608,0.018764098618655824,-0.0736740014176469,-0.013027545738180274,0.01590694910482274,0.026380881005069787
CEACAM1,,0.051246249827495274,0.06483711618058217,-0.00340427306208392,0.07674422877956225,-0.017604931019294633,,
PDAP1,-0.016853278220813395,0.01545283126955755,0.04195954802473157,-0.000692313862641489,0.00805957580673719,0.018503550359356195,-0.0015771633984183625,0.04925972753457206
QDPR,-0.06816505090877166,0.023737219546573814,0.00035013482948340296,0.028133549280589604,-0.07004978711400146,-0.03920648256022732,-0.025339397796200487,0.022619643591004338
POMC,-0.03584845299432285,-0.015625507139389164,0.03038724076731615,-0.0086495617091622,0.003034781739333409,0.03299831015709282,-0.032360650007360714,-0.022929648879167968
CCL18,-0.0017405845339580595,-0.019143681198416397,,,,,,0.0015080380524545628
CCL17,,,,-0.021643796958187102,,-0.022056065953535608,0.06090898457249886,
VEGFD,-0.02868776509560614,0.05248051097995372,-0.02269815139728934,-0.01171889452484212,0.00368850484053845,-0.023498872745767292,-0.010923418994699629,-0.01549219767834971
TNFSF13,,-0.014446440736871303,,-0.0149294067392779,,,,
WNT5A,-0.044384310567906336,0.009061190258725708,0.017811493765940434,0.03267270466120569,0.006222922453935214,0.029183542443433796,0.05470037053228228,-0.03630903954815829
CXCL8,0.13156491723501235,-0.029920867057210334,0.009500678231284481,0.04676555852813603,0.08973049664836759,0.024881214266161814,-0.01017236273391256,0.02946767908538252
GRN,0.025457532781001893,-0.031207890195237384,0.03577425782946567,-0.019767788422553775,0.10157753399272189,-0.022412383475629228,-0.00629378204909454,-0.00971450736175504
MIA,0.0028178362058855324,0.04179779817643422,-0.020186148506934204,-0.02523408102438128,-0.02692755398029986,0.10627397573525851,0.033860857042745975,0.05113992326017951
COL4A4,-0.02887924218514013,-0.022991405581367873,-0.03394708941428539,-0.011495071937515422,-0.01530690805516882,0.04957232295384526,-0.020869800966362335,
TAC1,0.013779896366938932,0.01322115007192017,-0.012067384733419057,0.020789953925312195,-0.07441317672315677,-0.04012712310217667,-0.033754308835842135,
RARRES2,0.018243585099324902,0.04298405897983312,0.026723649846358638,0.03320579860460268,0.09625938093395753,-0.040117685147708575,0.0066232710384294124,0.01146956907141416
FGF7,-0.04282308730832753,,0.038934837016295326,-0.023187785883227726,0.0006921449385657744,-0.040513978786079576,-0.005250507901938427,0.012447465769591817
HBEGF,0.02411201554153171,-0.0011430389629971483,0.03633215203519075,-0.0050159745142364836,0.11044318141020025,0.05804185765631967,0.04517042883265499,0.06646158009232266
CSF3,0.11023723853105809,,,0.019719030974874846,0.1044522880086007,,,-0.02327433507577657
PI3,0.08744531528245256,-0.020139959751915265,,0.10259978345556299,0.11140887572406515,,,
PCSK1N,-0.12355757542975306,0.003911962229464672,-0.06921259624954132,-0.029807750996232615,-0.027179628624371437,0.0236826593740752,-0.02883995702194066,0.04154061732078264
NTS,,,,,-0.01990488297827109,0.026857292462600935,0.004632823119864131,
SFRP1,0.0061171502266080405,-0.0070507157227961085,-0.02655754855590238,-0.018885049456482495,-0.011807818620355275,0.02806096148337699,0.06340471058418089,0.0476149669937315
CXCL13,,,-0.038320255214342416,,,,,0.04235158103585938
MICA,-0.05183256300967483,-0.04087317217803791,-0.026096028131075436,0.11919857331278721,0.006373371181650779,0.04549818163362728,-0.006704294580002013,0.04005476259133481
TG,0.0020319551029992834,0.06155908845973688,0.0680343364514424,-0.006146026652264335,0.019415227995001318,-0.022220651769602123,-0.010777233205898653,0.018167209159826676
ADA,0.09539180854967784,-0.05622817319159318,0.0009675171418159342,0.004251587572903762,0.10255674251715623,-0.03091382421735518,-0.017503093432050698,0.024837470443778403
LAMC3,0.024371803153378554,-0.0021987999118518466,-0.038320255358483046,-0.05639610733862285,0.07494314472445283,0.032884373802099964,-0.0023825857655489125,-0.020755971771462968
CCL7,,-0.012176998457598636,,0.0634692310529845,,,,
NGF,0.25951606680358796,0.0944023929702909,,0.02934310875431386,,,,0.04087673848857189
TNFSF15,-0.02058345466967336,,,-0.016407785517771032,,,,-0.014821554048332984
HMGB1,0.006503606173667078,-0.01883588951643528,-0.05778084099070335,-0.05116135687011315,0.031095400015758428,-0.07817811749553905,0.008925138679783723,0.003272403882162552
ITGB3BP,-0.0433348915126567,0.04587781925562426,0.0061008650498656026,-0.0013817065206661872,0.06327585933071835,0.004887336726308636,0.04158972173060351,0.041763316200749634
AANAT,-0.029821233674618967,-0.017666972161004865,,-0.014929408332665066,-0.014607799771026374,-0.019983161994296332,-0.012423089346854576,
RELN,-0.028687750205468748,0.0082442762223824,0.007572193976713765,-0.025914109498535818,-0.007203278153860532,0.0138810526149814,-0.0005741340252873087,
IL15,-0.029259025513400972,-0.027992213413123565,0.05772526653212306,0.040102535027506894,-0.028066067138632144,0.0009013836065232654,0.1350074979710696,0.009382027989585803
UTS2,,,,,0.0719775768718737,,,
