,UKF266,UKF275,ZH1007nec,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,-0.01929670137138974,,0.0032222438280807733
BMP1,0.049112412330641675,0.03896188184529607,0.08065590990405051,0.020710771604597195,-0.06844420015634492,0.04639671483243108
NDP,0.052986474273949126,0.010641333934061494,0.09966248727585782,0.08426563851639494,0.009200545882487081,0.04668936360733355
TNFSF18,-0.011833030438194465,-0.01433915972666538,,-0.019900347517532887,,-0.03206677866897881
RTN4,0.023543385908420415,-0.044650401309006646,-0.05548382897674809,-0.017803439182990637,0.016185068323244105,0.01001742454389216
HEBP1,0.00041810218494005286,-0.01317959526036781,-0.08722475775904735,-0.024223789969843607,0.03771478681561953,0.015983525644079854
WNT7B,0.01626010193179205,-0.0066212162117981884,-0.0727720867134823,0.02094188167679608,0.007452617772528057,-0.04057563141939855
PTMA,0.035346977957001376,0.007744829346872822,-0.10514179885924989,-0.07440734362451366,-0.02419184957815852,-0.03895598262931849
FASLG,,,,,,-0.016487524520852895
CEACAM1,,-0.022552082174129753,0.004627443439270097,0.0405787243610414,0.07646659505283397,0.031210467579761873
PDAP1,0.06295819759284674,0.013628623356354105,-0.03823411176362692,0.025426693341977714,0.021052491581475624,0.014237909735945228
QDPR,0.005336318623889459,-0.051661971862536675,0.005227743405092878,-0.06556204065731473,-0.01778650637278346,0.05568144245003178
POMC,0.06351070981285885,-0.016638027032781447,-0.013471477599530735,0.07379069259175802,0.0025818562177561642,0.05823648496719581
CCL18,,,-0.05622870948512355,,-0.025059434747349865,
CCL17,,-0.017883723927799054,,0.05194017193402692,,-0.014944089105682002
VEGFD,,-0.019053595218888872,-0.06334792655694955,-0.026833020790252016,,
TNFSF13,0.051943040860605603,,,-0.009160293100891326,-0.018006203423346124,-0.0067472904672645296
WNT5A,0.009875026675124838,-0.0072472750789678644,-0.012050054132965528,0.0679019348182012,0.025200834790762766,0.05628861472433986
CXCL8,-0.016323255473916918,0.05449716188373536,-0.14823170435371702,0.02002824497008322,-0.04076235205027522,-0.01670689851306414
GRN,-0.0037048342719905258,-0.00576595737350513,-0.1838710177005734,0.06989403036208046,0.0517746126302159,-0.021195848435716893
MIA,-0.020750045588837772,0.014032390885791512,-0.02101812188346742,0.04331025913528416,-0.0256456057814448,0.011168646772954743
COL4A4,-0.010918498825891867,-0.018671161079281965,,0.056034737873665974,-0.03231601898440551,-0.0043884538088287675
TAC1,0.018575670096539963,-0.04373167871244457,,,0.0007912482730660456,-0.01964552470835846
RARRES2,-0.04078964008256215,-0.04172592468042807,0.010183794408491225,-0.021544860388723625,-0.026884453247676146,-0.014199881112478517
FGF7,0.10872229727776435,0.007826792152521873,0.04894155085079346,0.007730982351329495,0.021779240395040447,-0.0025719099337918818
HBEGF,-0.04296014190837811,0.10274036246051009,-0.10168182073436831,0.026589771042246017,0.02262202897846513,0.014900073311244528
CSF3,,,,,-0.006390257396038377,-0.01573382043043527
PI3,,,0.007015120058060646,0.16339424014668663,-0.016347256028392262,-0.03418436474592724
PCSK1N,0.017968822883193767,0.020194695480275648,-0.11844885843147714,-0.024143881967652752,0.018612986223786508,0.03500009028630457
NTS,-0.013329006294191878,-0.021329631149647022,,,0.11246741227167303,-0.005487217972406955
SFRP1,-0.030902701580450123,0.02992251174829421,0.10363001286900242,-0.018408983983628002,0.02017180066307229,-0.022758217909422382
CXCL13,,,,,-0.005486271445487823,
MICA,0.02775687060036549,0.0036834457830294846,0.08964081975054865,0.09490127775421696,0.03699944987330597,0.008446599830627463
TG,-0.015385186966497476,0.01292619089333107,-0.061278762395293354,,-0.01891974765242765,0.09523692785456933
ADA,0.10740915316413692,0.014999926179159963,0.1522607877190868,0.042676706178791546,-0.007819230887980096,-8.58130182503398e-05
LAMC3,0.08907481194094517,0.018051495821499983,-0.017695214842557226,0.00035419092022863125,-0.03416501048517732,0.029961043038795182
CCL7,,,,,,0.05882870267198274
NGF,-0.014681594935096604,,,,-0.019873722321463182,0.04431896580185066
TNFSF15,0.12889458202328516,,,,-0.014275357371488101,-0.0017969031713618664
HMGB1,0.07875174077406905,-0.0007625842204713276,-0.022823403325644642,-0.04063722080675512,-0.024599076673827172,-0.034657944959131506
ITGB3BP,0.028959663812767714,-0.04126505123695074,-0.004108617923669688,0.0693854839468814,0.021224634148211373,-0.010028769919089152
AANAT,,-0.01620295083734979,-0.043048223666293906,0.04717327310374437,,-0.017444482305696053
