,UKF260,UKF269,UKF275,UKF296,UKF304,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,-0.019246210930093523,,,,,,-0.01611380433815359,-0.029963140928850558,
BMP1,0.01979301531768313,0.12469922497414972,0.005439197271577656,0.019248390883733337,0.01935572706000845,-0.04642157450917645,0.05664690174422928,0.029681680379539246,-0.0019516417593571428,-0.08493367983506826
NDP,0.08212809769723065,0.010584751493109583,0.02969926564049451,0.09728271161991446,0.004612412254306057,-0.02744416026035496,0.011313915313187048,0.022466521991600118,0.10863074810259474,0.10377304908880249
TNFSF18,,0.051629386622221274,-0.02426447267026542,,,-0.0772025923743703,,0.10781286251090554,0.010930386941045535,0.011408093411152795
RTN4,0.030169905351881552,-0.12515489250568498,0.024899013688867738,-0.1501375598749981,-0.0979905272763898,-0.05025266433276144,0.0689169391781143,-0.04250307652584707,-0.059718468375600894,-0.010621013866807881
HEBP1,-0.008107807820242691,0.10566020026325407,0.031697792005500235,0.016939140562898688,0.03414822987695381,-0.04680215119732518,-0.037463912525430736,-0.06368933480585107,0.05213932541104054,-0.016865349334145154
WNT7B,-0.0359373284437275,-0.020444628026000673,0.012546865195189308,-0.1041182443398438,,,-0.03653401150676978,-0.0031788763432625683,-0.05033839651203796,0.06977033757829644
PTMA,0.014305748795612604,-0.07283496622911775,0.062287892903160426,0.0681273282170854,0.18430998135799972,-0.04459733852506159,-0.05960312582523927,-0.06369891738624085,-0.049723331031241,-0.03498696143119752
FASLG,,,,,,,,,0.02341831382318815,
CEACAM1,0.024904656038586243,0.04853756990832949,0.008822194188262402,,,0.024401128088845717,0.07923118469052179,0.018906944747645062,-0.012513563603344224,
PDAP1,-0.03260573430018908,0.07383457589570346,0.0599710830968307,0.07223511044713861,0.0041288034570778195,0.13083330345244248,-0.029269109573471522,-0.04589744430437568,0.05847918374810931,-0.04669908145127887
QDPR,-0.039184901710367655,-0.05916920889413023,0.023502780380721698,-0.01264899691822087,0.0650897726962108,0.00869622513910233,-0.027928897106919606,-0.09840349205976247,0.06971974241961149,0.04499897378839552
POMC,-0.03822443274010569,0.001175428259322407,-0.02815457529727563,0.05941354230187849,0.00930182125231149,0.051243356873658344,0.014934675050307222,-0.005928816648195378,0.0258400685289369,0.007876014299713076
CCL18,,,,,0.08683486386670114,,-0.023230417964902692,,,
CCL17,,,0.008723539221448707,0.049660171765201724,,,,-0.02124512020564015,0.06270539142861112,
VEGFD,0.044867365275542685,-0.03224256598398192,-0.03224215709092629,0.007019769557832253,0.022412178482477126,-0.004173158937972953,,-0.022407044525070995,,
TNFSF13,,,,,,,,0.020949409183194143,-0.0162073085485802,-0.036391863742535994
WNT5A,-0.06889144642927729,0.08958500597476915,-0.017786754003094526,0.10062331841021792,0.025761969786835405,0.03743727444168037,0.004785196916577382,-0.05093097631760178,0.02121406591503769,-0.024609082827948405
CXCL8,-0.05881908220616184,0.0236895600074479,0.01204347304757045,0.03524601717490888,0.07182988930215943,-0.019395636422568988,-0.04090080829932473,0.0063479960401540015,-0.017109270161378688,-0.10829187383528328
GRN,0.10922251315553624,0.10519898714586108,-0.044200111562133534,0.011668942406186917,0.05737597746218971,0.06001595328682193,0.03434931877330917,0.026600035482329205,-0.05232434355588088,-0.08574826372874284
MIA,0.004036437983898821,-0.023604497955215423,0.009958315641136462,0.003790266940123747,,0.012306502075962632,-0.03252303755701352,0.07012491769973153,0.12517504543816735,-0.04872586859841473
COL4A4,-0.009506604086480665,0.06048989481960528,-0.012596272662232259,-0.005309768607775331,,0.02578494986046168,-0.0043369995303493055,0.0347809784532672,-0.03536907903983744,0.0021230141400108314
TAC1,-0.07441609233493278,-0.08133911086747167,0.04092075811124385,-0.04458868256814073,-0.023629372200868273,,,,-0.01662041914007541,0.034710033427332844
RARRES2,0.08935991687837926,0.09056048550826641,0.07093320951234569,0.027706604384440402,-0.016625723828820566,0.04064682243307175,-0.08037798734000405,-0.03223931217788577,0.0386880760589808,0.02583662340284494
FGF7,-0.004276692846391443,-0.031880499508937905,0.03682996844999073,0.012678473361184099,0.007689919423791753,0.01520270743321237,0.06817848350658567,-0.04309911945471304,0.058455794504750726,0.00894735655033259
HBEGF,0.050218006456564386,0.03814923679308082,-0.024970120634661933,0.04380869051681364,0.07884368187835247,0.10016164161214236,0.025402243781392775,0.01784764579227396,-0.022594828415126614,-0.07493702413028928
CSF3,-0.05913089518940537,0.07857343382145617,,,,,,,-0.024799061597518126,-0.06525815087422877
PI3,-0.006477489475268299,0.012354255248941176,,,,,,-0.018051194615515683,-0.05388012217086325,-0.08355128232913984
PCSK1N,-0.09477962793748608,-0.027984601861479826,-0.04805305456881551,-0.11429841221636682,-0.07014130710409386,0.006248492289799173,0.0006346593054422869,0.0060606695715173745,0.11906699581244219,0.01948706564947205
