,MGH258,UKF255,UKF260,UKF296,UKF313,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,-0.01636014228227594,,-0.001793789256125904,
BMP1,-0.024185134583245567,0.020477679684066764,-0.01708647822852169,-0.02374919748604772,0.028645974986885113,0.09745209862378934,0.06594797124200415,0.03251518015268283,-0.008300749409800492,0.0011889157181722814,0.020384715182653414,0.06028315029686546,0.14501120844724474,0.06084501652126167
NDP,0.007269970698598882,0.037925071334331616,-0.040459222611301755,0.009386552538422323,-0.03077932656865232,0.013446843785621842,0.030893222284363787,0.061395037657868974,-0.011089588335560088,0.03615108180812175,0.07462946359208185,-0.060144871169409864,0.02743795232856063,0.0016130343805813166
TNFSF18,-0.027281039216572423,,,,,0.15997746166746965,-0.002919637965425625,,,,-0.01687192596224166,,-0.048162008117129604,-0.03256830611909216
RTN4,-0.023406384488483086,-0.04142488760599367,-0.05275633706291051,0.014617086338463927,0.0332464353416757,-0.023854332316564076,-0.11428141524126895,-0.12877139264250745,0.025493613808268523,-0.06371431728240244,-0.052947295922152554,-0.03421376376487528,-0.027844936186327326,0.007050089154327405
HEBP1,-0.034644170650384325,-0.050609591006824675,0.04433991644357926,-0.026617255640167214,0.0004071333560978061,0.08450892314729937,0.009854452885951442,0.044829884803302356,0.027461808687694107,0.035191237938861836,0.0056999806825511375,0.029640940386744998,0.02370728062181799,0.03977600137970657
WNT7B,-0.024033741083891114,-0.030606248088241975,0.12120703743654349,0.0516170190277968,0.015295110887017271,-0.02698067539563431,,-0.042782162033770284,-0.03673614857804061,-0.020225520011674995,-0.035280562090342416,0.04971994389201801,-0.003980231914025508,-0.018459936520754342
PTMA,-0.061913958101859956,0.060562387350411584,0.03440597414883004,0.009536536617906247,-0.047638935337197486,0.10992887148623108,-0.04109368645154558,-0.1121491592022319,-0.0337632243400975,-0.038269523617548845,-0.08756721476791461,0.05614221827617327,0.046325827068796316,0.07503660914222877
FASLG,-0.02403374787816815,,,,,,,,,,,,-0.015407890216163726,
CEACAM1,-0.033371069264680336,,-0.013436803637733042,,,,-0.07331358496962116,-0.06839451632506018,-0.020585075943705504,0.0017557904685528024,0.017638644811641874,0.05254511457909195,0.02616797579196115,
PDAP1,0.01978947238286363,-0.05194674574651426,-0.044308542415235595,0.002929338632459366,0.02149702460043768,0.05437723050875694,-0.004598120455841288,0.0045391345479949136,0.027052132325386197,-0.01185943143403858,-0.009199485006697296,0.0259087954764686,-0.05987292873581252,-0.06260776184681156
QDPR,-0.0828810494857911,0.06895353001495794,-0.00020809480455661984,-0.041234941163733,-0.009550849161730109,-0.08468825694685703,-0.014000082988329356,-0.052622417485317485,0.0032691229563156263,0.0280932084087567,-0.0683066030928206,0.015529447249239057,0.014492862302095465,0.03714205089145697
POMC,0.034549949490017384,,-0.02703802634875858,0.006348719626827054,0.01178298273791076,-0.020040285258446026,0.13727388627337536,0.010484304414944941,-0.0071839252217463685,0.06577375664429498,0.019390924070623292,0.1273348117276238,0.015899701132356392,-0.005609547722814617
CCL18,,,,,-0.042126898605339434,,,0.10277897921566632,-0.03767043646820888,0.12453367901585118,,0.01821360220557912,,
CCL17,,,,-0.01615820854988948,,,,,-0.014604115036376809,-0.02823734887315969,0.026417181727357127,,-0.008728136853230706,
VEGFD,,,-0.012855572953504344,-0.011852241379435942,-0.019649464785810155,,-0.036112739370402144,,,-0.019560873469066053,-0.02274958966005781,,,
TNFSF13,,,,,,,,,-0.01245805374267781,-0.03069303282088105,-0.023130931003616566,0.10370113260088565,0.033025720083174434,-0.02055770134866785
WNT5A,0.0014630766191494901,-0.08053823723559517,0.05923133347035049,0.007681178984387372,-0.030790716439755984,0.038893634884463464,0.00500665695092435,0.010357360297881087,0.009485251120278981,0.03735645139553906,0.04312792391181946,0.01250172762189182,0.07396681357767493,0.02798654181554893
CXCL8,,-0.03075046956409448,-0.058145685358044354,-0.011037322525118964,-0.04667035695659486,,0.1559586382714038,-0.01763049075066531,-0.030150709552022127,0.00214784017320249,-0.030624559721497455,-0.016991352391522375,-0.050529697750042755,0.032269416757867805
GRN,0.009619922060902165,-0.04096060064795707,-0.07286302108063644,-0.033084802294154496,-0.005234534467353166,0.006162643987167371,0.019012372914086872,0.04930865248096917,-0.004846206437792692,0.05390426867405367,0.0814447118624002,0.043070591273046965,0.10217937426208935,0.05336153568957742
MIA,0.02738495169940522,0.011747774323288203,-0.03900825032039967,-0.013479428510315354,0.04214917222968595,0.03470232645441385,-0.038907849845329225,-0.0062563011089825146,-0.030881783860277446,0.06834547683294809,0.1106015306141053,0.07606814683153992,0.03203054727942163,0.09339079322604586
COL4A4,-0.02783400853949868,0.003961687217046819,0.07404519570597232,-0.009654267772600394,,,-0.04678528329545634,-0.04832595726653724,0.05977240067881589,-0.004966526832268529,-0.002071400070046892,-0.024069010562772927,0.011565394264751058,-0.02711560885559473
TAC1,0.03493205594540124,0.07380484205875049,0.011683345947987181,0.003964011394877807,,,,,,,,-0.03600356457355626,0.033176313120277454,-0.021701598359605924
RARRES2,0.01835294595964913,0.036810693669512465,-0.023380268317109782,0.04560093949615793,-0.02778607876728532,0.0006475622834939243,-0.07750462548613406,0.09021007674250292,0.04352270232413524,0.06945649262056394,-0.00970000967730764,-0.018281116110457827,-0.0058489107053096645,-0.03887706264010615
FGF7,0.011656235832091424,-0.036908668300070176,-0.02461468344573556,-0.013518614276045999,0.05131875878890814,-0.02791025176627586,-0.035535921592341396,0.08667774690861423,0.07397194381951581,0.045403454497245026,0.04373822632308501,0.07850278517162505,0.014148548505843342,-0.003397179867594076
EFNA2,,,,,,,,,,-0.018591301158502455,,,,
