,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,0.003840008505340671,,,,,,,,,,,-0.01980242511978679,
BMP1,0.06869049019254259,0.0029897430292157826,-0.04926431894700204,0.06541518066756812,0.09093547582941283,0.056387451089955076,0.039868492106808935,-0.01817246760110337,0.06486530847731325,-0.012516298393646968,-0.01901317223239352,0.027038124217094988,-0.006837562689842907,-0.04192553052313845,0.0014960275314356444,-0.02371989181506041,-0.00957764717945209,0.09082453999170532
NDP,-0.025743150355533474,-0.025585628573613708,-0.00416103437798524,-0.015068317718504141,-0.021895583555597578,0.051564796957596984,-0.029404233881261444,0.02567581673881044,1.2381783824774155e-05,0.0650974970683899,0.046098440222421794,-0.03755449654275329,0.08642997800184286,0.0771258108877125,0.07906527843605088,-0.0317861020719489,0.054275834632403715,-0.014163552532890299
TNFSF18,-0.03528336891373846,0.0552254966578318,,,0.014344337125534514,0.00131326262725086,-0.015129094590365622,,,,-0.025257711380729422,,-0.04065912086420922,,,,0.019590797766686176,-0.02855811898429043
IL36G,,,,,,,,,,-0.01631018523474426,,,,,,,,
RTN4,-0.06564646497485464,-0.005661114324532009,-0.001006623454223298,-0.024739590133349438,-0.08129102994894713,-0.068196642978532,-0.004710082752919663,-0.02881523355246986,-0.012574127356121751,0.007276721727162224,0.032609832659348234,-0.05056424628505838,0.03107723634548738,-0.08569009196381525,0.03460092315683153,-0.04284027128522234,0.03544658476272686,-0.0732738647590394
HEBP1,-0.01659775337088932,-0.00892951745636021,0.03983080386606553,0.016792819455532397,0.026869554751506392,0.040429517913083975,-0.020678052525822405,0.02975177918751285,0.0015276092113734676,0.059699844369584504,0.048116290340329805,0.022216938489777856,-0.08582708068167683,-0.031585996683645416,-0.0008289829963338069,0.030794223915041427,0.11469222097266418,-0.014803217883909463
WNT7B,0.006321196749290163,0.048549138049976015,0.034768624544047645,-0.024788946732635,-0.024349195915085817,-0.004981287761724504,-0.01088432808726725,-0.012182918257957375,-0.0005389246634143727,-0.01792677318155626,0.08210560463040331,-0.0655967108778614,,0.035263307311634254,-0.00017940553230637324,0.005742590426048018,0.00035620053111982974,0.018705671510796027
PTMA,-0.0002434672063018089,-0.012556515201279247,0.05538262248206348,0.06699185054973279,0.0919927132649482,0.01782997226301255,0.036608226188435004,0.07151633987957613,0.057698988923541486,0.050362996871503,0.023587712475631368,0.00824076736143871,-0.040062211919449246,-0.09250954746252966,-0.01909564961303031,-0.011216112011517948,-0.062149012622646896,0.08866128297872042
FASLG,,,,,,,,,,,,,,,,,-0.017174636550696135,
CEACAM1,,0.042431300114151436,-0.02016208122127698,-0.020719400821195756,,0.055088358229297106,-0.0007191577022162323,,,,,-0.07167819911546575,0.07214212935615796,-0.035203577233101205,0.1002861673431681,-0.02318717350513201,0.048053202698610055,
PDAP1,0.03622328984378959,0.026751441219890735,0.002777781693312484,0.043940842285047216,0.03767182145378449,0.07599144373260856,0.003526315790923465,-0.008303665200280402,-0.025733799773827302,0.04087148081530071,-0.004505396623925113,0.0070855752792374944,0.0370711254886962,-0.016504238952407838,-0.031685220158842724,0.03142153547626196,0.011221390345176451,-0.02712852842835209
QDPR,-0.06781334663417894,-0.039142475259827565,-0.016705257322072016,0.0017906496947969047,-0.004296546962875157,-0.089032744137682,-0.013987085495407107,0.021688620520012313,0.014648940978226877,0.010335245556517927,0.004999918845173029,-0.0019628699768149504,-0.0518378710057725,-0.07055969622910509,-0.012956189938996842,0.050005130547939126,-0.02108811438813874,-0.0351709870933609
POMC,0.010259344641801095,0.009672010565346851,0.026928140311282534,-0.041692334013187664,-0.022931447807290933,-0.011350496620608405,0.04417199722464773,0.08514323230277936,0.03013653873654289,-0.034944746680181035,0.12845817092578,0.023086821877420092,-0.04856011942116193,-0.06318262279668532,0.13596246469043968,0.01020853327704989,0.026646372970847553,-0.0188439294249014
CCL18,0.004336182138305699,0.0007462981940965809,,,,,,,0.04103714216250064,,,-0.001847764304526959,,-0.024959915060600763,-0.043626909129054474,0.05239147439169046,,
CCL17,,,0.04870871195605101,,,,-0.018868926498427224,0.02226760881517168,,-0.014899817257940701,,,,,-0.01691332671815371,-0.033472140632284285,-0.015566878984573552,
VEGFD,0.023145791064608345,-0.012946938544713786,0.02416581594624948,-0.01982314961139955,,-0.030138578817205705,-0.020103245228313287,-0.011060656430035983,0.01454269628778496,0.06837443409823878,,0.0630305511090963,0.04918335624028912,,,0.09686010641122243,,
TNFSF13,,-0.0028078987993054886,-0.014710417996714057,,-0.012890037172917193,,,,,,,,,,0.02612354438326306,0.022676459250463965,0.009314466414500172,0.018213532928286418
WNT5A,0.019674468523717757,-0.016367448148090002,-0.07349858327241254,0.006844698533592755,0.06983855128465585,0.053189033384719746,-0.00785133017588502,-0.013264498528845333,0.051573792899833396,-0.0001605197797001983,0.04696378833015572,-0.06294818829160617,0.04425867084853599,0.03457639761715276,0.008360055447557536,-0.020852818779198902,0.007200706412179199,0.06415904097222412
