,UKF248,UKF260,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,0.10115831145424385,,-0.017104443254276236,
BMP1,-0.0006386882602530986,-0.012227694631570148,-0.012002504529021905,0.18352084683953018,0.08134602552397222,-0.017284190326868128,-0.005996282179451753,0.026019865239199334,-0.035738774519922786,0.030848575072711795,-0.014363444913553623,-0.05291865248472327,-0.031774073204056,-0.012380938844329835
NDP,0.04762458646487682,-0.02917615592345979,-0.028687879169537606,0.049234586840010794,0.044836705072116435,0.013062002828700313,0.033383895313963026,0.01681066618197743,0.005385869824232838,0.06096661847137847,-0.0026020870689653177,0.06550223991860836,0.01863534201277301,-0.06231949126357636
TNFSF18,0.042091734512091444,,-0.010336036015386987,,,,-0.027738275329328432,-0.0472347539622831,,,-0.0015673225063720555,,-0.014358142360838048,0.00807963802495807
IL36G,,,,,,-0.015082913624073224,,,,,,,,
RTN4,-0.009403689569991882,0.004313481241728498,-0.02797073667269041,-0.06913532265769053,-0.10430712915723116,0.06977769118306669,-0.015455524971714487,0.020130709658418577,-0.011535939948285686,-0.07158143664711614,-0.009435186141477368,0.0762604036728361,-0.052181034321062095,-0.000724381458084433
HEBP1,0.005726145789164778,-0.016629352712618,0.0240860043443513,0.12474656790698298,0.0171994460891472,0.09010366365148427,-0.08597440353647888,-0.0286913897815517,0.026358558366976186,0.09034384766289835,-0.013964921896702877,0.03554720267437651,0.025720373929610404,-0.03010081464809663
WNT7B,0.04248283170696808,-0.027369959306277707,0.016681098985719654,,0.0548886357948033,0.02421752133881601,-0.03053713373185818,,-0.017066693821252903,-0.03732251670979378,-0.05960433756882519,-0.021792634261209667,-0.03650799232130355,0.07130362417571098
PTMA,0.00726257835383134,-0.006017804356348017,-0.04770601221342567,0.19079860331589815,0.16562255932678552,-0.05633188779981706,-0.03995812800134118,-0.054840998201682464,0.024558375646437557,-0.053080581289985516,0.03894969184600823,0.0008823479685626899,-0.04159241454203335,-0.039898325016309216
FASLG,,,,,,,,,,,,,-0.014834677799168645,
CEACAM1,-0.02112899402794051,-0.021182890228428515,-0.01625612225661287,,,,,0.023083796545663282,-0.01764416394209011,-0.018081021749587436,-0.03513740735657069,-0.0144640883047095,-0.0206402753399674,
PDAP1,0.0310620969430138,-0.006135115742544142,-0.01090576357119345,0.0354527442334284,0.06991161248779493,-0.0033668211755172035,-0.06122716860061265,-0.05808495732912627,-0.00014772944270302914,-0.057358207906374054,0.01646544717092409,-0.014454725372452354,-0.03439968815339163,0.04799484338547054
QDPR,0.062496976199219303,0.05786909101638969,0.018825298205594438,0.17193915332653553,0.06033821491249752,-0.04827455709856393,0.027702620823257865,-0.04647306196201067,-0.05513781857140358,0.008718737889123546,0.0647703374526483,0.045527335816070276,0.00733952858509435,0.008548586513277853
