,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.016803101969424625,,,,,,,,,-0.018656934888123602,,0.055725036536649446,
BMP1,0.011725387964244589,0.04171077605589823,0.15786188500041362,-0.0022460748352841897,-0.028208921180722442,-0.01224120004999567,0.09928171143876274,0.03460794330712385,-0.009839253727229248,-0.04697926366360228,0.046961302065049684,0.12023131315214436,0.1720192471298652,0.02069420788566183,0.0014945898847073967,0.018317447494676474,0.02982118002011039,0.19897695486577952,0.08704186410463227
NDP,-0.0012661897828802858,-0.035714290268235034,-0.008560371570792164,0.06916342333898196,-0.0353559663456299,-0.04841227858925343,-0.020096466091581378,0.0150551651230223,0.019836528760336352,-0.03602971515763756,0.017398080925799357,0.13217090764305442,-0.061379504940914965,0.018272017840362028,0.0760009492877466,0.01880566643187286,-0.030689634350279955,-0.010350128835238228,-0.017284530170584206
TNFSF18,0.05952226608038843,0.09027640408995871,0.08584951315378524,,,-0.021520628291785502,0.005356955146833973,-0.01262208878819351,,,,0.14928578150986746,,,,0.11141845228786851,,0.026903535041829806,0.004267069776978265
IL36G,,,,,,,,,,,0.032052444946648204,,,,,,,,
RTN4,0.010949868365869971,0.05728811045223812,-0.022653089086230326,-0.01556417587939167,-0.025297893820149256,0.07214414334488709,-0.0957518964043585,0.030076776237202455,-0.009141875716325285,0.08905828001722141,-0.01791030398159974,0.026342937246124666,-0.09223308599167776,-0.0109721419859944,-0.00015433886245522848,-0.0781190873019621,0.02731267388174083,-0.060754746509270596,0.01901310409079627
HEBP1,0.032474413371561595,0.04697982977178812,0.010014231512264353,0.002842599637469365,-0.008911745800927968,0.004262150089147181,0.011178973122283097,-0.02624118989455872,-0.06732304919233457,-0.024450057253286275,0.04399242946756728,0.03185040606764159,0.05806819666654152,0.0782801437540089,0.048533028420525696,-0.020884658623791432,0.03867482310199646,0.032849708864591556,-0.09891944225604091
WNT7B,0.0032906318866607978,-0.049654861360436016,-0.011216507891993075,-0.038213873023148236,0.033522019391344395,0.031594474765658256,-0.05260080445839969,-0.028075239665979898,0.0360203552074155,,-0.021500894482822143,0.04188865623996074,-0.07978248065002723,0.007399818105581113,0.050787625535900424,-0.04023358344805,-0.025385186751289725,-0.030240673424629886,0.031657413689061845
PTMA,-0.0389949272001667,-0.01625546556366127,0.06905819604836967,0.03888371163382432,-0.034732474873548726,-0.026466816536108773,-0.07217984823936953,-0.030265490176302434,-0.025464931244337578,-0.10837605616006239,0.07174476526443956,-0.00955829614552892,0.0191675975090598,-0.06548323992848863,-0.051420311119817354,-0.10069944515860381,0.07486689776814988,0.07462370630015097,-0.045846989716307913
FASLG,-0.019736378593722445,,,,,,,,,,,,,,,,,0.012408092785979829,
