,UKF248,UKF296
BMP1,0.03362957083197453,0.011545734178124753
NDP,0.004373044877119799,0.01082126046493915
TNFSF18,0.1054487176096859,
RTN4,0.017576209379272106,-0.023310710818332227
HEBP1,0.026773130119005728,-0.010801813338136247
WNT7B,-0.01291905123274607,-0.016779665496138175
PTMA,0.06303743262880368,-0.023390221550493345
CEACAM1,-0.015103917673750408,
PDAP1,-0.053430344878276054,0.0013394607836360699
QDPR,-0.026529927479435323,-0.015597528871787579
POMC,0.0339570815324057,0.0787249666178309
CCL18,-0.018848262177872672,
CCL17,,-0.02076852207485447
VEGFD,-0.018848268163078715,-0.015233962104481105
TNFSF13,-0.014223507993236684,
WNT5A,0.003855312124720668,0.04474575099687087
CXCL8,0.00028821964566220294,-0.0141865279063866
GRN,0.09229839393320674,0.0043260627673398794
MIA,-0.0010615487868134961,-0.01732542365130087
COL4A4,-0.02263660973790528,-0.009191537755751749
TAC1,0.015926240177094174,-0.04372133817340271
RARRES2,0.00994128337478235,-0.022938754796148726
FGF7,,-0.0300592708626245
HBEGF,-0.03141160940650054,0.023336416555917002
PI3,-0.019829166486919136,
PCSK1N,0.007614317347051111,-0.06401489598201408
NTS,,0.06409892711813948
SFRP1,0.0341937842545383,-0.02076852228401055
MICA,-0.0030879380180513973,-0.04602467960705315
TG,0.0327266323039242,-0.015030089235749406
ADA,0.033322310701446374,-0.012106991383450304
LAMC3,0.04929678102835762,0.04153305812736155
CCL7,-0.011989087004194167,
NGF,-0.020584667019095976,
HMGB1,-0.00241421618438307,0.023483964707971205
ITGB3BP,-0.036935693931597055,0.025785600917229555
AANAT,-0.017394341230846617,-0.0004995246638272916
RELN,-0.006245315709861131,0.027541955709830982
IL15,0.03671059435347557,-0.020826530970761647
BSG,-0.008691709134884285,-0.028868491639604133
ADAMTS3,0.013269206869571578,-0.036940679945775365
CD34,0.04170496210416476,0.003403000550186956
PLAT,0.07543814908816278,-0.0034664261146140248
NTF3,,-0.006532755896397143
CKLF,0.009525454307657227,-0.019616155514901975
CD24,0.057336763342058956,0.0023785558026554257
HSP90AA1,0.0351366068854507,0.005028449018670053
BMP4,-0.0027367163326390033,0.03614063216500933
SCGB3A1,-0.011989085805301485,-0.01461416511733802
IGFBP4,0.07661143533633312,0.003513634226556971
RSPO4,,0.005332276654419614
LEFTY2,0.06602517211570733,-0.016024608442365803
PF4,-0.01243675199322275,
ANGPTL2,0.06381476724836335,-0.01621168979694343
LRIG2,-0.021910055176760423,-0.009749988166029736
ICOSLG,0.023011788545704633,0.014340414022975386
WIF1,-0.022377916561409465,0.05442364506962704
NPPC,-0.03719335546429378,-0.020310110145699636
LYZ,-0.0384095658071179,-0.03240164986572511
SPTAN1,0.025703450575607453,-0.020812058556000625
LIPC,0.09453694784436358,
