,UKF243,UKF248,UKF251,UKF259,UKF260,UKF275,UKF313,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,,,,-0.0195057194617283,,-0.015714768948893752
BMP1,0.06256568310673614,-0.05045570232429757,-0.022243670331787185,-0.08140366611823792,0.051931085400416147,0.05003483320330809,-0.011334843135827697,0.013565061435434107,-0.029411552227211334,-0.002663281939119994,0.039350737076529314,-0.007082005657741334,-0.02731604995030082,0.08634710747093995
NDP,0.038750599815631816,-0.036421287531315266,0.02091511648734496,0.021151891708428225,0.03267179313912134,-0.06138202882947103,-0.04303193512556207,-0.061203971245509,0.0757240280747781,0.01635120199413599,-0.01462148892810672,0.020299238737763868,0.05951587616608246,0.04196863673950715
TNFSF18,-0.021274483019073972,-0.0182684610496327,-0.02417022317621575,,,-0.025752796158776927,,,-0.04723474423985288,,,0.00550697396557143,,0.09651229078535566
RTN4,0.004231896084643846,0.00561608731462935,-0.03253538635893733,0.010557406842783995,-0.007110878459179809,-0.007120057490666032,0.0009260888888585237,0.008121271486105298,0.09303145128721005,-0.10396523983714463,0.010882277874379174,0.051564886996134665,0.05659182911719364,0.0687220065026121
HEBP1,0.02852236198200731,0.015676862966776197,-0.027329160020553276,-0.014808055402884011,0.008340124017243223,-0.03172894343321697,0.02040113945910882,-0.037601530877248,-0.07873717025913252,0.02159826831559984,0.02098099502861101,0.03968232159445761,-0.004492012493001727,0.019005661760520962
WNT7B,0.0010396082041380901,-0.014856792892470983,-0.015013793390202571,-0.0376022800212081,0.009264817818684287,0.054474973960263136,0.0350955095648193,0.061257012699334944,,-0.023024525770784413,0.09154212535517275,0.005728109025919088,0.025910706635290943,0.14814844155970072
PTMA,-0.11283831642015506,-0.013642708350090777,0.023876725181688884,-0.027498469233114286,-0.0029447452074696195,0.017013378729658024,0.027662155836655947,-0.05204535029377133,-0.020389511608011536,0.029191742735832762,0.033339211089465845,0.03285417056045501,-0.03384449409545805,-0.015324601947299227
FASLG,,,,,,,,,,,,,,-0.013629413748204656
CEACAM1,,0.014785955557657491,-0.011522183408114388,-0.030203080241918964,-0.0165953115308157,0.03999951420552867,,-0.05637322139647361,-0.033214041615579996,0.03842172204467482,0.010050398538197334,-0.028904454184610684,-0.01822827673255684,-0.018963327434118354
PDAP1,0.042805578518814016,-0.02184955251904056,0.001343614760402009,-0.02047870546788538,-0.006536515505528566,-0.018825082094816377,-0.07418335473253745,0.004813181149197976,-0.011889174175477659,0.010298236226291786,0.07579074483199731,0.08792727684795787,-0.006019467818168299,-0.06739377286847889
QDPR,-0.013769962800492462,0.03550614343253892,0.051974251009214066,-0.006647140708848495,0.04287030638439903,-0.09382715586340497,0.02747165157556515,0.05010031047241804,-0.01889116421325122,0.009218541770291697,-0.011188748155198937,0.01865790083594471,-0.008682073136926632,-0.02334232440213054
POMC,0.020212995015633325,0.03662484146494829,-0.003785510439569754,-0.011210781760220051,-0.03339369112874482,-0.020800223724281877,-0.0219126400339271,0.05378767910812685,-0.011574923542928444,0.0005926725870366476,-0.009096643640700017,-0.045789734616561176,0.03297026447655519,0.043398896238918884
CCL18,0.05010383217493531,0.06415262164023908,,,,,-0.015977998676421815,-0.048337090162717006,,0.011616739610578403,0.017892350129607885,,0.03195239006332702,
CCL17,,,,0.023191640666320755,,-0.03211875072539933,,,,-0.019652273701359465,0.08595276033558243,-0.025717164362031503,,-0.012353532712189193
VEGFD,-0.032145907417395515,0.04619980496387032,-0.01650321604377042,0.013529636140429529,-0.01587745447670519,-0.03421981225660019,-0.01480506539149572,0.02682308907907985,-0.0006425852582581763,,0.010815203482316047,-0.027123670816681347,,
TNFSF13,,-0.0035361611395841367,,-0.017359415268125095,,,,,,0.009468235891137088,-0.01398192060929071,0.04683964013948611,-0.020469133065341448,0.06086972642185186
