,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.033465397134203455,,,,,,,,,-0.003835376411208007,,,-0.0006158564131479243,
BMP1,-0.03440123737856001,0.11347196191373575,0.06338716910694103,0.056948883431482904,-0.005957852755999084,-0.003034989342384988,-0.011962636462336047,0.042485437335126906,0.10735710212311371,0.0035509639038274554,0.05646099024038007,0.16424506745397982,0.03957575323095339,-0.008885686412123957,0.15252346589836827,-0.02595923613079543,-0.06358225942384997,-0.027394570654356774,-0.0758744034173752,0.0462697111686128,0.026102798703211364,-0.025899880519913984
NDP,0.014471818552813,0.1718367361891363,0.07241210373160731,-0.006051371880876282,0.1240271107802708,0.08454625339992729,-0.029886906941898668,-0.01679434989466933,-0.011664339060729174,0.01513713154360293,-0.03648429980915072,-0.012119672331543117,0.018491320098669196,0.0441474912576588,0.10036548481255045,-0.02194301764695286,0.07432810052048969,-0.016463597200471945,0.00516874708707837,0.08413975010437906,0.07351089469508064,0.12783911665373432
TNFSF18,0.0733776217283638,-0.004847259133632016,-0.039545910194253214,0.06027964296253321,,,,-0.012213190362149837,-0.008079499500658923,-0.003867932810045631,,,,0.06027768239947729,,,,0.062059650942588765,,-0.052244517502408536,-0.022775145953706846,0.00360627863575934
IL36G,,,,,,,,,,,,,0.025288027905983532,,,,,,,,,
RTN4,-0.07898892320390848,-0.15996125536780068,0.019660017192264238,-0.0475310428656483,-0.025649182897517192,0.02081459459977531,-0.03996585559845687,0.0583572274491356,-0.15259689160797255,-0.023928785228646946,-0.07929235193631248,-0.027791012916306944,-0.02083155221441472,0.057492886158818195,-0.14422502509333374,0.03677962279333916,0.03426205592481563,0.013631154680677339,0.16670073095689522,-0.0035667426741650375,-0.001207948977071712,0.026642463478430085
HEBP1,-0.03501679220241854,-0.0011921836673587346,0.04205889886009767,0.016253273513924978,0.04885639369566525,0.0928474010846607,-0.028377450263390565,-0.02304063414971747,0.07002928044774677,-0.0020303253752561264,0.033583847630733465,0.021807959303369113,0.01666686600225695,0.06092632573056867,0.09071066278046806,0.08256967067782402,0.06453638470412326,-0.014925631159473745,0.006669414005027687,0.11546219356499945,0.06611119444485675,0.1020558890538812
WNT7B,0.06752957766675739,0.010046816394811016,-0.004169846990201191,0.007620395280724216,0.041692039173110935,-0.004854754545162146,-0.02229574599809518,0.06973701376370402,-0.08066005256830647,-0.033973496400106724,-0.02172055777465558,,-0.03459350538662326,,-0.055292905605342106,0.01638662431180594,0.07362529067124562,0.017274897316325446,0.06774561787400667,-0.010857507990042136,0.03497117446713111,0.10491771293649811
PTMA,0.03434489529533291,-0.08462623186377162,0.011356279805279255,0.037546825719056286,0.030559032687847626,-0.05106668822087883,-0.019210679117430605,-0.05375270068274924,-0.13461097750592718,0.03345867043523399,0.07459815854309806,0.07872376453452634,0.07725237341395251,0.019897433109817612,-0.15739019834654544,-0.13164368742733112,0.018675015582623085,0.021082834910222444,-0.02178416345325808,-0.048175750244398775,-0.09669908605356134,-0.1447281801330825
FASLG,0.10204643293180962,,,,,,,,,,,,,,,,,,,,-0.017999574782753495,
CEACAM1,0.09705775782516447,,-0.05074804184284899,0.014657124340939695,,0.00625677728533408,0.03758130192628861,,0.02665429045289059,0.0882023250650568,,,,-0.009127766135200853,0.04827173587610022,0.08431744886450346,-0.010738738414859752,0.01607965695875969,-0.0535742175915187,,-0.008314221985811129,
PDAP1,0.02283807803876829,-0.036391913368008816,0.02601913682027998,0.05304917279840563,-0.021261828303633906,0.034549997550839796,-0.00541470732695774,-0.02404185912112097,0.11188195092312042,0.019352702013570543,0.0015869914891752707,0.005592781593231197,-0.00526191275958312,-0.011094931214555823,0.05709017163211315,-0.04050983982090891,-0.030023645755737162,0.022754808903718324,0.03523710052694215,0.05133932743335137,0.04023247059299243,-0.06723510113335085
QDPR,-0.035262199035528075,-0.007589660925201797,0.012492829362211712,-0.05297578136588879,0.008697913631402956,-0.008204043598297338,-0.025131839262135844,-0.03427360759672471,-0.0861955304781218,0.060169947476797,-0.025951341716052262,0.07207535758438256,-0.03605036982127628,0.030849884376833055,-0.14759055507686175,0.09450283325191242,0.03731002421508769,0.03887136643594497,-0.012550152892225776,0.02505741758092896,0.03144639247510867,0.08509857828452878
POMC,0.061561269076101065,0.04091267556801999,-0.01742335003930272,-0.008361133941554586,,0.033316526338798655,-0.03943869819149398,-0.01973002138652529,0.0029191393701877805,-0.04030579705299433,0.005096842948904079,0.05325822994748851,0.03430442265253798,0.08608046102467626,0.002647628656786061,0.07488691652613029,0.031287532057940805,-0.015336767407119048,0.062080101950328107,,0.04947624443182851,-0.015482475607156751
CCL18,,-0.06697651991089155,-0.0016376261775340865,,,,,,,,,0.07306260662392884,,,-0.04878720669897691,-0.001965074350469296,-0.096028989701287,,-0.007223743527466965,,,
