,UKF259,UKF260,UKF269,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,-0.017700314076499853,,,,,,,,,-0.01999596651781246,
BMP1,0.002576906261211668,0.033780606734494664,0.0530882894702626,0.062292056297848834,0.017210026386910302,-0.06200949740026263,0.07346791552570982,0.08956178419994378,0.021101061721771217,0.031903105355061176,0.02091172877241426,0.005346525941527054,0.029129278895857525
NDP,-0.001978440976498008,-0.006262291428673467,0.011445538164158262,0.0004358736115491388,0.05038569082314498,0.0062588768483709326,0.09117712667360262,0.034026122597713926,0.0008258908755611724,0.016865736316458803,0.07414815295831004,0.001033438700348756,-0.011754707630579848
TNFSF18,,,-0.026284435025612337,,,,0.2448776942915061,,-0.05040299294015607,,,-0.009085994312731317,-0.03518295142800538
IL36G,,,,,,-0.013143814139550167,,,,,,,
RTN4,-0.011815639358116579,-0.004118978490876009,-0.07366123741907146,0.018470617943759742,-0.017734129789884756,-0.03794776965275637,-0.005243627634781251,-0.020265420537799547,-0.025740622896883576,-0.009410881231884334,-0.07479282423969928,-0.06515003969203065,-0.0052763042692786765
HEBP1,-0.035449614408957573,0.045500140182221024,-0.008918246312168593,0.015054055297011263,-0.06678685312456456,0.021821805789304937,0.036960141285190845,0.06264181916043324,0.034285941925860756,-0.002006464280158134,0.06329543476422288,0.045682134611085196,0.0020532054655675257
WNT7B,-0.02669571677176954,-0.024138042693035797,-0.02420147569499899,0.04362739418497078,,-0.01444656645090165,-0.03271637869847079,-0.030479423476474882,,0.012784116579350835,-0.0087147395861201,-0.0426797049887509,0.05503746739620457
PTMA,-0.018627061856883814,0.0005531716925305017,-0.008069834061523288,0.02141327047112301,0.012622987572601729,0.00320850768446838,0.06985809092007195,0.02350539021925045,-0.0310958232197213,-0.023034699182992974,-0.030235399763584345,-0.0013533161227753405,-0.07504679625320598
FASLG,,,,,,,,,,,,0.02981815351830397,
CEACAM1,0.025183586075973166,-0.014343780287964389,-0.023329286226350197,,,,,0.10517067512317899,-0.04416327198721143,0.02381586406554087,-0.016479392168415746,-0.007162734826183379,
PDAP1,0.017770775583553923,-0.03968325633411423,0.06492799265590497,0.013784835546491302,-0.054593260093761274,0.013233314663022258,0.03657784057492606,0.014853540863435866,-0.08273554871904629,-0.020491521722942486,-0.045575984973840515,-0.01874044779252975,-0.023329880941798196
QDPR,-0.013196319601255389,0.06143398596114035,-0.057235776487792406,-0.026983290975211845,-0.0038895852553030782,0.00827901455134508,0.006955754580788905,0.09527500694498563,0.032638657133715214,-0.1346791971601046,0.06262872600285806,0.02036064474187806,0.0824472231311429
